country,variant,year,sexratio_maleper100female
288,Estimates,1950,102.215452221014
288,Estimates,1955,102.801893491631
288,Estimates,1960,103.303478871036
288,Estimates,1965,103.606645080436
288,Estimates,1970,103.788890548219
288,Estimates,1975,103.523684546651
288,Estimates,1980,103.351029713993
288,Estimates,1985,103.270977392841
288,Estimates,1990,103.319661251114
288,Estimates,1995,102.262319925076
288,Estimates,2000,102.025731164354
288,Estimates,2005,99.8338323842801
288,Estimates,2010,97.9759147022049
288,Constant_fertility,2015,98.9902999654361
288,Constant_mortality,2015,98.9902999654361
288,Estimates,2015,98.9902999654361
288,High_variant,2015,98.9902999654361
288,Instant_replacement,2015,98.9902999654361
288,Low_variant,2015,98.9902999654361
288,Medium_variant,2015,98.9902999654361
288,No_change,2015,98.9902999654361
288,Zero_migration,2015,98.9902999654361
288,Constant_fertility,2020,99.5927446245088
288,Constant_mortality,2020,99.5717804327164
288,High_variant,2020,99.587928343953
288,Instant_replacement,2020,99.2697029904381
288,Low_variant,2020,99.5056537396896
288,Medium_variant,2020,99.5471398838212
288,No_change,2020,99.6169901497753
288,Zero_migration,2020,99.7478624638441
288,Constant_fertility,2025,100.02474450146
288,Constant_mortality,2025,99.9809871527646
288,High_variant,2025,100.000738301826
288,Instant_replacement,2025,99.4548799369539
288,Low_variant,2025,99.8148418539875
288,Medium_variant,2025,99.9097451709363
288,No_change,2025,100.093650812498
288,Zero_migration,2025,100.266241691132
288,Constant_fertility,2030,100.353768189319
288,Constant_mortality,2030,100.304413074176
288,High_variant,2030,100.299667854458
288,Instant_replacement,2030,99.5722175192486
288,Low_variant,2030,100.00261892201
288,Medium_variant,2030,100.156487410886
288,No_change,2030,100.495923034345
288,Zero_migration,2030,100.633624457161
288,Constant_fertility,2035,100.64510667314
288,Constant_mortality,2035,100.596870141658
288,High_variant,2035,100.544746796849
288,Instant_replacement,2035,99.676536835929
288,Low_variant,2035,100.152162808263
288,Medium_variant,2035,100.358126959747
288,No_change,2035,100.871928064495
288,Zero_migration,2035,100.927135811645
288,Constant_fertility,2040,100.902332236656
288,Constant_mortality,2040,100.875650403009
288,High_variant,2040,100.748085522508
288,Instant_replacement,2040,99.7564906987202
288,Low_variant,2040,100.265990487817
288,Medium_variant,2040,100.521604761807
288,No_change,2040,101.235464499863
288,Zero_migration,2040,101.158220140139
288,Constant_fertility,2045,101.127153312163
288,Constant_mortality,2045,101.139856308855
288,High_variant,2045,100.91517717805
288,Instant_replacement,2045,99.7982535495289
288,Low_variant,2045,100.342811200229
288,Medium_variant,2045,100.648964526362
288,No_change,2045,101.584057783593
288,Zero_migration,2045,101.333442439891
288,Constant_fertility,2050,101.335954514938
288,Constant_mortality,2050,101.385332250527
288,High_variant,2050,101.059584490236
288,Instant_replacement,2050,99.8006546025609
288,Low_variant,2050,100.386533248031
288,Medium_variant,2050,100.749410529363
288,No_change,2050,101.913035123003
288,Zero_migration,2050,101.465628218052
288,Constant_fertility,2055,101.515774723406
288,Constant_mortality,2055,101.609595897947
288,High_variant,2055,101.168530231819
288,Instant_replacement,2055,99.7652012503233
288,Low_variant,2055,100.385884359712
288,Medium_variant,2055,100.81139341718
288,No_change,2055,102.2181169909
288,Zero_migration,2055,101.540637260858
288,Constant_fertility,2060,101.649113582132
288,Constant_mortality,2060,101.793246192004
288,High_variant,2060,101.222960540611
288,Instant_replacement,2060,99.687352724942
288,Low_variant,2060,100.322272196055
288,Medium_variant,2060,100.816592134631
288,No_change,2060,102.481681882291
288,Zero_migration,2060,101.54315730707
288,Constant_fertility,2065,101.724569515362
288,Constant_mortality,2065,101.911606264366
288,High_variant,2065,101.202769032171
288,Instant_replacement,2065,99.5337083056747
288,Low_variant,2065,100.162402724244
288,Medium_variant,2065,100.739138060112
288,No_change,2065,102.685843757608
288,Zero_migration,2065,101.450069457122
288,Constant_fertility,2070,101.746088858897
288,Constant_mortality,2070,101.951586101547
288,High_variant,2070,101.108739043979
288,Instant_replacement,2070,99.2999727222883
288,Low_variant,2070,99.9013987813444
288,Medium_variant,2070,100.577510221778
288,No_change,2070,102.82550093926
288,Zero_migration,2070,101.262792403549
288,Constant_fertility,2075,101.740718744839
288,Constant_mortality,2075,101.924772441429
288,High_variant,2075,100.965412061053
288,Instant_replacement,2075,99.0172045447097
288,Low_variant,2075,99.5619106884716
288,Medium_variant,2075,100.355474849243
288,No_change,2075,102.914190789421
288,Zero_migration,2075,101.008615731754
288,Constant_fertility,2080,101.705408011457
288,Constant_mortality,2080,101.860436888226
288,High_variant,2080,100.768248352871
288,Instant_replacement,2080,98.6911445214331
288,Low_variant,2080,99.1379277098822
288,Medium_variant,2080,100.068013597181
288,No_change,2080,102.973807577298
288,Zero_migration,2080,100.685660809653
288,Constant_fertility,2085,101.661939712859
288,Constant_mortality,2085,101.785595747364
288,High_variant,2085,100.54140391038
288,Instant_replacement,2085,98.3756635320479
288,Low_variant,2085,98.6631148075978
288,Medium_variant,2085,99.7432754784328
288,No_change,2085,103.020951933074
288,Zero_migration,2085,100.32444561679
288,Constant_fertility,2090,101.655576898674
288,Constant_mortality,2090,101.714996746464
288,High_variant,2090,100.338467747741
288,Instant_replacement,2090,98.163682411451
288,Low_variant,2090,98.2138763546306
288,Medium_variant,2090,99.4438943476798
288,No_change,2090,103.063257058352
288,Zero_migration,2090,99.9891033862214
288,Constant_fertility,2095,101.643217482726
288,Constant_mortality,2095,101.653095910914
288,High_variant,2095,100.126183654596
288,Instant_replacement,2095,98.0158145665821
288,Low_variant,2095,97.7653342804398
288,Medium_variant,2095,99.1397263845688
