country,variant,year,sexratio_maleper100female
226,estimates,1950,96.705
226,estimates,1955,96.277
226,estimates,1960,96.035
226,estimates,1965,97.018
226,estimates,1970,98.51
226,estimates,1975,98.156
226,estimates,1980,97.975
226,estimates,1985,98.152
226,estimates,1990,98.241
226,estimates,1995,102.21
226,estimates,2000,107.359
226,estimates,2005,112.648
226,estimates,2010,118.834
226,constant_fertility,2015,123.043
226,constant_mortality,2015,123.043
226,estimates,2015,123.043
226,high_variant,2015,123.043
226,instant_replacement,2015,123.043
226,low_variant,2015,123.043
226,medium_variant,2015,123.043
226,momentum,2015,123.043
226,no_change,2015,123.043
226,zero_migration,2015,123.043
226,constant_fertility,2020,124.4
226,constant_mortality,2020,124.704
226,high_variant,2020,124.514
226,instant_replacement,2020,126.545
226,low_variant,2020,124.91
226,medium_variant,2020,124.711
226,momentum,2020,120.684
226,no_change,2020,124.397
226,zero_migration,2020,119.385
226,constant_fertility,2025,123.482
226,constant_mortality,2025,124.363
226,high_variant,2025,123.863
226,instant_replacement,2025,127.676
226,low_variant,2025,124.855
226,medium_variant,2025,124.348
226,momentum,2025,118.32
226,no_change,2025,123.512
226,zero_migration,2025,116.422
226,constant_fertility,2030,121.506
226,constant_mortality,2030,123.11
226,high_variant,2030,122.254
226,instant_replacement,2030,127.318
226,low_variant,2030,123.875
226,medium_variant,2030,123.033
226,momentum,2030,115.948
226,no_change,2030,121.611
226,zero_migration,2030,113.869
226,constant_fertility,2035,118.943
226,constant_mortality,2035,121.279
226,high_variant,2035,120.127
226,instant_replacement,2035,125.94
226,low_variant,2035,122.222
226,medium_variant,2035,121.121
226,momentum,2035,113.654
226,no_change,2035,119.139
226,zero_migration,2035,111.586
226,constant_fertility,2040,116.582
226,constant_mortality,2040,119.665
226,high_variant,2040,118.218
226,instant_replacement,2040,124.663
226,low_variant,2040,120.736
226,medium_variant,2040,119.399
226,momentum,2040,111.504
226,no_change,2040,116.89
226,zero_migration,2040,109.494
226,constant_fertility,2045,114.281
226,constant_mortality,2045,118.006
226,high_variant,2045,116.312
226,instant_replacement,2045,123.232
226,low_variant,2045,119.189
226,medium_variant,2045,117.648
226,momentum,2045,109.429
226,no_change,2045,114.663
226,zero_migration,2045,107.562
226,constant_fertility,2050,112.075
226,constant_mortality,2050,116.294
226,high_variant,2050,114.402
226,instant_replacement,2050,121.586
226,low_variant,2050,117.553
226,medium_variant,2050,115.849
226,momentum,2050,107.35
226,no_change,2050,112.498
226,zero_migration,2050,105.727
226,constant_fertility,2055,110.093
226,constant_mortality,2055,114.646
226,high_variant,2055,112.605
226,instant_replacement,2055,119.841
226,low_variant,2055,115.937
226,medium_variant,2055,114.117
226,momentum,2055,105.25
226,no_change,2055,110.528
226,zero_migration,2055,103.972
226,constant_fertility,2060,108.341
226,constant_mortality,2060,113.014
226,high_variant,2060,110.914
226,instant_replacement,2060,117.956
226,low_variant,2060,114.313
226,medium_variant,2060,112.437
226,momentum,2060,103.208
226,no_change,2060,108.733
226,zero_migration,2060,102.334
226,constant_fertility,2065,106.797
226,constant_mortality,2065,111.373
226,high_variant,2065,109.294
226,instant_replacement,2065,115.908
226,low_variant,2065,112.628
226,medium_variant,2065,110.767
226,momentum,2065,101.376
226,no_change,2065,107.107
226,zero_migration,2065,100.847
226,constant_fertility,2070,105.459
226,constant_mortality,2070,109.735
226,high_variant,2070,107.737
226,instant_replacement,2070,113.737
226,low_variant,2070,110.868
226,medium_variant,2070,109.099
226,momentum,2070,99.91
226,no_change,2070,105.662
226,zero_migration,2070,99.587
226,constant_fertility,2075,104.338
226,constant_mortality,2075,108.159
226,high_variant,2075,106.267
226,instant_replacement,2075,111.526
226,low_variant,2075,109.07
226,medium_variant,2075,107.464
226,momentum,2075,98.889
226,no_change,2075,104.426
226,zero_migration,2075,98.608
226,constant_fertility,2080,103.451
226,constant_mortality,2080,106.728
226,high_variant,2080,104.941
226,instant_replacement,2080,109.414
226,low_variant,2080,107.322
226,medium_variant,2080,105.935
226,momentum,2080,98.286
226,no_change,2080,103.421
226,zero_migration,2080,97.913
226,constant_fertility,2085,102.778
226,constant_mortality,2085,105.514
226,high_variant,2085,103.803
226,instant_replacement,2085,107.568
226,low_variant,2085,105.736
226,medium_variant,2085,104.586
226,momentum,2085,97.998
226,no_change,2085,102.643
226,zero_migration,2085,97.446
226,constant_fertility,2090,102.293
226,constant_mortality,2090,104.536
226,high_variant,2090,102.867
226,instant_replacement,2090,106.073
226,low_variant,2090,104.373
226,medium_variant,2090,103.45
226,momentum,2090,97.898
226,no_change,2090,102.059
226,zero_migration,2090,97.115
226,constant_fertility,2095,101.959
226,constant_mortality,2095,103.765
226,high_variant,2095,102.12
226,instant_replacement,2095,104.959
226,low_variant,2095,103.258
226,medium_variant,2095,102.53
226,momentum,2095,97.893
226,no_change,2095,101.622
226,zero_migration,2095,96.862
226,constant_fertility,2100,101.733
226,constant_mortality,2100,103.152
226,high_variant,2100,101.53
226,instant_replacement,2100,104.186
226,low_variant,2100,102.374
226,medium_variant,2100,101.798
226,momentum,2100,97.914
226,no_change,2100,101.29
226,zero_migration,2100,96.67
