country,variant,year,sexratio_maleper100female
480,estimates,1950,99.192
480,estimates,1955,99.211
480,estimates,1960,99.451
480,estimates,1965,100.02
480,estimates,1970,100.125
480,estimates,1975,97.399
480,estimates,1980,97.271
480,estimates,1985,98.545
480,estimates,1990,99.475
480,estimates,1995,99.404
480,estimates,2000,98.366
480,estimates,2005,98.253
480,estimates,2010,98.285
480,constant_fertility,2015,98.133
480,constant_mortality,2015,98.133
480,estimates,2015,98.133
480,high_variant,2015,98.133
480,instant_replacement,2015,98.133
480,low_variant,2015,98.133
480,medium_variant,2015,98.133
480,momentum,2015,98.133
480,no_change,2015,98.133
480,zero_migration,2015,98.133
480,constant_fertility,2020,97.391
480,constant_mortality,2020,97.312
480,high_variant,2020,97.435
480,instant_replacement,2020,97.525
480,low_variant,2020,97.32
480,medium_variant,2020,97.378
480,momentum,2020,97.46
480,no_change,2020,97.325
480,zero_migration,2020,97.378
480,constant_fertility,2025,96.672
480,constant_mortality,2025,96.455
480,high_variant,2025,96.806
480,instant_replacement,2025,96.96
480,low_variant,2025,96.475
480,medium_variant,2025,96.644
480,momentum,2025,96.781
480,no_change,2025,96.484
480,zero_migration,2025,96.644
480,constant_fertility,2030,95.988
480,constant_mortality,2030,95.586
480,high_variant,2030,96.262
480,instant_replacement,2030,96.449
480,low_variant,2030,95.629
480,medium_variant,2030,95.958
480,momentum,2030,96.105
480,no_change,2030,95.617
480,zero_migration,2030,95.958
480,constant_fertility,2035,95.352
480,constant_mortality,2035,94.751
480,high_variant,2035,95.794
480,instant_replacement,2035,96.007
480,low_variant,2035,94.831
480,medium_variant,2035,95.339
480,momentum,2035,95.475
480,no_change,2035,94.765
480,zero_migration,2035,95.339
480,constant_fertility,2040,94.809
480,constant_mortality,2040,93.991
480,high_variant,2040,95.439
480,instant_replacement,2040,95.674
480,low_variant,2040,94.124
480,medium_variant,2040,94.825
480,momentum,2040,94.936
480,no_change,2040,93.974
480,zero_migration,2040,94.825
480,constant_fertility,2045,94.427
480,constant_mortality,2045,93.34
480,high_variant,2045,95.259
480,instant_replacement,2045,95.521
480,low_variant,2045,93.566
480,medium_variant,2045,94.474
480,momentum,2045,94.538
480,no_change,2045,93.287
480,zero_migration,2045,94.474
480,constant_fertility,2050,94.226
480,constant_mortality,2050,92.817
480,high_variant,2050,95.282
480,instant_replacement,2050,95.576
480,low_variant,2050,93.165
480,medium_variant,2050,94.306
480,momentum,2050,94.316
480,no_change,2050,92.721
480,zero_migration,2050,94.306
480,constant_fertility,2055,94.208
480,constant_mortality,2055,92.404
480,high_variant,2055,95.514
480,instant_replacement,2055,95.827
480,low_variant,2055,92.93
480,medium_variant,2055,94.332
480,momentum,2055,94.232
480,no_change,2055,92.249
480,zero_migration,2055,94.332
480,constant_fertility,2060,94.323
480,constant_mortality,2060,92.069
480,high_variant,2060,95.892
480,instant_replacement,2060,96.194
480,low_variant,2060,92.828
480,medium_variant,2060,94.508
480,momentum,2060,94.214
480,no_change,2060,91.825
480,zero_migration,2060,94.508
480,constant_fertility,2065,94.552
480,constant_mortality,2065,91.807
480,high_variant,2065,96.372
480,instant_replacement,2065,96.639
480,low_variant,2065,92.859
480,medium_variant,2065,94.813
480,momentum,2065,94.23
480,no_change,2065,91.441
480,zero_migration,2065,94.813
480,constant_fertility,2070,94.869
480,constant_mortality,2070,91.627
480,high_variant,2070,96.908
480,instant_replacement,2070,97.131
480,low_variant,2070,92.999
480,medium_variant,2070,95.211
480,momentum,2070,94.276
480,no_change,2070,91.114
480,zero_migration,2070,95.211
480,constant_fertility,2075,95.26
480,constant_mortality,2075,91.547
480,high_variant,2075,97.482
480,instant_replacement,2075,97.659
480,low_variant,2075,93.234
480,medium_variant,2075,95.682
480,momentum,2075,94.362
480,no_change,2075,90.871
480,zero_migration,2075,95.682
480,constant_fertility,2080,95.679
480,constant_mortality,2080,91.584
480,high_variant,2080,98.056
480,instant_replacement,2080,98.184
480,low_variant,2080,93.506
480,medium_variant,2080,96.179
480,momentum,2080,94.486
480,no_change,2080,90.734
480,zero_migration,2080,96.179
480,constant_fertility,2085,96.046
480,constant_mortality,2085,91.751
480,high_variant,2085,98.574
480,instant_replacement,2085,98.644
480,low_variant,2085,93.728
480,medium_variant,2085,96.632
480,momentum,2085,94.628
480,no_change,2085,90.713
480,zero_migration,2085,96.632
480,constant_fertility,2090,96.437
480,constant_mortality,2090,92.022
480,high_variant,2090,99.077
480,instant_replacement,2090,99.077
480,low_variant,2090,94.014
480,medium_variant,2090,97.114
480,momentum,2090,94.75
480,no_change,2090,90.789
480,zero_migration,2090,97.114
480,constant_fertility,2095,96.844
480,constant_mortality,2095,92.316
480,high_variant,2095,99.54
480,instant_replacement,2095,99.457
480,low_variant,2095,94.402
480,medium_variant,2095,97.614
480,momentum,2095,94.799
480,no_change,2095,90.888
480,zero_migration,2095,97.614
480,constant_fertility,2100,97.205
480,constant_mortality,2100,92.543
480,high_variant,2100,99.911
480,instant_replacement,2100,99.73
480,low_variant,2100,94.858
480,medium_variant,2100,98.068
480,momentum,2100,94.759
480,no_change,2100,90.935
480,zero_migration,2100,98.068
