continent,variant,freq,year,totaldeaths
904,estimates,5yearly,1950,14197.186
904,estimates,5yearly,1955,14271.85
904,estimates,5yearly,1960,14535.215
904,estimates,5yearly,1965,14763.15
904,estimates,5yearly,1970,14773.795
904,estimates,5yearly,1975,14966.476
904,estimates,5yearly,1980,15114.793
904,estimates,5yearly,1985,15261.865
904,estimates,5yearly,1990,15451.657
904,estimates,5yearly,1995,15446.225
904,estimates,5yearly,2000,15889.831
904,estimates,5yearly,2005,16784.453
904,estimates,5yearly,2010,17983.242
904,constant_fertility,5yearly,2015,19611.316
904,constant_mortality,5yearly,2015,20810.681
904,high_variant,5yearly,2015,19662.543
904,instant_replacement,5yearly,2015,19542.259
904,low_variant,5yearly,2015,19437.631
904,medium_variant,5yearly,2015,19550.085
904,momentum,5yearly,2015,20813.263
904,no_change,5yearly,2015,20881.852
904,zero_migration,5yearly,2015,19553.262
904,constant_fertility,5yearly,2020,21387.69
904,constant_mortality,5yearly,2020,23806.42
904,high_variant,5yearly,2020,21455.202
904,instant_replacement,5yearly,2020,21301.575
904,low_variant,5yearly,2020,21098.937
904,medium_variant,5yearly,2020,21277.07
904,momentum,5yearly,2020,23892.548
904,no_change,5yearly,2020,23954.696
904,zero_migration,5yearly,2020,21310.608
904,constant_fertility,5yearly,2025,23340.636
904,constant_mortality,5yearly,2025,27028.245
904,high_variant,5yearly,2025,23409.477
904,instant_replacement,5yearly,2025,23251.173
904,low_variant,5yearly,2025,22988.281
904,medium_variant,5yearly,2025,23198.875
904,momentum,5yearly,2025,27206.849
904,no_change,5yearly,2025,27245.312
904,zero_migration,5yearly,2025,23260.348
904,constant_fertility,5yearly,2030,25516.262
904,constant_mortality,5yearly,2030,30505.35
904,high_variant,5yearly,2030,25564.851
904,instant_replacement,5yearly,2030,25422.389
904,low_variant,5yearly,2030,25138.85
904,medium_variant,5yearly,2030,25350.816
904,momentum,5yearly,2030,30777.834
904,no_change,5yearly,2030,30791.743
904,zero_migration,5yearly,2030,25441.064
904,constant_fertility,5yearly,2035,27924.641
904,constant_mortality,5yearly,2035,34168.789
904,high_variant,5yearly,2035,27967.256
904,instant_replacement,5yearly,2035,27818.369
904,low_variant,5yearly,2035,27501.459
904,medium_variant,5yearly,2035,27730.104
904,momentum,5yearly,2035,34549.851
904,no_change,5yearly,2035,34545.185
904,zero_migration,5yearly,2035,27853.704
904,constant_fertility,5yearly,2040,30490.717
904,constant_mortality,5yearly,2040,37854.98
904,high_variant,5yearly,2040,30539.614
904,instant_replacement,5yearly,2040,30364.965
904,low_variant,5yearly,2040,29998.828
904,medium_variant,5yearly,2040,30259.718
904,momentum,5yearly,2040,38366.713
904,no_change,5yearly,2040,38349.027
904,zero_migration,5yearly,2040,30423.208
904,constant_fertility,5yearly,2045,33077.445
904,constant_mortality,5yearly,2045,41379.372
904,high_variant,5yearly,2045,33136.957
904,instant_replacement,5yearly,2045,32930.933
904,low_variant,5yearly,2045,32507.411
904,medium_variant,5yearly,2045,32806.531
904,momentum,5yearly,2045,42053.591
904,no_change,5yearly,2045,42016.092
904,zero_migration,5yearly,2045,33018.925
904,constant_fertility,5yearly,2050,35610.549
904,constant_mortality,5yearly,2050,44595.379
904,high_variant,5yearly,2050,35678.396
904,instant_replacement,5yearly,2050,35444.303
904,low_variant,5yearly,2050,34961.428
904,medium_variant,5yearly,2050,35298.35
904,momentum,5yearly,2050,45468.518
904,no_change,5yearly,2050,45398.092
904,zero_migration,5yearly,2050,35569.811
904,constant_fertility,5yearly,2055,38093.046
904,constant_mortality,5yearly,2055,47395.233
904,high_variant,5yearly,2055,38165.257
904,instant_replacement,5yearly,2055,37905.799
904,low_variant,5yearly,2055,37360.021
904,medium_variant,5yearly,2055,37735.944
904,momentum,5yearly,2055,48504.867
904,no_change,5yearly,2055,48391.432
904,zero_migration,5yearly,2055,38077.564
904,constant_fertility,5yearly,2060,40498.656
904,constant_mortality,5yearly,2060,49703.612
904,high_variant,5yearly,2060,40577.478
904,instant_replacement,5yearly,2060,40287.33
904,low_variant,5yearly,2060,39666.048
904,medium_variant,5yearly,2060,40090.115
904,momentum,5yearly,2060,51091.888
904,no_change,5yearly,2060,50930.2
904,zero_migration,5yearly,2060,40514.846
904,constant_fertility,5yearly,2065,42678.172
904,constant_mortality,5yearly,2065,51411.882
904,high_variant,5yearly,2065,42772.892
904,instant_replacement,5yearly,2065,42435.925
904,low_variant,5yearly,2065,41710.467
904,medium_variant,5yearly,2065,42204.075
904,momentum,5yearly,2065,53131.2
904,no_change,5yearly,2065,52923.691
904,zero_migration,5yearly,2065,42724.989
904,constant_fertility,5yearly,2070,44567.151
904,constant_mortality,5yearly,2070,52469.289
904,high_variant,5yearly,2070,44693.095
904,instant_replacement,5yearly,2070,44283.917
904,low_variant,5yearly,2070,43410.756
904,medium_variant,5yearly,2070,44006.876
904,momentum,5yearly,2070,54580.692
904,no_change,5yearly,2070,54343.397
904,zero_migration,5yearly,2070,44636.452
904,constant_fertility,5yearly,2075,45990.748
904,constant_mortality,5yearly,2075,52870.598
904,high_variant,5yearly,2075,46165.274
904,instant_replacement,5yearly,2075,45650.242
904,low_variant,5yearly,2075,44569.005
904,medium_variant,5yearly,2075,45313.217
904,momentum,5yearly,2075,55446.082
904,no_change,5yearly,2075,55215.561
904,zero_migration,5yearly,2075,46058.953
904,constant_fertility,5yearly,2080,46994.709
904,constant_mortality,5yearly,2080,52687.369
904,high_variant,5yearly,2080,47242.013
904,instant_replacement,5yearly,2080,46575.591
904,low_variant,5yearly,2080,45193.216
904,medium_variant,5yearly,2080,46153.642
904,momentum,5yearly,2080,55824.955
904,no_change,5yearly,2080,55653.869
904,zero_migration,5yearly,2080,47015.869
904,constant_fertility,5yearly,2085,47556.125
904,constant_mortality,5yearly,2085,52021.171
904,high_variant,5yearly,2085,47917.612
904,instant_replacement,5yearly,2085,47027.938
904,low_variant,5yearly,2085,45190.813
904,medium_variant,5yearly,2085,46478.707
904,momentum,5yearly,2085,55860.85
904,no_change,5yearly,2085,55813.027
904,zero_migration,5yearly,2085,47448.432
904,constant_fertility,5yearly,2090,47744.045
904,constant_mortality,5yearly,2090,51007.103
904,high_variant,5yearly,2090,48290.58
904,instant_replacement,5yearly,2090,47060.386
904,low_variant,5yearly,2090,44517.58
904,medium_variant,5yearly,2090,46314.397
904,momentum,5yearly,2090,55730.819
904,no_change,5yearly,2090,55889.505
904,zero_migration,5yearly,2090,47373.919
904,constant_fertility,5yearly,2095,47807.938
904,constant_mortality,5yearly,2095,49780.272
904,high_variant,5yearly,2095,48656.016
904,instant_replacement,5yearly,2095,46898.233
904,low_variant,5yearly,2095,43242.394
904,medium_variant,5yearly,2095,45840.637
904,momentum,5yearly,2095,55606.464
904,no_change,5yearly,2095,56067.432
904,zero_migration,5yearly,2095,46970.352
