continent,variant,freq,year,totaldeaths
908,estimates,5yearly,1950,31421.787
908,estimates,5yearly,1955,30093.38
908,estimates,5yearly,1960,30108.146
908,estimates,5yearly,1965,31968.912
908,estimates,5yearly,1970,33981.931
908,estimates,5yearly,1975,36003.747
908,estimates,5yearly,1980,37752.999
908,estimates,5yearly,1985,38001.477
908,estimates,5yearly,1990,40621.743
908,estimates,5yearly,1995,41950.776
908,estimates,5yearly,2000,42383.758
908,estimates,5yearly,2005,41426.931
908,estimates,5yearly,2010,40390.733
908,constant_fertility,5yearly,2015,41564.538
908,constant_mortality,5yearly,2015,43990.715
908,high_variant,5yearly,2015,41599.884
908,instant_replacement,5yearly,2015,41621.305
908,low_variant,5yearly,2015,41543.596
908,medium_variant,5yearly,2015,41571.74
908,momentum,5yearly,2015,44039.907
908,no_change,5yearly,2015,43982.017
908,zero_migration,5yearly,2015,41561.395
908,constant_fertility,5yearly,2020,42334.496
908,constant_mortality,5yearly,2020,46537.97
908,high_variant,5yearly,2020,42388.065
908,instant_replacement,5yearly,2020,42391.713
908,low_variant,5yearly,2020,42306.25
908,medium_variant,5yearly,2020,42347.157
908,momentum,5yearly,2020,46538.606
908,no_change,5yearly,2020,46520.539
908,zero_migration,5yearly,2020,42296.14
908,constant_fertility,5yearly,2025,43028.559
908,constant_mortality,5yearly,2025,48554.044
908,high_variant,5yearly,2025,43086.923
908,instant_replacement,5yearly,2025,43079.803
908,low_variant,5yearly,2025,42995.06
908,medium_variant,5yearly,2025,43040.99
908,momentum,5yearly,2025,48488.488
908,no_change,5yearly,2025,48534.857
908,zero_migration,5yearly,2025,42943.657
908,constant_fertility,5yearly,2030,44008.336
908,constant_mortality,5yearly,2030,50547.698
908,high_variant,5yearly,2030,44066.374
908,instant_replacement,5yearly,2030,44059.052
908,low_variant,5yearly,2030,43972.59
908,medium_variant,5yearly,2030,44019.417
908,momentum,5yearly,2030,50402.946
908,no_change,5yearly,2030,50528.821
908,zero_migration,5yearly,2030,43864.671
908,constant_fertility,5yearly,2035,45311.65
908,constant_mortality,5yearly,2035,52501.908
908,high_variant,5yearly,2035,45382.129
908,instant_replacement,5yearly,2035,45376.985
908,low_variant,5yearly,2035,45270.714
908,medium_variant,5yearly,2035,45326.028
908,momentum,5yearly,2035,52269.87
908,no_change,5yearly,2035,52475.248
908,zero_migration,5yearly,2035,45099.658
908,constant_fertility,5yearly,2040,46467.495
908,constant_mortality,5yearly,2040,53890.039
908,high_variant,5yearly,2040,46565.18
908,instant_replacement,5yearly,2040,46560.301
908,low_variant,5yearly,2040,46417.948
908,medium_variant,5yearly,2040,46490.229
908,momentum,5yearly,2040,53551.908
908,no_change,5yearly,2040,53845.123
908,zero_migration,5yearly,2040,46173.352
908,constant_fertility,5yearly,2045,47199.732
908,constant_mortality,5yearly,2045,54389.063
908,high_variant,5yearly,2045,47335.075
908,instant_replacement,5yearly,2045,47328.01
908,low_variant,5yearly,2045,47136.394
908,medium_variant,5yearly,2045,47232.758
908,momentum,5yearly,2045,53918.489
908,no_change,5yearly,2045,54319.573
908,zero_migration,5yearly,2045,46801.077
908,constant_fertility,5yearly,2050,47398.292
908,constant_mortality,5yearly,2050,54049.99
908,high_variant,5yearly,2050,47576.649
908,instant_replacement,5yearly,2050,47564.51
908,low_variant,5yearly,2050,47315.243
908,medium_variant,5yearly,2050,47441.155
908,momentum,5yearly,2050,53405.492
908,no_change,5yearly,2050,53953.307
908,zero_migration,5yearly,2050,46864.756
908,constant_fertility,5yearly,2055,47178.174
908,constant_mortality,5yearly,2055,53061.012
908,high_variant,5yearly,2055,47403.62
908,instant_replacement,5yearly,2055,47384.384
908,low_variant,5yearly,2055,47069.973
908,medium_variant,5yearly,2055,47230.519
908,momentum,5yearly,2055,52190.563
908,no_change,5yearly,2055,52935.035
908,zero_migration,5yearly,2055,46472.292
908,constant_fertility,5yearly,2060,46456.951
908,constant_mortality,5yearly,2060,51585.258
908,high_variant,5yearly,2060,46742.23
908,instant_replacement,5yearly,2060,46718.479
908,low_variant,5yearly,2060,46316.171
908,medium_variant,5yearly,2060,46521.543
908,momentum,5yearly,2060,50456.021
908,no_change,5yearly,2060,51421.622
908,zero_migration,5yearly,2060,45535.328
908,constant_fertility,5yearly,2065,45281.142
908,constant_mortality,5yearly,2065,49777.542
908,high_variant,5yearly,2065,45652.461
908,instant_replacement,5yearly,2065,45627.84
908,low_variant,5yearly,2065,45096.286
908,medium_variant,5yearly,2065,45364.795
908,momentum,5yearly,2065,48390.83
908,no_change,5yearly,2065,49555.381
908,zero_migration,5yearly,2065,44091.737
908,constant_fertility,5yearly,2070,43833.689
908,constant_mortality,5yearly,2070,47766.784
908,high_variant,5yearly,2070,44329.906
908,instant_replacement,5yearly,2070,44304.938
908,low_variant,5yearly,2070,43587.367
908,medium_variant,5yearly,2070,43945.981
908,momentum,5yearly,2070,46164.587
908,no_change,5yearly,2070,47453.614
908,zero_migration,5yearly,2070,42315.937
908,constant_fertility,5yearly,2075,42121.952
908,constant_mortality,5yearly,2075,45709.223
908,high_variant,5yearly,2075,42790.569
908,instant_replacement,5yearly,2075,42763.718
908,low_variant,5yearly,2075,41790.391
908,medium_variant,5yearly,2075,42273.713
908,momentum,5yearly,2075,43990.173
908,no_change,5yearly,2075,45266.298
908,zero_migration,5yearly,2075,40217.423
908,constant_fertility,5yearly,2080,40268.931
908,constant_mortality,5yearly,2080,43935.363
908,high_variant,5yearly,2080,41166.817
908,instant_replacement,5yearly,2080,41136.062
908,low_variant,5yearly,2080,39821.529
908,medium_variant,5yearly,2080,40472.271
908,momentum,5yearly,2080,42264.577
908,no_change,5yearly,2080,43323.079
908,zero_migration,5yearly,2080,37942.145
908,constant_fertility,5yearly,2085,38587.668
908,constant_mortality,5yearly,2085,42781.743
908,high_variant,5yearly,2085,39799.773
908,instant_replacement,5yearly,2085,39768.943
908,low_variant,5yearly,2085,37978.936
908,medium_variant,5yearly,2085,38861.263
908,momentum,5yearly,2085,41415.139
908,no_change,5yearly,2085,41955.237
908,zero_migration,5yearly,2085,35865.127
908,constant_fertility,5yearly,2090,37474.448
908,constant_mortality,5yearly,2090,42197.583
908,high_variant,5yearly,2090,39145.749
908,instant_replacement,5yearly,2090,39133.292
908,low_variant,5yearly,2090,36628.802
908,medium_variant,5yearly,2090,37851.33
908,momentum,5yearly,2090,41510.161
908,no_change,5yearly,2090,41089.029
908,zero_migration,5yearly,2090,34464.064
908,constant_fertility,5yearly,2095,37002.929
908,constant_mortality,5yearly,2095,41753.72
908,high_variant,5yearly,2095,39395.581
908,instant_replacement,5yearly,2095,39442.653
908,low_variant,5yearly,2095,35775.905
908,medium_variant,5yearly,2095,37538.874
908,momentum,5yearly,2095,42156.36
908,no_change,5yearly,2095,40268.474
908,zero_migration,5yearly,2095,33872.111
908,constant_fertility,5yearly,Regi,EUROPE
908,constant_mortality,5yearly,Regi,EUROPE
908,estimates,5yearly,Regi,EUROPE
908,high_variant,5yearly,Regi,EUROPE
908,instant_replacement,5yearly,Regi,EUROPE
908,low_variant,5yearly,Regi,EUROPE
908,medium_variant,5yearly,Regi,EUROPE
908,momentum,5yearly,Regi,EUROPE
908,no_change,5yearly,Regi,EUROPE
908,zero_migration,5yearly,Regi,EUROPE
