region,variant,freq,year,totaldeaths
5500,estimates,5yearly,1950,1434.076
5500,estimates,5yearly,1955,1592.371
5500,estimates,5yearly,1960,1703.2
5500,estimates,5yearly,1965,1699.94
5500,estimates,5yearly,1970,1757.446
5500,estimates,5yearly,1975,1853.401
5500,estimates,5yearly,1980,1939.303
5500,estimates,5yearly,1985,2002.227
5500,estimates,5yearly,1990,2209.253
5500,estimates,5yearly,1995,2318.667
5500,estimates,5yearly,2000,2224.932
5500,estimates,5yearly,2005,2274.215
5500,estimates,5yearly,2010,2220.749
5500,constant_fertility,5yearly,2015,2394.183
5500,constant_mortality,5yearly,2015,2488.869
5500,high_variant,5yearly,2015,2401.428
5500,instant_replacement,5yearly,2015,2346.637
5500,low_variant,5yearly,2015,2360.369
5500,medium_variant,5yearly,2015,2380.898
5500,momentum,5yearly,2015,2451.631
5500,no_change,5yearly,2015,2503.833
5500,zero_migration,5yearly,2015,2381.666
5500,constant_fertility,5yearly,2020,2560.83
5500,constant_mortality,5yearly,2020,2753.709
5500,high_variant,5yearly,2020,2569.441
5500,instant_replacement,5yearly,2020,2512.612
5500,low_variant,5yearly,2020,2507.253
5500,medium_variant,5yearly,2020,2538.346
5500,momentum,5yearly,2020,2729.736
5500,no_change,5yearly,2020,2782.372
5500,zero_migration,5yearly,2020,2545.398
5500,constant_fertility,5yearly,2025,2792.68
5500,constant_mortality,5yearly,2025,3089.431
5500,high_variant,5yearly,2025,2799.111
5500,instant_replacement,5yearly,2025,2746.821
5500,low_variant,5yearly,2025,2727.742
5500,medium_variant,5yearly,2025,2763.424
5500,momentum,5yearly,2025,3083.265
5500,no_change,5yearly,2025,3131.611
5500,zero_migration,5yearly,2025,2777.15
5500,constant_fertility,5yearly,2030,3101.25
5500,constant_mortality,5yearly,2030,3515.068
5500,high_variant,5yearly,2030,3100.178
5500,instant_replacement,5yearly,2030,3052.611
5500,low_variant,5yearly,2030,3028.331
5500,medium_variant,5yearly,2030,3064.19
5500,momentum,5yearly,2030,3524.684
5500,no_change,5yearly,2030,3574.711
5500,zero_migration,5yearly,2030,3085.25
5500,constant_fertility,5yearly,2035,3457.179
5500,constant_mortality,5yearly,2035,3988.283
5500,high_variant,5yearly,2035,3451.253
5500,instant_replacement,5yearly,2035,3399.747
5500,low_variant,5yearly,2035,3372.566
5500,medium_variant,5yearly,2035,3411.339
5500,momentum,5yearly,2035,4008.914
5500,no_change,5yearly,2035,4069.976
5500,zero_migration,5yearly,2035,3440.995
5500,constant_fertility,5yearly,2040,3809.93
5500,constant_mortality,5yearly,2040,4445.071
5500,high_variant,5yearly,2040,3802.753
5500,instant_replacement,5yearly,2040,3741.006
5500,low_variant,5yearly,2040,3711.882
5500,medium_variant,5yearly,2040,3755.712
5500,momentum,5yearly,2040,4473.793
5500,no_change,5yearly,2040,4551.382
5500,zero_migration,5yearly,2040,3795.764
5500,constant_fertility,5yearly,2045,4125.668
5500,constant_mortality,5yearly,2045,4852.875
5500,high_variant,5yearly,2045,4118.297
5500,instant_replacement,5yearly,2045,4045.334
5500,low_variant,5yearly,2045,4013.145
5500,medium_variant,5yearly,2045,4062.906
5500,momentum,5yearly,2045,4893.227
5500,no_change,5yearly,2045,4987.005
5500,zero_migration,5yearly,2045,4115.414
5500,constant_fertility,5yearly,2050,4410.316
