region,variant,freq,year,totaldeaths
916,estimates,5yearly,1950,3636.602
916,estimates,5yearly,1955,3512.091
916,estimates,5yearly,1960,3499.561
916,estimates,5yearly,1965,3644.18
916,estimates,5yearly,1970,3737.783
916,estimates,5yearly,1975,3597.406
916,estimates,5yearly,1980,3485.462
916,estimates,5yearly,1985,3402.364
916,estimates,5yearly,1990,3350.776
916,estimates,5yearly,1995,3350.577
916,estimates,5yearly,2000,3467.739
916,estimates,5yearly,2005,3694.625
916,estimates,5yearly,2010,4047.057
916,constant_fertility,5yearly,2015,4444.657
916,constant_mortality,5yearly,2015,4704.991
916,high_variant,5yearly,2015,4455.094
916,instant_replacement,5yearly,2015,4400.003
916,low_variant,5yearly,2015,4385.032
916,medium_variant,5yearly,2015,4420.062
916,momentum,5yearly,2015,4683.773
916,no_change,5yearly,2015,4733.373
916,zero_migration,5yearly,2015,4420.847
916,constant_fertility,5yearly,2020,4884.89
916,constant_mortality,5yearly,2020,5421.501
916,high_variant,5yearly,2020,4896.267
916,instant_replacement,5yearly,2020,4836.289
916,low_variant,5yearly,2020,4784.29
916,medium_variant,5yearly,2020,4840.277
916,momentum,5yearly,2020,5433.632
916,no_change,5yearly,2020,5481.15
916,zero_migration,5yearly,2020,4853.608
916,constant_fertility,5yearly,2025,5380.505
916,constant_mortality,5yearly,2025,6220.965
916,high_variant,5yearly,2025,5389.452
916,instant_replacement,5yearly,2025,5332.862
916,low_variant,5yearly,2025,5256.236
916,medium_variant,5yearly,2025,5322.842
916,momentum,5yearly,2025,6268.457
916,no_change,5yearly,2025,6309.37
916,zero_migration,5yearly,2025,5345.648
916,constant_fertility,5yearly,2030,5952.764
916,constant_mortality,5yearly,2030,7130.359
916,high_variant,5yearly,2030,5952.767
916,instant_replacement,5yearly,2030,5903.362
916,low_variant,5yearly,2030,5820.23
916,medium_variant,5yearly,2030,5886.174
916,momentum,5yearly,2030,7207.943
916,no_change,5yearly,2030,7246.836
916,zero_migration,5yearly,2030,5917.834
916,constant_fertility,5yearly,2035,6619.415
916,constant_mortality,5yearly,2035,8153.085
916,high_variant,5yearly,2035,6613.991
916,instant_replacement,5yearly,2035,6561.292
916,low_variant,5yearly,2035,6474.02
916,medium_variant,5yearly,2035,6542.649
916,momentum,5yearly,2035,8256.381
916,no_change,5yearly,2035,8304.264
916,zero_migration,5yearly,2035,6583.897
916,constant_fertility,5yearly,2040,7373.836
916,constant_mortality,5yearly,2040,9265.155
916,high_variant,5yearly,2040,7366.069
916,instant_replacement,5yearly,2040,7303.038
916,low_variant,5yearly,2040,7208.418
916,medium_variant,5yearly,2040,7284.224
