region,variant,freq,year,totaldeaths
912,estimates,5yearly,1950,6202.099
912,estimates,5yearly,1955,6196.743
912,estimates,5yearly,1960,6301.045
912,estimates,5yearly,1965,6394.248
912,estimates,5yearly,1970,6539.332
912,estimates,5yearly,1975,6398.006
912,estimates,5yearly,1980,6104.819
912,estimates,5yearly,1985,5786.997
912,estimates,5yearly,1990,5773.886
912,estimates,5yearly,1995,5719.595
912,estimates,5yearly,2000,5906.843
912,estimates,5yearly,2005,6100.38
912,estimates,5yearly,2010,6449.076
912,constant_fertility,5yearly,2015,6896.831
912,constant_mortality,5yearly,2015,7308.732
912,high_variant,5yearly,2015,6890.988
912,instant_replacement,5yearly,2015,6555.619
912,low_variant,5yearly,2015,6771.715
912,medium_variant,5yearly,2015,6831.353
912,momentum,5yearly,2015,7008.027
912,no_change,5yearly,2015,7384.777
912,zero_migration,5yearly,2015,6841.361
912,constant_fertility,5yearly,2020,7468.771
912,constant_mortality,5yearly,2020,8283.89
912,high_variant,5yearly,2020,7441.336
912,instant_replacement,5yearly,2020,7052.502
912,low_variant,5yearly,2020,7244.897
912,medium_variant,5yearly,2020,7343.117
912,momentum,5yearly,2020,7947.316
912,no_change,5yearly,2020,8450.618
912,zero_migration,5yearly,2020,7366.299
912,constant_fertility,5yearly,2025,8198.724
912,constant_mortality,5yearly,2025,9441.802
912,high_variant,5yearly,2025,8145.158
912,instant_replacement,5yearly,2025,7750.038
912,low_variant,5yearly,2025,7898.632
912,medium_variant,5yearly,2025,8021.893
912,momentum,5yearly,2025,9105.041
912,no_change,5yearly,2025,9706.288
912,zero_migration,5yearly,2025,8049.727
912,constant_fertility,5yearly,2030,9104.53
912,constant_mortality,5yearly,2030,10823.873
912,high_variant,5yearly,2030,9010.226
912,instant_replacement,5yearly,2030,8620.579
912,low_variant,5yearly,2030,8748.038
912,medium_variant,5yearly,2030,8878.903
912,momentum,5yearly,2030,10475.261
912,no_change,5yearly,2030,11202.326
912,zero_migration,5yearly,2030,8906.847
912,constant_fertility,5yearly,2035,10169.326
