region,variant,freq,year,totaldeaths
913,estimates,5yearly,1950,1507.135
913,estimates,5yearly,1955,1495.212
913,estimates,5yearly,1960,1546.184
913,estimates,5yearly,1965,1608.773
913,estimates,5yearly,1970,1680.679
913,estimates,5yearly,1975,1799.464
913,estimates,5yearly,1980,1877.447
913,estimates,5yearly,1985,1806.49
913,estimates,5yearly,1990,1895.177
913,estimates,5yearly,1995,2544.399
913,estimates,5yearly,2000,3634.058
913,estimates,5yearly,2005,4069.11
913,estimates,5yearly,2010,3379.066
913,constant_fertility,5yearly,2015,3084.601
913,constant_mortality,5yearly,2015,3754.194
913,high_variant,5yearly,2015,3094.132
913,instant_replacement,5yearly,2015,3040.663
913,low_variant,5yearly,2015,3046.108
913,medium_variant,5yearly,2015,3070.12
913,momentum,5yearly,2015,3718.997
913,no_change,5yearly,2015,3771.887
913,zero_migration,5yearly,2015,3064.756
913,constant_fertility,5yearly,2020,3249.609
913,constant_mortality,5yearly,2020,4102.093
913,high_variant,5yearly,2020,3261.43
913,instant_replacement,5yearly,2020,3200.285
913,low_variant,5yearly,2020,3183.45
913,medium_variant,5yearly,2020,3222.44
913,momentum,5yearly,2020,4061.956
913,no_change,5yearly,2020,4140.467
913,zero_migration,5yearly,2020,3208.64
913,constant_fertility,5yearly,2025,3419.132
913,constant_mortality,5yearly,2025,4436.92
913,high_variant,5yearly,2025,3429.47
913,instant_replacement,5yearly,2025,3369.315
913,low_variant,5yearly,2025,3335.53
913,medium_variant,5yearly,2025,3382.501
913,momentum,5yearly,2025,4400.268
913,no_change,5yearly,2025,4496.417
913,zero_migration,5yearly,2025,3363.397
913,constant_fertility,5yearly,2030,3589.32
913,constant_mortality,5yearly,2030,4761.644
913,high_variant,5yearly,2030,3591.922
913,instant_replacement,5yearly,2030,3537.191
913,low_variant,5yearly,2030,3497.523
913,medium_variant,5yearly,2030,3544.586
913,momentum,5yearly,2030,4729.744
913,no_change,5yearly,2030,4844.015
913,zero_migration,5yearly,2030,3521.296
913,constant_fertility,5yearly,2035,3760.608
913,constant_mortality,5yearly,2035,5078.525
913,high_variant,5yearly,2035,3758.326
913,instant_replacement,5yearly,2035,3699.761
