global,variant,year,potentialsupport1664_65
900,Estimates,1950,11.8851830519232
900,Estimates,1955,11.7320128397007
900,Estimates,1960,11.5932394669808
900,Estimates,1965,11.2696201573813
900,Estimates,1970,10.8186708748865
900,Estimates,1975,10.3652103261365
900,Estimates,1980,10.0661626175536
900,Estimates,1985,10.2740883182302
900,Estimates,1990,10.0331762983506
900,Estimates,1995,9.55923517146766
900,Estimates,2000,9.21281539501256
900,Estimates,2005,8.88427333559442
900,Estimates,2010,8.60231774273554
900,Constant_fertility,2015,7.93430689368057
900,Constant_mortality,2015,7.93430689368057
900,Estimates,2015,7.93430689368057
900,High_variant,2015,7.93430689368057
900,Instant_replacement,2015,7.93430689368057
900,Low_variant,2015,7.93430689368057
900,Medium_variant,2015,7.93430689368057
900,No_change,2015,7.93430689368057
900,Zero_migration,2015,7.93430689368057
900,Constant_fertility,2020,6.97465104904576
900,Constant_mortality,2020,7.04962339398157
900,High_variant,2020,6.97465104904576
900,Instant_replacement,2020,6.9746413656964
900,Low_variant,2020,6.97465104904576
900,Medium_variant,2020,6.97465104904576
900,No_change,2020,7.0496244914207
900,Zero_migration,2020,6.97395616828947
900,Constant_fertility,2025,6.22574345697957
900,Constant_mortality,2025,6.39936070329082
900,High_variant,2025,6.22574345697957
900,Instant_replacement,2025,6.22570788962322
900,Low_variant,2025,6.22574345697957
900,Medium_variant,2025,6.22574345697957
900,No_change,2025,6.39936586092624
900,Zero_migration,2025,6.22418683652591
900,Constant_fertility,2030,5.52463294205409
900,Constant_mortality,2030,5.79867718691035
900,High_variant,2030,5.52463294205409
900,Instant_replacement,2030,5.52457381443463
900,Low_variant,2030,5.52463294205409
900,Medium_variant,2030,5.52463294205409
900,No_change,2030,5.79869095599277
900,Zero_migration,2030,5.52235105739318
900,Constant_fertility,2035,4.95301554301874
900,Constant_mortality,2035,5.29241346392451
900,High_variant,2035,4.98684880452114
900,Instant_replacement,2035,4.87315578968313
900,Low_variant,2035,4.86751693339955
900,Medium_variant,2035,4.92723062211767
900,No_change,2035,5.31988276498305
900,Zero_migration,2035,4.92332655734297
900,Constant_fertility,2040,4.5587008671257
900,Constant_mortality,2040,4.94497713130398
900,High_variant,2040,4.6246655876094
900,Instant_replacement,2040,4.39378726990832
900,Low_variant,2040,4.34917157914766
900,Medium_variant,2040,4.48697220391835
900,No_change,2040,5.02300799889139
900,Zero_migration,2040,4.48103671620619
900,Constant_fertility,2045,4.34045441372061
900,Constant_mortality,2045,4.76673362719702
900,High_variant,2045,4.42817036491982
900,Instant_replacement,2045,4.08128337930413
900,Low_variant,2045,3.98084472447368
900,Medium_variant,2045,4.20457060268032
900,No_change,2045,4.91824675902917
900,Zero_migration,2045,4.19709497278008
900,Constant_fertility,2050,4.12311602746809
900,Constant_mortality,2050,4.55220870768433
900,High_variant,2050,4.20507118888579
900,Instant_replacement,2050,3.76202179570283
900,Low_variant,2050,3.61205747115661
900,Medium_variant,2050,3.90835842477854
900,No_change,2050,4.79731819453913
900,Zero_migration,2050,3.90117644599488
900,Constant_fertility,2055,3.8966977920657
900,Constant_mortality,2055,4.28079250589412
900,High_variant,2055,3.95333903513696
900,Instant_replacement,2055,3.42221376409651
900,Low_variant,2055,3.22918909970712
900,Medium_variant,2055,3.58923122964732
900,No_change,2055,4.63852539229771
900,Zero_migration,2055,3.58463345268334
900,Constant_fertility,2060,3.82151605256638
900,Constant_mortality,2060,4.15023042111178
900,High_variant,2060,3.84102150223712
900,Instant_replacement,2060,3.20177148959939
900,Low_variant,2060,2.96157830850354
900,Medium_variant,2060,3.39436036796537
900,No_change,2060,4.65698762141205
900,Zero_migration,2060,3.3939032586195
900,Constant_fertility,2065,3.88103783833028
900,Constant_mortality,2065,4.14121600782497
900,High_variant,2065,3.84799785222285
900,Instant_replacement,2065,3.07667004302883
900,Low_variant,2065,2.77736912105267
900,Medium_variant,2065,3.29702973930849
900,No_change,2065,4.8486543408836
900,Zero_migration,2065,3.30014850607218
900,Constant_fertility,2070,3.98746712445545
900,Constant_mortality,2070,4.13517824476877
900,High_variant,2070,3.8767055699653
900,Instant_replacement,2070,2.96480522402901
900,Low_variant,2070,2.59702540900057
900,Medium_variant,2070,3.20923610167013
900,No_change,2070,5.09607576923451
900,Zero_migration,2070,3.21504518884058
900,Constant_fertility,2075,4.11291772303186
900,Constant_mortality,2075,4.08122255699522
900,High_variant,2075,3.88909392200632
900,Instant_replacement,2075,2.83896940162038
900,Low_variant,2075,2.4000044824654
900,Medium_variant,2075,3.10283909553701
900,No_change,2075,5.34588958910638
900,Zero_migration,2075,3.11118895446707
900,Constant_fertility,2080,4.25875948203032
900,Constant_mortality,2080,3.97675746047937
900,High_variant,2080,3.88104011102786
900,Instant_replacement,2080,2.69980404835168
900,Low_variant,2080,2.19095662116607
900,Medium_variant,2080,2.97866665652318
900,No_change,2080,5.59181915923993
900,Zero_migration,2080,2.98942572755655
900,Constant_fertility,2085,4.40954344815306
900,Constant_mortality,2085,3.8840735354354
900,High_variant,2085,3.76389871734568
900,Instant_replacement,2085,2.63980038235362
900,Low_variant,2085,2.07576046840535
900,Medium_variant,2085,2.86645562663348
900,No_change,2085,5.82950130154789
900,Zero_migration,2085,2.87957671204908
900,Constant_fertility,2090,4.58555522645929
900,Constant_mortality,2090,3.83254305451196
900,High_variant,2090,3.62885172843386
900,Instant_replacement,2090,2.58637627983848
900,Low_variant,2090,2.01450991366707
900,Medium_variant,2090,2.776609176636
900,No_change,2090,6.11135191702559
900,Zero_migration,2090,2.79046547575425
