country,variant,gender,freq,year,lifeexpectancyat80
608,estimates,female,5yearly,1950,5.4701625
608,estimates,male,5yearly,1950,5.0227091
608,estimates,female,5yearly,1955,5.4937749
608,estimates,male,5yearly,1955,5.0468635
608,estimates,female,5yearly,1960,5.517297
608,estimates,male,5yearly,1960,5.0709458
608,estimates,female,5yearly,1965,5.5471148
608,estimates,male,5yearly,1965,5.1093187
608,estimates,female,5yearly,1970,5.5774866
608,estimates,male,5yearly,1970,5.1495145
608,estimates,female,5yearly,1975,5.6076967
608,estimates,male,5yearly,1975,5.1899536
608,estimates,female,5yearly,1980,5.6377423
608,estimates,male,5yearly,1980,5.2306366
608,estimates,female,5yearly,1985,5.6676208
608,estimates,male,5yearly,1985,5.2715642
608,estimates,female,5yearly,1990,5.722718
608,estimates,male,5yearly,1990,5.3285392
608,estimates,female,5yearly,1995,5.9441249
608,estimates,male,5yearly,1995,5.5344574
608,estimates,female,5yearly,2000,6.0315799
608,estimates,male,5yearly,2000,5.6053519
608,estimates,female,5yearly,2005,6.0504473
608,estimates,male,5yearly,2005,5.6417345
608,estimates,female,5yearly,2010,6.0692049
608,estimates,male,5yearly,2010,5.7476058
608,medium_variant,female,5yearly,2015,6.1725091
608,medium_variant,male,5yearly,2015,5.8071933
608,medium_variant,female,5yearly,2020,6.3019381
608,medium_variant,male,5yearly,2020,5.8663434
608,medium_variant,female,5yearly,2025,6.4384552
608,medium_variant,male,5yearly,2025,5.9265812
608,medium_variant,female,5yearly,2030,6.6459211
608,medium_variant,male,5yearly,2030,5.9842535
608,medium_variant,female,5yearly,2035,6.8638914
608,medium_variant,male,5yearly,2035,6.0484358
608,medium_variant,female,5yearly,2040,7.0838953
608,medium_variant,male,5yearly,2040,6.1181457
608,medium_variant,female,5yearly,2045,7.3107025
608,medium_variant,male,5yearly,2045,6.1942977
608,medium_variant,female,5yearly,2050,7.5460085
608,medium_variant,male,5yearly,2050,6.3350358
608,medium_variant,female,5yearly,2055,7.7741351
608,medium_variant,male,5yearly,2055,6.4775193
608,medium_variant,female,5yearly,2060,8.0086012
608,medium_variant,male,5yearly,2060,6.6305382
608,medium_variant,female,5yearly,2065,8.2535933
608,medium_variant,male,5yearly,2065,6.7911127
608,medium_variant,female,5yearly,2070,8.5246174
608,medium_variant,male,5yearly,2070,6.9699048
608,medium_variant,female,5yearly,2075,8.7926611
608,medium_variant,male,5yearly,2075,7.1677612
608,medium_variant,female,5yearly,2080,9.0638301
608,medium_variant,male,5yearly,2080,7.3834206
608,medium_variant,female,5yearly,2085,9.3378691
608,medium_variant,male,5yearly,2085,7.624712
608,medium_variant,female,5yearly,2090,9.6139332
608,medium_variant,male,5yearly,2090,7.883371
608,medium_variant,female,5yearly,2095,9.8910268
608,medium_variant,male,5yearly,2095,8.1629846
608,estimates,female,5yearly,Regi,Philippines
608,estimates,male,5yearly,Regi,Philippines
608,medium_variant,female,5yearly,Regi,Philippines
608,medium_variant,male,5yearly,Regi,Philippines
