variant,country,year,lifeexpectancyatbirth
estimates,124,1950,68.491
estimates,124,1951,68.636
estimates,124,1952,68.922
estimates,124,1953,69.198
estimates,124,1954,69.465
estimates,124,1955,69.723
estimates,124,1956,69.971
estimates,124,1957,70.21
estimates,124,1958,70.438
estimates,124,1959,70.657
estimates,124,1960,70.865
estimates,124,1961,71.062
estimates,124,1962,71.248
estimates,124,1963,71.426
estimates,124,1964,71.595
estimates,124,1965,71.758
estimates,124,1966,71.915
estimates,124,1967,72.068
estimates,124,1968,72.22
estimates,124,1969,72.377
estimates,124,1970,72.542
estimates,124,1971,72.72
estimates,124,1972,72.914
estimates,124,1973,73.126
estimates,124,1974,73.356
estimates,124,1975,73.607
estimates,124,1976,73.882
estimates,124,1977,74.175
estimates,124,1978,74.482
estimates,124,1979,74.795
estimates,124,1980,75.105
estimates,124,1981,75.403
estimates,124,1982,75.683
estimates,124,1983,75.941
estimates,124,1984,76.175
estimates,124,1985,76.386
estimates,124,1986,76.578
estimates,124,1987,76.761
estimates,124,1988,76.94
estimates,124,1989,77.12
estimates,124,1990,77.299
estimates,124,1991,77.476
estimates,124,1992,77.649
estimates,124,1993,77.816
estimates,124,1994,77.981
estimates,124,1995,78.146
estimates,124,1996,78.318
estimates,124,1997,78.5
estimates,124,1998,78.693
estimates,124,1999,78.898
estimates,124,2000,79.114
estimates,124,2001,79.338
estimates,124,2002,79.565
estimates,124,2003,79.791
estimates,124,2004,80.013
estimates,124,2005,80.232
estimates,124,2006,80.447
estimates,124,2007,80.659
estimates,124,2008,80.87
estimates,124,2009,81.079
estimates,124,2010,81.284
estimates,124,2011,81.482
estimates,124,2012,81.674
estimates,124,2013,81.858
estimates,124,2014,82.035
estimates,124,2015,82.206
medium_variant,124,2015,82.206
medium_variant,124,2016,82.374
medium_variant,124,2017,82.541
medium_variant,124,2018,82.708
medium_variant,124,2019,82.877
medium_variant,124,2020,83.046
medium_variant,124,2021,83.215
medium_variant,124,2022,83.382
medium_variant,124,2023,83.547
medium_variant,124,2024,83.708
medium_variant,124,2025,83.865
medium_variant,124,2026,84.017
medium_variant,124,2027,84.165
medium_variant,124,2028,84.31
medium_variant,124,2029,84.451
medium_variant,124,2030,84.588
medium_variant,124,2031,84.723
medium_variant,124,2032,84.854
medium_variant,124,2033,84.984
medium_variant,124,2034,85.111
medium_variant,124,2035,85.237
medium_variant,124,2036,85.362
medium_variant,124,2037,85.485
medium_variant,124,2038,85.608
medium_variant,124,2039,85.73
medium_variant,124,2040,85.852
medium_variant,124,2041,85.973
medium_variant,124,2042,86.093
medium_variant,124,2043,86.212
medium_variant,124,2044,86.331
medium_variant,124,2045,86.449
medium_variant,124,2046,86.566
medium_variant,124,2047,86.683
medium_variant,124,2048,86.799
medium_variant,124,2049,86.914
medium_variant,124,2050,87.029
medium_variant,124,2051,87.145
medium_variant,124,2052,87.26
medium_variant,124,2053,87.376
medium_variant,124,2054,87.492
medium_variant,124,2055,87.608
medium_variant,124,2056,87.723
medium_variant,124,2057,87.838
medium_variant,124,2058,87.951
medium_variant,124,2059,88.064
medium_variant,124,2060,88.176
medium_variant,124,2061,88.287
medium_variant,124,2062,88.4
medium_variant,124,2063,88.513
medium_variant,124,2064,88.627
medium_variant,124,2065,88.741
medium_variant,124,2066,88.855
medium_variant,124,2067,88.968
medium_variant,124,2068,89.081
medium_variant,124,2069,89.192
medium_variant,124,2070,89.303
medium_variant,124,2071,89.414
medium_variant,124,2072,89.525
medium_variant,124,2073,89.639
medium_variant,124,2074,89.753
medium_variant,124,2075,89.868
medium_variant,124,2076,89.983
medium_variant,124,2077,90.098
medium_variant,124,2078,90.212
medium_variant,124,2079,90.324
medium_variant,124,2080,90.435
medium_variant,124,2081,90.546
medium_variant,124,2082,90.656
medium_variant,124,2083,90.766
medium_variant,124,2084,90.877
medium_variant,124,2085,90.987
medium_variant,124,2086,91.098
medium_variant,124,2087,91.208
medium_variant,124,2088,91.318
medium_variant,124,2089,91.427
medium_variant,124,2090,91.536
medium_variant,124,2091,91.645
medium_variant,124,2092,91.753
medium_variant,124,2093,91.862
medium_variant,124,2094,91.97
medium_variant,124,2095,92.078
medium_variant,124,2096,92.187
medium_variant,124,2097,92.296
medium_variant,124,2098,92.404
medium_variant,124,2099,92.513
