variant,country,year,lifeexpectancyatbirth
estimates,418,1950,40.339
estimates,418,1951,40.485
estimates,418,1952,40.78
estimates,418,1953,41.077
estimates,418,1954,41.376
estimates,418,1955,41.676
estimates,418,1956,41.979
estimates,418,1957,42.284
estimates,418,1958,42.59
estimates,418,1959,42.897
estimates,418,1960,43.204
estimates,418,1961,43.511
estimates,418,1962,43.817
estimates,418,1963,44.121
estimates,418,1964,44.424
estimates,418,1965,44.728
estimates,418,1966,45.033
estimates,418,1967,45.34
estimates,418,1968,45.65
estimates,418,1969,45.962
estimates,418,1970,46.273
estimates,418,1971,46.578
estimates,418,1972,46.876
estimates,418,1973,47.166
estimates,418,1974,47.449
estimates,418,1975,47.722
estimates,418,1976,47.985
estimates,418,1977,48.244
estimates,418,1978,48.503
estimates,418,1979,48.771
estimates,418,1980,49.06
estimates,418,1981,49.38
estimates,418,1982,49.74
estimates,418,1983,50.14
estimates,418,1984,50.58
estimates,418,1985,51.055
estimates,418,1986,51.553
estimates,418,1987,52.064
estimates,418,1988,52.576
estimates,418,1989,53.085
estimates,418,1990,53.589
estimates,418,1991,54.09
estimates,418,1992,54.594
estimates,418,1993,55.106
estimates,418,1994,55.628
estimates,418,1995,56.158
estimates,418,1996,56.698
estimates,418,1997,57.246
estimates,418,1998,57.801
estimates,418,1999,58.359
estimates,418,2000,58.923
estimates,418,2001,59.494
estimates,418,2002,60.07
estimates,418,2003,60.648
estimates,418,2004,61.224
estimates,418,2005,61.793
estimates,418,2006,62.348
estimates,418,2007,62.886
estimates,418,2008,63.402
estimates,418,2009,63.893
estimates,418,2010,64.357
estimates,418,2011,64.795
estimates,418,2012,65.208
estimates,418,2013,65.6
estimates,418,2014,65.975
estimates,418,2015,66.335
medium_variant,418,2015,66.335
medium_variant,418,2016,66.683
medium_variant,418,2017,67.021
medium_variant,418,2018,67.351
medium_variant,418,2019,67.674
medium_variant,418,2020,67.991
medium_variant,418,2021,68.301
medium_variant,418,2022,68.603
medium_variant,418,2023,68.896
medium_variant,418,2024,69.179
medium_variant,418,2025,69.454
medium_variant,418,2026,69.72
medium_variant,418,2027,69.98
medium_variant,418,2028,70.234
medium_variant,418,2029,70.482
medium_variant,418,2030,70.725
medium_variant,418,2031,70.961
medium_variant,418,2032,71.192
medium_variant,418,2033,71.416
medium_variant,418,2034,71.635
medium_variant,418,2035,71.848
medium_variant,418,2036,72.055
medium_variant,418,2037,72.258
medium_variant,418,2038,72.456
medium_variant,418,2039,72.65
medium_variant,418,2040,72.841
medium_variant,418,2041,73.029
medium_variant,418,2042,73.213
medium_variant,418,2043,73.395
medium_variant,418,2044,73.573
medium_variant,418,2045,73.75
medium_variant,418,2046,73.924
medium_variant,418,2047,74.097
medium_variant,418,2048,74.268
medium_variant,418,2049,74.438
medium_variant,418,2050,74.606
medium_variant,418,2051,74.773
medium_variant,418,2052,74.938
medium_variant,418,2053,75.102
medium_variant,418,2054,75.264
medium_variant,418,2055,75.425
medium_variant,418,2056,75.584
medium_variant,418,2057,75.742
medium_variant,418,2058,75.9
medium_variant,418,2059,76.057
medium_variant,418,2060,76.213
medium_variant,418,2061,76.369
medium_variant,418,2062,76.525
medium_variant,418,2063,76.68
medium_variant,418,2064,76.834
medium_variant,418,2065,76.988
medium_variant,418,2066,77.141
medium_variant,418,2067,77.294
medium_variant,418,2068,77.445
medium_variant,418,2069,77.596
medium_variant,418,2070,77.746
medium_variant,418,2071,77.896
medium_variant,418,2072,78.044
medium_variant,418,2073,78.193
medium_variant,418,2074,78.342
medium_variant,418,2075,78.49
medium_variant,418,2076,78.638
medium_variant,418,2077,78.786
medium_variant,418,2078,78.934
medium_variant,418,2079,79.081
medium_variant,418,2080,79.229
medium_variant,418,2081,79.376
medium_variant,418,2082,79.524
medium_variant,418,2083,79.671
medium_variant,418,2084,79.819
medium_variant,418,2085,79.967
medium_variant,418,2086,80.115
medium_variant,418,2087,80.263
medium_variant,418,2088,80.411
medium_variant,418,2089,80.56
medium_variant,418,2090,80.708
medium_variant,418,2091,80.856
medium_variant,418,2092,81.003
medium_variant,418,2093,81.15
medium_variant,418,2094,81.297
medium_variant,418,2095,81.443
medium_variant,418,2096,81.589
medium_variant,418,2097,81.734
medium_variant,418,2098,81.879
medium_variant,418,2099,82.023
