variant,country,year,lifeexpectancyatbirth
estimates,586,1950,34.546
estimates,586,1951,35.189
estimates,586,1952,36.456
estimates,586,1953,37.687
estimates,586,1954,38.881
estimates,586,1955,40.038
estimates,586,1956,41.158
estimates,586,1957,42.242
estimates,586,1958,43.287
estimates,586,1959,44.295
estimates,586,1960,45.265
estimates,586,1961,46.195
estimates,586,1962,47.085
estimates,586,1963,47.936
estimates,586,1964,48.747
estimates,586,1965,49.52
estimates,586,1966,50.255
estimates,586,1967,50.954
estimates,586,1968,51.617
estimates,586,1969,52.245
estimates,586,1970,52.837
estimates,586,1971,53.389
estimates,586,1972,53.901
estimates,586,1973,54.376
estimates,586,1974,54.815
estimates,586,1975,55.224
estimates,586,1976,55.606
estimates,586,1977,55.966
estimates,586,1978,56.311
estimates,586,1979,56.645
estimates,586,1980,56.972
estimates,586,1981,57.295
estimates,586,1982,57.613
estimates,586,1983,57.926
estimates,586,1984,58.237
estimates,586,1985,58.545
estimates,586,1986,58.852
estimates,586,1987,59.157
estimates,586,1988,59.458
estimates,586,1989,59.756
estimates,586,1990,60.05
estimates,586,1991,60.338
estimates,586,1992,60.621
estimates,586,1993,60.898
estimates,586,1994,61.169
estimates,586,1995,61.436
estimates,586,1996,61.7
estimates,586,1997,61.961
estimates,586,1998,62.22
estimates,586,1999,62.476
estimates,586,2000,62.727
estimates,586,2001,62.967
estimates,586,2002,63.196
estimates,586,2003,63.414
estimates,586,2004,63.625
estimates,586,2005,63.836
estimates,586,2006,64.06
estimates,586,2007,64.303
estimates,586,2008,64.565
estimates,586,2009,64.845
estimates,586,2010,65.134
estimates,586,2011,65.419
estimates,586,2012,65.686
estimates,586,2013,65.927
estimates,586,2014,66.139
estimates,586,2015,66.322
medium_variant,586,2015,66.322
medium_variant,586,2016,66.481
medium_variant,586,2017,66.629
medium_variant,586,2018,66.773
medium_variant,586,2019,66.917
medium_variant,586,2020,67.064
medium_variant,586,2021,67.213
medium_variant,586,2022,67.362
medium_variant,586,2023,67.509
medium_variant,586,2024,67.654
medium_variant,586,2025,67.798
medium_variant,586,2026,67.941
medium_variant,586,2027,68.083
medium_variant,586,2028,68.226
medium_variant,586,2029,68.368
medium_variant,586,2030,68.51
medium_variant,586,2031,68.652
medium_variant,586,2032,68.792
medium_variant,586,2033,68.931
medium_variant,586,2034,69.069
medium_variant,586,2035,69.205
medium_variant,586,2036,69.338
medium_variant,586,2037,69.47
medium_variant,586,2038,69.6
medium_variant,586,2039,69.728
medium_variant,586,2040,69.856
medium_variant,586,2041,69.983
medium_variant,586,2042,70.111
medium_variant,586,2043,70.24
medium_variant,586,2044,70.369
medium_variant,586,2045,70.499
medium_variant,586,2046,70.63
medium_variant,586,2047,70.76
medium_variant,586,2048,70.889
medium_variant,586,2049,71.018
medium_variant,586,2050,71.146
medium_variant,586,2051,71.272
medium_variant,586,2052,71.398
medium_variant,586,2053,71.524
medium_variant,586,2054,71.648
medium_variant,586,2055,71.773
medium_variant,586,2056,71.896
medium_variant,586,2057,72.018
medium_variant,586,2058,72.139
medium_variant,586,2059,72.259
medium_variant,586,2060,72.379
medium_variant,586,2061,72.499
medium_variant,586,2062,72.62
medium_variant,586,2063,72.743
medium_variant,586,2064,72.866
medium_variant,586,2065,72.991
medium_variant,586,2066,73.118
medium_variant,586,2067,73.247
medium_variant,586,2068,73.377
medium_variant,586,2069,73.508
medium_variant,586,2070,73.639
medium_variant,586,2071,73.771
medium_variant,586,2072,73.904
medium_variant,586,2073,74.037
medium_variant,586,2074,74.17
medium_variant,586,2075,74.303
medium_variant,586,2076,74.436
medium_variant,586,2077,74.57
medium_variant,586,2078,74.704
medium_variant,586,2079,74.839
medium_variant,586,2080,74.976
medium_variant,586,2081,75.114
medium_variant,586,2082,75.253
medium_variant,586,2083,75.395
medium_variant,586,2084,75.538
medium_variant,586,2085,75.683
medium_variant,586,2086,75.827
medium_variant,586,2087,75.971
medium_variant,586,2088,76.113
medium_variant,586,2089,76.256
medium_variant,586,2090,76.398
medium_variant,586,2091,76.54
medium_variant,586,2092,76.683
medium_variant,586,2093,76.828
medium_variant,586,2094,76.975
medium_variant,586,2095,77.125
medium_variant,586,2096,77.277
medium_variant,586,2097,77.433
medium_variant,586,2098,77.591
medium_variant,586,2099,77.752
