variant,country,year,lifeexpectancyatbirth
estimates,233,1950,59.051
estimates,233,1951,59.794
estimates,233,1952,61.22
estimates,233,1953,62.53
estimates,233,1954,63.722
estimates,233,1955,64.797
estimates,233,1956,65.756
estimates,233,1957,66.601
estimates,233,1958,67.336
estimates,233,1959,67.965
estimates,233,1960,68.497
estimates,233,1961,68.941
estimates,233,1962,69.307
estimates,233,1963,69.608
estimates,233,1964,69.853
estimates,233,1965,70.052
estimates,233,1966,70.209
estimates,233,1967,70.322
estimates,233,1968,70.393
estimates,233,1969,70.427
estimates,233,1970,70.423
estimates,233,1971,70.376
estimates,233,1972,70.287
estimates,233,1973,70.16
estimates,233,1974,70.008
estimates,233,1975,69.841
estimates,233,1976,69.672
estimates,233,1977,69.514
estimates,233,1978,69.379
estimates,233,1979,69.279
estimates,233,1980,69.237
estimates,233,1981,69.273
estimates,233,1982,69.383
estimates,233,1983,69.552
estimates,233,1984,69.756
estimates,233,1985,69.946
estimates,233,1986,70.061
estimates,233,1987,70.065
estimates,233,1988,69.945
estimates,233,1989,69.711
estimates,233,1990,69.402
estimates,233,1991,69.073
estimates,233,1992,68.794
estimates,233,1993,68.617
estimates,233,1994,68.569
estimates,233,1995,68.66
estimates,233,1996,68.883
estimates,233,1997,69.198
estimates,233,1998,69.569
estimates,233,1999,69.979
estimates,233,2000,70.409
estimates,233,2001,70.845
estimates,233,2002,71.285
estimates,233,2003,71.728
estimates,233,2004,72.17
estimates,233,2005,72.622
estimates,233,2006,73.104
estimates,233,2007,73.627
estimates,233,2008,74.189
estimates,233,2009,74.778
estimates,233,2010,75.367
estimates,233,2011,75.92
estimates,233,2012,76.41
estimates,233,2013,76.819
estimates,233,2014,77.141
estimates,233,2015,77.383
medium_variant,233,2015,77.383
medium_variant,233,2016,77.562
medium_variant,233,2017,77.709
medium_variant,233,2018,77.85
medium_variant,233,2019,77.998
medium_variant,233,2020,78.16
medium_variant,233,2021,78.338
medium_variant,233,2022,78.523
medium_variant,233,2023,78.707
medium_variant,233,2024,78.891
medium_variant,233,2025,79.075
medium_variant,233,2026,79.259
medium_variant,233,2027,79.443
medium_variant,233,2028,79.626
medium_variant,233,2029,79.809
medium_variant,233,2030,79.992
medium_variant,233,2031,80.174
medium_variant,233,2032,80.356
medium_variant,233,2033,80.537
medium_variant,233,2034,80.717
medium_variant,233,2035,80.895
medium_variant,233,2036,81.072
medium_variant,233,2037,81.246
medium_variant,233,2038,81.418
medium_variant,233,2039,81.586
medium_variant,233,2040,81.751
medium_variant,233,2041,81.913
medium_variant,233,2042,82.071
medium_variant,233,2043,82.226
medium_variant,233,2044,82.377
medium_variant,233,2045,82.524
medium_variant,233,2046,82.668
medium_variant,233,2047,82.808
medium_variant,233,2048,82.946
medium_variant,233,2049,83.08
medium_variant,233,2050,83.213
medium_variant,233,2051,83.343
medium_variant,233,2052,83.472
medium_variant,233,2053,83.599
medium_variant,233,2054,83.725
medium_variant,233,2055,83.851
medium_variant,233,2056,83.975
medium_variant,233,2057,84.099
medium_variant,233,2058,84.222
medium_variant,233,2059,84.344
medium_variant,233,2060,84.466
medium_variant,233,2061,84.587
medium_variant,233,2062,84.708
medium_variant,233,2063,84.828
medium_variant,233,2064,84.948
medium_variant,233,2065,85.067
medium_variant,233,2066,85.186
medium_variant,233,2067,85.304
medium_variant,233,2068,85.422
medium_variant,233,2069,85.539
medium_variant,233,2070,85.656
medium_variant,233,2071,85.773
medium_variant,233,2072,85.889
medium_variant,233,2073,86.005
medium_variant,233,2074,86.121
medium_variant,233,2075,86.237
medium_variant,233,2076,86.353
medium_variant,233,2077,86.469
medium_variant,233,2078,86.585
medium_variant,233,2079,86.701
medium_variant,233,2080,86.818
medium_variant,233,2081,86.934
medium_variant,233,2082,87.051
medium_variant,233,2083,87.167
medium_variant,233,2084,87.283
medium_variant,233,2085,87.399
medium_variant,233,2086,87.514
medium_variant,233,2087,87.629
medium_variant,233,2088,87.743
medium_variant,233,2089,87.856
medium_variant,233,2090,87.969
medium_variant,233,2091,88.082
medium_variant,233,2092,88.195
medium_variant,233,2093,88.308
medium_variant,233,2094,88.421
medium_variant,233,2095,88.534
medium_variant,233,2096,88.647
medium_variant,233,2097,88.76
medium_variant,233,2098,88.874
medium_variant,233,2099,88.987
