continent,variant,gender,freq,year,totaldeaths
908,estimates,female,5yearly,1950,15601.568
908,estimates,male,5yearly,1950,15820.219
908,estimates,female,5yearly,1955,14886.249
908,estimates,male,5yearly,1955,15207.131
908,estimates,female,5yearly,1960,14897.614
908,estimates,male,5yearly,1960,15210.532
908,estimates,female,5yearly,1965,15746.416
908,estimates,male,5yearly,1965,16222.496
908,estimates,female,5yearly,1970,16733.719
908,estimates,male,5yearly,1970,17248.212
908,estimates,female,5yearly,1975,17632.224
908,estimates,male,5yearly,1975,18371.523
908,estimates,female,5yearly,1980,18623.657
908,estimates,male,5yearly,1980,19129.342
908,estimates,female,5yearly,1985,19129.562
908,estimates,male,5yearly,1985,18871.915
908,estimates,female,5yearly,1990,20104.503
908,estimates,male,5yearly,1990,20517.24
908,estimates,female,5yearly,1995,20678.451
908,estimates,male,5yearly,1995,21272.325
908,estimates,female,5yearly,2000,20671.451
908,estimates,male,5yearly,2000,21712.307
908,estimates,female,5yearly,2005,20233.001
908,estimates,male,5yearly,2005,21193.93
908,estimates,female,5yearly,2010,20101.701
908,estimates,male,5yearly,2010,20289.032
908,constant_fertility,female,5yearly,2015,20774.466
908,constant_fertility,male,5yearly,2015,20790.072
908,constant_mortality,female,5yearly,2015,21831.729
908,constant_mortality,male,5yearly,2015,22158.986
908,high_variant,female,5yearly,2015,20789.562
908,high_variant,male,5yearly,2015,20810.322
908,instant_replacement,female,5yearly,2015,20798.619
908,instant_replacement,male,5yearly,2015,20822.686
908,low_variant,female,5yearly,2015,20765.56
908,low_variant,male,5yearly,2015,20778.036
908,medium_variant,female,5yearly,2015,20777.558
908,medium_variant,male,5yearly,2015,20794.182
908,momentum,female,5yearly,2015,21856.172
908,momentum,male,5yearly,2015,22183.735
908,no_change,female,5yearly,2015,21827.977
908,no_change,male,5yearly,2015,22154.04
908,zero_migration,female,5yearly,2015,20776.14
908,zero_migration,male,5yearly,2015,20785.255
908,constant_fertility,female,5yearly,2020,21089.651
908,constant_fertility,male,5yearly,2020,21244.845
908,constant_mortality,female,5yearly,2020,22945.006
908,constant_mortality,male,5yearly,2020,23592.964
908,high_variant,female,5yearly,2020,21112.494
908,high_variant,male,5yearly,2020,21275.571
908,instant_replacement,female,5yearly,2020,21113.923
908,instant_replacement,male,5yearly,2020,21277.79
908,low_variant,female,5yearly,2020,21077.544
908,low_variant,male,5yearly,2020,21228.706
908,medium_variant,female,5yearly,2020,21095.017
908,medium_variant,male,5yearly,2020,21252.14
908,momentum,female,5yearly,2020,22954.847
908,momentum,male,5yearly,2020,23583.759
908,no_change,female,5yearly,2020,22937.572
908,no_change,male,5yearly,2020,23582.967
908,zero_migration,female,5yearly,2020,21081.051
908,zero_migration,male,5yearly,2020,21215.089
908,constant_fertility,female,5yearly,2025,21367.969
908,constant_fertility,male,5yearly,2025,21660.59
908,constant_mortality,female,5yearly,2025,23796.522
908,constant_mortality,male,5yearly,2025,24757.522
908,high_variant,female,5yearly,2025,21392.861
908,high_variant,male,5yearly,2025,21694.062
908,instant_replacement,female,5yearly,2025,21389.61
908,instant_replacement,male,5yearly,2025,21690.193
908,low_variant,female,5yearly,2025,21353.598
908,low_variant,male,5yearly,2025,21641.462
908,medium_variant,female,5yearly,2025,21373.228
908,medium_variant,male,5yearly,2025,21667.762
908,momentum,female,5yearly,2025,23783.671
908,momentum,male,5yearly,2025,24704.817
908,no_change,female,5yearly,2025,23788.369
908,no_change,male,5yearly,2025,24746.488
908,zero_migration,female,5yearly,2025,21343.215
908,zero_migration,male,5yearly,2025,21600.442
908,constant_fertility,female,5yearly,2030,21876.762
908,constant_fertility,male,5yearly,2030,22131.574
908,constant_mortality,female,5yearly,2030,24779.628
908,constant_mortality,male,5yearly,2030,25768.07
908,high_variant,female,5yearly,2030,21901.149
908,high_variant,male,5yearly,2030,22165.225
908,instant_replacement,female,5yearly,2030,21897.6
908,instant_replacement,male,5yearly,2030,22161.452
908,low_variant,female,5yearly,2030,21861.711
908,low_variant,male,5yearly,2030,22110.879
908,medium_variant,female,5yearly,2030,21881.401
908,medium_variant,male,5yearly,2030,22138.016
908,momentum,female,5yearly,2030,24738.102
908,momentum,male,5yearly,2030,25664.844
908,no_change,female,5yearly,2030,24771.756
908,no_change,male,5yearly,2030,25757.065
908,zero_migration,female,5yearly,2030,21830.517
908,zero_migration,male,5yearly,2030,22034.154
908,constant_fertility,female,5yearly,2035,22680.485
908,constant_fertility,male,5yearly,2035,22631.165
908,constant_mortality,female,5yearly,2035,25911.753
908,constant_mortality,male,5yearly,2035,26590.155
908,high_variant,female,5yearly,2035,22708.491
908,high_variant,male,5yearly,2035,22673.638
908,instant_replacement,female,5yearly,2035,22705.163
908,instant_replacement,male,5yearly,2035,22671.822
908,low_variant,female,5yearly,2035,22664.274
908,low_variant,male,5yearly,2035,22606.44
908,medium_variant,female,5yearly,2035,22686.216
908,medium_variant,male,5yearly,2035,22639.812
908,momentum,female,5yearly,2035,25834.851
908,momentum,male,5yearly,2035,26435.019
908,no_change,female,5yearly,2035,25901.412
908,no_change,male,5yearly,2035,26573.836
908,zero_migration,female,5yearly,2035,22608.489
908,zero_migration,male,5yearly,2035,22491.169
908,constant_fertility,female,5yearly,2040,23474.15
908,constant_fertility,male,5yearly,2040,22993.345
908,constant_mortality,female,5yearly,2040,26798.325
908,constant_mortality,male,5yearly,2040,27091.714
908,high_variant,female,5yearly,2040,23510.29
908,high_variant,male,5yearly,2040,23054.89
908,instant_replacement,female,5yearly,2040,23506.795
908,instant_replacement,male,5yearly,2040,23053.506
908,low_variant,female,5yearly,2040,23456.09
908,low_variant,male,5yearly,2040,22961.858
908,medium_variant,female,5yearly,2040,23482.616
908,medium_variant,male,5yearly,2040,23007.613
908,momentum,female,5yearly,2040,26675.616
908,momentum,male,5yearly,2040,26876.292
908,no_change,female,5yearly,2040,26782.161
908,no_change,male,5yearly,2040,27062.962
908,zero_migration,female,5yearly,2040,23370.191
908,zero_migration,male,5yearly,2040,22803.161
908,constant_fertility,female,5yearly,2045,23975.595
908,constant_fertility,male,5yearly,2045,23224.137
908,constant_mortality,female,5yearly,2045,27157.336
908,constant_mortality,male,5yearly,2045,27231.727
908,high_variant,female,5yearly,2045,24023.31
908,high_variant,male,5yearly,2045,23311.765
908,instant_replacement,female,5yearly,2045,24019.359
908,instant_replacement,male,5yearly,2045,23308.651
908,low_variant,female,5yearly,2045,23953.915
908,low_variant,male,5yearly,2045,23182.479
908,medium_variant,female,5yearly,2045,23987.343
908,medium_variant,male,5yearly,2045,23245.415
908,momentum,female,5yearly,2045,26974.724
908,momentum,male,5yearly,2045,26943.765
908,no_change,female,5yearly,2045,27133.737
908,no_change,male,5yearly,2045,27185.836
908,zero_migration,female,5yearly,2045,23829.328
908,zero_migration,male,5yearly,2045,22971.749
908,constant_fertility,female,5yearly,2050,24095.014
908,constant_fertility,male,5yearly,2050,23303.278
908,constant_mortality,female,5yearly,2050,27069.911
908,constant_mortality,male,5yearly,2050,26980.079
908,high_variant,female,5yearly,2050,24156.098
908,high_variant,male,5yearly,2050,23420.551
908,instant_replacement,female,5yearly,2050,24150.711
908,instant_replacement,male,5yearly,2050,23413.799
908,low_variant,female,5yearly,2050,24067.555
908,low_variant,male,5yearly,2050,23247.688
908,medium_variant,female,5yearly,2050,24109.8
908,medium_variant,male,5yearly,2050,23331.355
908,momentum,female,5yearly,2050,26804.784
908,momentum,male,5yearly,2050,26600.708
908,no_change,female,5yearly,2050,27038.592
908,no_change,male,5yearly,2050,26914.715
908,zero_migration,female,5yearly,2050,23892.045
908,zero_migration,male,5yearly,2050,22972.711
908,constant_fertility,female,5yearly,2055,24009.565
908,constant_fertility,male,5yearly,2055,23168.609
908,constant_mortality,female,5yearly,2055,26698.454
908,constant_mortality,male,5yearly,2055,26362.558
908,high_variant,female,5yearly,2055,24085.523
908,high_variant,male,5yearly,2055,23318.097
908,instant_replacement,female,5yearly,2055,24077.967
908,instant_replacement,male,5yearly,2055,23306.417
908,low_variant,female,5yearly,2055,23974.284
908,low_variant,male,5yearly,2055,23095.689
908,medium_variant,female,5yearly,2055,24027.305
908,medium_variant,male,5yearly,2055,23203.214
908,momentum,female,5yearly,2055,26321.773
908,momentum,male,5yearly,2055,25868.79
908,no_change,female,5yearly,2055,26659.01
908,no_change,male,5yearly,2055,26276.025
908,zero_migration,female,5yearly,2055,23731.103
908,zero_migration,male,5yearly,2055,22741.189
908,constant_fertility,female,5yearly,2060,23711.265
908,constant_fertility,male,5yearly,2060,22745.686
908,constant_mortality,female,5yearly,2060,26078.128
908,constant_mortality,male,5yearly,2060,25507.13
908,high_variant,female,5yearly,2060,23806.367
908,high_variant,male,5yearly,2060,22935.863
908,instant_replacement,female,5yearly,2060,23797.294
908,instant_replacement,male,5yearly,2060,22921.185
908,low_variant,female,5yearly,2060,23665.561
908,low_variant,male,5yearly,2060,22650.61
