variant,global,year,gender,childdependencyratio1564
estimates,900,1998,female,48.596
estimates,900,1999,female,47.789
estimates,900,2000,female,46.851
estimates,900,2001,female,46.039
estimates,900,2002,female,45.11
estimates,900,2003,female,44.131
estimates,900,2004,female,43.206
estimates,900,2005,female,42.392
estimates,900,2006,female,41.768
estimates,900,2007,female,41.208
estimates,900,2008,female,40.725
estimates,900,2009,female,40.309
estimates,900,2010,female,39.952
estimates,900,2011,female,39.703
estimates,900,2012,female,39.493
estimates,900,2013,female,39.318
estimates,900,2014,female,39.167
estimates,900,2015,female,39.026
medium_variant,900,2015,female,39.026
medium_variant,900,2016,female,38.923
medium_variant,900,2017,female,38.818
medium_variant,900,2018,female,38.7
medium_variant,900,2019,female,38.559
medium_variant,900,2020,female,38.392
medium_variant,900,2021,female,38.222
medium_variant,900,2022,female,38.026
medium_variant,900,2023,female,37.804
medium_variant,900,2024,female,37.565
medium_variant,900,2025,female,37.314
medium_variant,900,2026,female,37.095
medium_variant,900,2027,female,36.86
medium_variant,900,2028,female,36.617
medium_variant,900,2029,female,36.371
medium_variant,900,2030,female,36.131
medium_variant,900,2031,female,35.938
medium_variant,900,2032,female,35.744
medium_variant,900,2033,female,35.552
medium_variant,900,2034,female,35.366
medium_variant,900,2035,female,35.186
medium_variant,900,2036,female,35.05
medium_variant,900,2037,female,34.917
medium_variant,900,2038,female,34.787
medium_variant,900,2039,female,34.657
medium_variant,900,2040,female,34.528
medium_variant,900,2041,female,34.433
medium_variant,900,2042,female,34.332
medium_variant,900,2043,female,34.229
medium_variant,900,2044,female,34.13
medium_variant,900,2045,female,34.037
medium_variant,900,2046,female,33.98
medium_variant,900,2047,female,33.92
medium_variant,900,2048,female,33.858
medium_variant,900,2049,female,33.799
medium_variant,900,2050,female,33.744
medium_variant,900,2051,female,33.716
medium_variant,900,2052,female,33.686
medium_variant,900,2053,female,33.649
medium_variant,900,2054,female,33.595
medium_variant,900,2055,female,33.521
medium_variant,900,2056,female,33.452
medium_variant,900,2057,female,33.359
medium_variant,900,2058,female,33.247
medium_variant,900,2059,female,33.121
medium_variant,900,2060,female,32.984
medium_variant,900,2061,female,32.862
medium_variant,900,2062,female,32.727
medium_variant,900,2063,female,32.583
medium_variant,900,2064,female,32.436
medium_variant,900,2065,female,32.288
medium_variant,900,2066,female,32.167
medium_variant,900,2067,female,32.042
medium_variant,900,2068,female,31.917
medium_variant,900,2069,female,31.795
medium_variant,900,2070,female,31.679
medium_variant,900,2071,female,31.59
medium_variant,900,2072,female,31.503
medium_variant,900,2073,female,31.417
medium_variant,900,2074,female,31.333
medium_variant,900,2075,female,31.251
medium_variant,900,2076,female,31.191
medium_variant,900,2077,female,31.129
medium_variant,900,2078,female,31.064
medium_variant,900,2079,female,30.996
medium_variant,900,2080,female,30.924
medium_variant,900,2081,female,30.868
medium_variant,900,2082,female,30.804
medium_variant,900,2083,female,30.734
medium_variant,900,2084,female,30.658
medium_variant,900,2085,female,30.577
medium_variant,900,2086,female,30.508
medium_variant,900,2087,female,30.43
medium_variant,900,2088,female,30.346
medium_variant,900,2089,female,30.256
medium_variant,900,2090,female,30.162
medium_variant,900,2091,female,30.082
medium_variant,900,2092,female,29.995
medium_variant,900,2093,female,29.903
medium_variant,900,2094,female,29.809
medium_variant,900,2095,female,29.712
medium_variant,900,2096,female,29.631
medium_variant,900,2097,female,29.547
medium_variant,900,2098,female,29.46
medium_variant,900,2099,female,29.372
medium_variant,900,2100,female,29.286
