region,year,variant,gender,freq,age5yearinterval,totaldeaths
925,1950,estimates,female,5yearly,0_4,517.582
925,1950,estimates,male,5yearly,0_4,609.433
925,1950,estimates,female,5yearly,5_9,24.44
925,1950,estimates,male,5yearly,5_9,28.174
925,1950,estimates,female,5yearly,10_14,17.542
925,1950,estimates,male,5yearly,10_14,21.493
925,1950,estimates,female,5yearly,15_19,25.807
925,1950,estimates,male,5yearly,15_19,34.294
925,1950,estimates,female,5yearly,20_24,35.853
925,1950,estimates,male,5yearly,20_24,48.281
925,1950,estimates,female,5yearly,25_29,40.477
925,1950,estimates,male,5yearly,25_29,51.197
925,1950,estimates,female,5yearly,30_34,39.407
925,1950,estimates,male,5yearly,30_34,46.692
925,1950,estimates,female,5yearly,35_39,45.304
925,1950,estimates,male,5yearly,35_39,53.642
925,1950,estimates,female,5yearly,40_44,62.243
925,1950,estimates,male,5yearly,40_44,81.429
925,1950,estimates,female,5yearly,45_49,80.514
925,1950,estimates,male,5yearly,45_49,115.148
925,1950,estimates,female,5yearly,50_54,104.093
925,1950,estimates,male,5yearly,50_54,148.987
925,1950,estimates,female,5yearly,55_59,134.632
925,1950,estimates,male,5yearly,55_59,180.332
925,1950,estimates,female,5yearly,60_64,186.739
925,1950,estimates,male,5yearly,60_64,222.899
925,1950,estimates,female,5yearly,65_69,263.121
925,1950,estimates,male,5yearly,65_69,277.759
925,1950,estimates,female,5yearly,70_74,345.42
925,1950,estimates,male,5yearly,70_74,330.486
925,1950,estimates,female,5yearly,75_79,383.169
925,1950,estimates,male,5yearly,75_79,336.466
925,1950,estimates,female,5yearly,80_84,323.388
925,1950,estimates,male,5yearly,80_84,256.522
925,1950,estimates,female,5yearly,85_89,193.473
925,1950,estimates,male,5yearly,85_89,135.316
925,1950,estimates,female,5yearly,90_94,77.427
925,1950,estimates,male,5yearly,90_94,45.695
925,1950,estimates,female,5yearly,95plus,21.703
925,1950,estimates,male,5yearly,95plus,10.088
925,1955,estimates,female,5yearly,0_4,410.089
925,1955,estimates,male,5yearly,0_4,493.35
925,1955,estimates,female,5yearly,5_9,18.287
925,1955,estimates,male,5yearly,5_9,21.898
925,1955,estimates,female,5yearly,10_14,12.743
925,1955,estimates,male,5yearly,10_14,17.634
925,1955,estimates,female,5yearly,15_19,16.062
925,1955,estimates,male,5yearly,15_19,26.848
925,1955,estimates,female,5yearly,20_24,23.287
925,1955,estimates,male,5yearly,20_24,37.66
925,1955,estimates,female,5yearly,25_29,29.051
925,1955,estimates,male,5yearly,25_29,42.351
925,1955,estimates,female,5yearly,30_34,34.547
925,1955,estimates,male,5yearly,30_34,45.795
925,1955,estimates,female,5yearly,35_39,38.337
925,1955,estimates,male,5yearly,35_39,48.171
925,1955,estimates,female,5yearly,40_44,48.854
925,1955,estimates,male,5yearly,40_44,64.677
925,1955,estimates,female,5yearly,45_49,74.028
925,1955,estimates,male,5yearly,45_49,108.174
925,1955,estimates,female,5yearly,50_54,100.939
925,1955,estimates,male,5yearly,50_54,158.417
925,1955,estimates,female,5yearly,55_59,133.863
925,1955,estimates,male,5yearly,55_59,204.727
925,1955,estimates,female,5yearly,60_64,183.067
925,1955,estimates,male,5yearly,60_64,245.151
925,1955,estimates,female,5yearly,65_69,259.845
925,1955,estimates,male,5yearly,65_69,291.367
925,1955,estimates,female,5yearly,70_74,350.058
925,1955,estimates,male,5yearly,70_74,342.002
925,1955,estimates,female,5yearly,75_79,396.695
925,1955,estimates,male,5yearly,75_79,352.135
925,1955,estimates,female,5yearly,80_84,352.771
925,1955,estimates,male,5yearly,80_84,278.373
925,1955,estimates,female,5yearly,85_89,214.167
925,1955,estimates,male,5yearly,85_89,145.293
925,1955,estimates,female,5yearly,90_94,83.666
925,1955,estimates,male,5yearly,90_94,47.814
925,1955,estimates,female,5yearly,95plus,22.935
925,1955,estimates,male,5yearly,95plus,9.908
925,1960,estimates,female,5yearly,0_4,336.22
925,1960,estimates,male,5yearly,0_4,415.885
925,1960,estimates,female,5yearly,5_9,13.733
925,1960,estimates,male,5yearly,5_9,17.326
925,1960,estimates,female,5yearly,10_14,10.796
925,1960,estimates,male,5yearly,10_14,15.823
925,1960,estimates,female,5yearly,15_19,12.847
925,1960,estimates,male,5yearly,15_19,24.672
925,1960,estimates,female,5yearly,20_24,16.646
925,1960,estimates,male,5yearly,20_24,31.737
925,1960,estimates,female,5yearly,25_29,21.827
925,1960,estimates,male,5yearly,25_29,36.117
925,1960,estimates,female,5yearly,30_34,28.071
925,1960,estimates,male,5yearly,30_34,42.612
925,1960,estimates,female,5yearly,35_39,37.032
925,1960,estimates,male,5yearly,35_39,53.192
925,1960,estimates,female,5yearly,40_44,44.374
925,1960,estimates,male,5yearly,40_44,62.53
925,1960,estimates,female,5yearly,45_49,61.863
925,1960,estimates,male,5yearly,45_49,91.083
