region,year,variant,gender,freq,age5yearinterval,totaldeaths
948,1950,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1950,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1950,estimates,female,5yearly,0_4,33636.345
948,1950,estimates,male,5yearly,0_4,37121.951
948,1950,estimates,female,5yearly,5_9,2728.283
948,1950,estimates,male,5yearly,5_9,2592.942
948,1950,estimates,female,5yearly,10_14,1855.821
948,1950,estimates,male,5yearly,10_14,1830.356
948,1950,estimates,female,5yearly,15_19,1821.629
948,1950,estimates,male,5yearly,15_19,1885.041
948,1950,estimates,female,5yearly,20_24,2030.472
948,1950,estimates,male,5yearly,20_24,2218.926
948,1950,estimates,female,5yearly,25_29,2047.223
948,1950,estimates,male,5yearly,25_29,2177.805
948,1950,estimates,female,5yearly,30_34,2022.612
948,1950,estimates,male,5yearly,30_34,2050.04
948,1950,estimates,female,5yearly,35_39,2004.502
948,1950,estimates,male,5yearly,35_39,2069.45
948,1950,estimates,female,5yearly,40_44,1988.521
948,1950,estimates,male,5yearly,40_44,2177.745
948,1950,estimates,female,5yearly,45_49,1970.252
948,1950,estimates,male,5yearly,45_49,2309.09
948,1950,estimates,female,5yearly,50_54,2047.798
948,1950,estimates,male,5yearly,50_54,2460.847
948,1950,estimates,female,5yearly,55_59,2189.279
948,1950,estimates,male,5yearly,55_59,2590.112
948,1950,estimates,female,5yearly,60_64,2438.625
948,1950,estimates,male,5yearly,60_64,2777.57
948,1950,estimates,female,5yearly,65_69,2589.117
948,1950,estimates,male,5yearly,65_69,2817.178
948,1950,estimates,female,5yearly,70_74,2523.799
948,1950,estimates,male,5yearly,70_74,2634.136
948,1950,estimates,female,5yearly,75_79,2227.096
948,1950,estimates,male,5yearly,75_79,2214.922
948,1950,estimates,female,5yearly,80_84,1495.876
948,1950,estimates,male,5yearly,80_84,1408.864
948,1950,estimates,female,5yearly,85_89,742.556
948,1950,estimates,male,5yearly,85_89,628.99
948,1950,estimates,female,5yearly,90_94,280.942
948,1950,estimates,male,5yearly,90_94,196.106
948,1950,estimates,female,5yearly,95plus,96.93
948,1950,estimates,male,5yearly,95plus,52.536
948,1955,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1955,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1955,estimates,female,5yearly,0_4,33537.987
948,1955,estimates,male,5yearly,0_4,37138.649
948,1955,estimates,female,5yearly,5_9,2746.406
948,1955,estimates,male,5yearly,5_9,2600.68
948,1955,estimates,female,5yearly,10_14,1746.843
948,1955,estimates,male,5yearly,10_14,1717.718
948,1955,estimates,female,5yearly,15_19,1661.533
948,1955,estimates,male,5yearly,15_19,1729.181
948,1955,estimates,female,5yearly,20_24,1891.72
948,1955,estimates,male,5yearly,20_24,2035.316
948,1955,estimates,female,5yearly,25_29,1945.537
948,1955,estimates,male,5yearly,25_29,2010.862
948,1955,estimates,female,5yearly,30_34,1947.377
948,1955,estimates,male,5yearly,30_34,1932.943
948,1955,estimates,female,5yearly,35_39,1932.142
948,1955,estimates,male,5yearly,35_39,1953.872
948,1955,estimates,female,5yearly,40_44,1919.611
948,1955,estimates,male,5yearly,40_44,2067.667
948,1955,estimates,female,5yearly,45_49,1967.258
948,1955,estimates,male,5yearly,45_49,2265.133
948,1955,estimates,female,5yearly,50_54,2038.537
948,1955,estimates,male,5yearly,50_54,2449.34
948,1955,estimates,female,5yearly,55_59,2231.105
948,1955,estimates,male,5yearly,55_59,2655.764
948,1955,estimates,female,5yearly,60_64,2459.239
948,1955,estimates,male,5yearly,60_64,2811.486
948,1955,estimates,female,5yearly,65_69,2653.125
948,1955,estimates,male,5yearly,65_69,2874.394
948,1955,estimates,female,5yearly,70_74,2614.659
948,1955,estimates,male,5yearly,70_74,2667.48
948,1955,estimates,female,5yearly,75_79,2200.082
948,1955,estimates,male,5yearly,75_79,2135.767
