region,year,variant,gender,freq,age5yearinterval,totaldeaths
924,1950,estimates,female,5yearly,0_4,117.713
924,1950,estimates,male,5yearly,0_4,156.102
924,1950,estimates,female,5yearly,5_9,7.191
924,1950,estimates,male,5yearly,5_9,10.069
924,1950,estimates,female,5yearly,10_14,6.171
924,1950,estimates,male,5yearly,10_14,8.982
924,1950,estimates,female,5yearly,15_19,8.659
924,1950,estimates,male,5yearly,15_19,14.091
924,1950,estimates,female,5yearly,20_24,12.395
924,1950,estimates,male,5yearly,20_24,20.003
924,1950,estimates,female,5yearly,25_29,16.607
924,1950,estimates,male,5yearly,25_29,23.165
924,1950,estimates,female,5yearly,30_34,20.049
924,1950,estimates,male,5yearly,30_34,25.259
924,1950,estimates,female,5yearly,35_39,26.222
924,1950,estimates,male,5yearly,35_39,32.619
924,1950,estimates,female,5yearly,40_44,39.011
924,1950,estimates,male,5yearly,40_44,51.359
924,1950,estimates,female,5yearly,45_49,56.975
924,1950,estimates,male,5yearly,45_49,81.905
924,1950,estimates,female,5yearly,50_54,79.696
924,1950,estimates,male,5yearly,50_54,119.808
924,1950,estimates,female,5yearly,55_59,109.459
924,1950,estimates,male,5yearly,55_59,162.211
924,1950,estimates,female,5yearly,60_64,155.692
924,1950,estimates,male,5yearly,60_64,216.484
924,1950,estimates,female,5yearly,65_69,224.976
924,1950,estimates,male,5yearly,65_69,274.169
924,1950,estimates,female,5yearly,70_74,311.096
924,1950,estimates,male,5yearly,70_74,324.181
924,1950,estimates,female,5yearly,75_79,361.748
924,1950,estimates,male,5yearly,75_79,328.434
924,1950,estimates,female,5yearly,80_84,317.965
924,1950,estimates,male,5yearly,80_84,247.47
924,1950,estimates,female,5yearly,85_89,197.042
924,1950,estimates,male,5yearly,85_89,125.441
924,1950,estimates,female,5yearly,90_94,78.927
924,1950,estimates,male,5yearly,90_94,39.842
924,1950,estimates,female,5yearly,95plus,18.765
924,1950,estimates,male,5yearly,95plus,7.043
924,1955,estimates,female,5yearly,0_4,91.433
