country,variant,freq,year,under5mortalityper1000livebirth
296,estimates,5yearly,1950,212.544301764372
296,estimates,5yearly,1955,197.591190558423
296,estimates,5yearly,1960,172.971443791181
296,estimates,5yearly,1965,152.305690962363
296,estimates,5yearly,1970,131.774362042691
296,estimates,5yearly,1975,123.161235378936
296,estimates,5yearly,1980,118.008279696598
296,estimates,5yearly,1985,104.701801043322
296,estimates,5yearly,1990,87.2773247600805
296,estimates,5yearly,1995,75.3206261109918
296,estimates,5yearly,2000,67.4046947761103
296,estimates,5yearly,2005,63.965899361196
296,estimates,5yearly,2010,60.2728732891
296,medium_variant,5yearly,2015,54.4785977891293
296,medium_variant,5yearly,2020,49.4685983764902
296,medium_variant,5yearly,2025,45.1473701477341
296,medium_variant,5yearly,2030,41.314436347574
296,medium_variant,5yearly,2035,38.0404559846086
296,medium_variant,5yearly,2040,35.1428666078447
296,medium_variant,5yearly,2045,32.5093437726089
296,medium_variant,5yearly,2050,30.1030841702241
296,medium_variant,5yearly,2055,27.7880118196329
296,medium_variant,5yearly,2060,25.5857692979043
296,medium_variant,5yearly,2065,23.3591147093775
296,medium_variant,5yearly,2070,21.4253074707645
296,medium_variant,5yearly,2075,19.5622628144805
296,medium_variant,5yearly,2080,17.7825009957988
296,medium_variant,5yearly,2085,16.1390830066593
296,medium_variant,5yearly,2090,14.6741170733878
296,medium_variant,5yearly,2095,13.3541325732496
