country,variant,freq,year,under5mortalityper1000livebirth
384,estimates,5yearly,1950,393.708409097965
384,estimates,5yearly,1955,351.063072981094
384,estimates,5yearly,1960,298.845907209545
384,estimates,5yearly,1965,253.641322731094
384,estimates,5yearly,1970,215.331494728911
384,estimates,5yearly,1975,183.899390606424
384,estimates,5yearly,1980,163.849851244951
384,estimates,5yearly,1985,154.253569817199
384,estimates,5yearly,1990,148.893264345828
384,estimates,5yearly,1995,142.490313126305
384,estimates,5yearly,2000,130.872189947014
384,estimates,5yearly,2005,119.860497513093
384,estimates,5yearly,2010,100.60014298687
384,medium_variant,5yearly,2015,81.1704277637048
384,medium_variant,5yearly,2020,70.112818431543
384,medium_variant,5yearly,2025,61.9758978285082
384,medium_variant,5yearly,2030,55.6210576493404
384,medium_variant,5yearly,2035,50.6456108058868
384,medium_variant,5yearly,2040,46.3790768284059
384,medium_variant,5yearly,2045,42.7368080531502
384,medium_variant,5yearly,2050,39.5390279458133
384,medium_variant,5yearly,2055,36.6014327886375
384,medium_variant,5yearly,2060,34.0464356959563
384,medium_variant,5yearly,2065,31.2778026904386
384,medium_variant,5yearly,2070,28.7737165309057
384,medium_variant,5yearly,2075,26.4583009268219
384,medium_variant,5yearly,2080,24.3282740469716
384,medium_variant,5yearly,2085,22.4962357379174
384,medium_variant,5yearly,2090,20.8250091315016
384,medium_variant,5yearly,2095,19.2062085292599
384,estimates,5yearly,Regi,Côte d'Ivoire
384,medium_variant,5yearly,Regi,Côte d'Ivoire
