country,variant,freq,year,under5mortalityper1000livebirth
90,estimates,5yearly,1950,218.722453961638
90,estimates,5yearly,1955,195.240800582788
90,estimates,5yearly,1960,172.316353210881
90,estimates,5yearly,1965,150.607320739871
90,estimates,5yearly,1970,130.278457661002
90,estimates,5yearly,1975,111.042727251933
90,estimates,5yearly,1980,105.676775310387
90,estimates,5yearly,1985,128.037615965663
90,estimates,5yearly,1990,109.16834605017
90,estimates,5yearly,1995,86.7750102674451
90,estimates,5yearly,2000,65.0388126377115
90,estimates,5yearly,2005,48.358972569204
90,estimates,5yearly,2010,36.4283169959648
90,medium_variant,5yearly,2015,29.6039448544814
90,medium_variant,5yearly,2020,24.8707006829449
90,medium_variant,5yearly,2025,21.2026739979899
90,medium_variant,5yearly,2030,18.4335716479069
90,medium_variant,5yearly,2035,16.3027373120712
90,medium_variant,5yearly,2040,14.5762241232874
90,medium_variant,5yearly,2045,13.153064303853
90,medium_variant,5yearly,2050,11.9830065468829
90,medium_variant,5yearly,2055,10.9387407502642
90,medium_variant,5yearly,2060,10.0205459120962
90,medium_variant,5yearly,2065,9.27152997087521
90,medium_variant,5yearly,2070,8.5511960190886
90,medium_variant,5yearly,2075,7.88888631067397
90,medium_variant,5yearly,2080,7.30851416687284
90,medium_variant,5yearly,2085,6.76225417021159
90,medium_variant,5yearly,2090,6.26468535779812
90,medium_variant,5yearly,2095,5.81945865411293
