country,variant,freq,year,under5mortalityper1000livebirth
850,estimates,5yearly,1950,77.8894590437249
850,estimates,5yearly,1955,60.2551627348291
850,estimates,5yearly,1960,51.8670612744778
850,estimates,5yearly,1965,43.338852956887
850,estimates,5yearly,1970,35.7627654637557
850,estimates,5yearly,1975,29.6711046228861
850,estimates,5yearly,1980,25.4483164039339
850,estimates,5yearly,1985,21.0789834295847
850,estimates,5yearly,1990,17.8315927442976
850,estimates,5yearly,1995,15.2439555724418
850,estimates,5yearly,2000,13.4480224392252
850,estimates,5yearly,2005,12.3314393487179
850,estimates,5yearly,2010,10.767773569927
850,medium_variant,5yearly,2015,9.71567453672007
850,medium_variant,5yearly,2020,8.85542327611155
850,medium_variant,5yearly,2025,8.07255341600987
850,medium_variant,5yearly,2030,7.35537518411022
850,medium_variant,5yearly,2035,6.70405022226872
850,medium_variant,5yearly,2040,6.12655620187608
850,medium_variant,5yearly,2045,5.63485473365211
850,medium_variant,5yearly,2050,5.20091517137544
850,medium_variant,5yearly,2055,4.80543709600234
850,medium_variant,5yearly,2060,4.45841067489772
850,medium_variant,5yearly,2065,4.12399115774198
850,medium_variant,5yearly,2070,3.8126339190615
850,medium_variant,5yearly,2075,3.51872308421897
850,medium_variant,5yearly,2080,3.24802828553972
850,medium_variant,5yearly,2085,2.98986134241286
850,medium_variant,5yearly,2090,2.74814244233434
850,medium_variant,5yearly,2095,2.52779059856711
850,estimates,5yearly,Regi,United States Virgin Islands
850,medium_variant,5yearly,Regi,United States Virgin Islands
