country,variant,freq,year,under5mortalityper1000livebirth
703,estimates,5yearly,1950,86.2567191831097
703,estimates,5yearly,1955,45.7256002089749
703,estimates,5yearly,1960,31.9458004815606
703,estimates,5yearly,1965,30.5317987093863
703,estimates,5yearly,1970,28.7521020051067
703,estimates,5yearly,1975,25.4043545494347
703,estimates,5yearly,1980,20.4545468193409
703,estimates,5yearly,1985,16.1654652780832
703,estimates,5yearly,1990,13.524566824294
703,estimates,5yearly,1995,10.8615334037759
703,estimates,5yearly,2000,8.9028036595421
703,estimates,5yearly,2005,7.5486105246958
703,estimates,5yearly,2010,6.78993584105669
703,medium_variant,5yearly,2015,6.05772521545922
703,medium_variant,5yearly,2020,5.67494937807012
703,medium_variant,5yearly,2025,5.35025941432543
703,medium_variant,5yearly,2030,5.09487116185403
703,medium_variant,5yearly,2035,4.86247396686457
703,medium_variant,5yearly,2040,4.66382096869267
703,medium_variant,5yearly,2045,4.49953344231913
703,medium_variant,5yearly,2050,4.36699434754007
703,medium_variant,5yearly,2055,4.26474285480305
703,medium_variant,5yearly,2060,4.20984188896689
703,medium_variant,5yearly,2065,4.16097994098985
703,medium_variant,5yearly,2070,4.14020537602211
703,medium_variant,5yearly,2075,4.12426276203826
703,medium_variant,5yearly,2080,4.13127092057552
703,medium_variant,5yearly,2085,4.1423478438658
703,medium_variant,5yearly,2090,4.17267206351901
703,medium_variant,5yearly,2095,4.60700766242028
703,estimates,5yearly,Regi,Slovakia
703,medium_variant,5yearly,Regi,Slovakia
