agebroad,population,region,variant,year
0_1,983.044,5500,estimates,1950
0_4,1914.326,5500,estimates,1950
0_14,5658.76,5500,estimates,1950
0_17,6692.961,5500,estimates,1950
0_19,7366.547,5500,estimates,1950
0_24,9258.389,5500,estimates,1950
3_4,576.171,5500,estimates,1950
3_5,841.444,5500,estimates,1950
3_6,1114.708,5500,estimates,1950
4_5,539.014,5500,estimates,1950
4_6,812.278,5500,estimates,1950
5_14,3744.434,5500,estimates,1950
5_10,1915.714,5500,estimates,1950
5_11,2371.491,5500,estimates,1950
6_9,1249.083,5500,estimates,1950
6_10,1650.441,5500,estimates,1950
6_11,2106.218,5500,estimates,1950
6_12,2589.645,5500,estimates,1950
7_10,1377.177,5500,estimates,1950
7_12,2316.381,5500,estimates,1950
11_16,2549.9,5500,estimates,1950
11_17,2862.921,5500,estimates,1950
11_18,3185.055,5500,estimates,1950
12_14,1372.943,5500,estimates,1950
12_16,2094.123,5500,estimates,1950
12_17,2407.144,5500,estimates,1950
12_18,2729.278,5500,estimates,1950
13_17,1923.717,5500,estimates,1950
13_18,2245.851,5500,estimates,1950
13_19,2597.303,5500,estimates,1950
15_17,1034.201,5500,estimates,1950
18_23,2231.212,5500,estimates,1950
15_24,3599.629,5500,estimates,1950
15_49,8588.278,5500,estimates,1950
15_59,10071.986,5500,estimates,1950
15_64,10702.656,5500,estimates,1950
20_64,8994.869,5500,estimates,1950
20_69,9458.123,5500,estimates,1950
25_49,4988.649,5500,estimates,1950
25_64,7103.027,5500,estimates,1950
25_69,7566.281,5500,estimates,1950
15plus,11790.786,5500,estimates,1950
16plus,11407.771,5500,estimates,1950
17plus,11069.606,5500,estimates,1950
18plus,10756.585,5500,estimates,1950
20plus,10082.999,5500,estimates,1950
21plus,9708.497,5500,estimates,1950
25plus,8191.157,5500,estimates,1950
50plus,3202.508,5500,estimates,1950
60plus,1718.8,5500,estimates,1950
65plus,1088.13,5500,estimates,1950
70plus,624.876,5500,estimates,1950
75plus,308.233,5500,estimates,1950
80plus,123.051,5500,estimates,1950
85plus,45.63,5500,estimates,1950
90plus,12.794,5500,estimates,1950
total,17449.546,5500,estimates,1950
0_1,1091.518,5500,estimates,1951
0_4,2193.123,5500,estimates,1951
0_14,5809.314,5500,estimates,1951
0_17,6956.598,5500,estimates,1951
0_19,7594.855,5500,estimates,1951
0_24,9503.451,5500,estimates,1951
3_4,671.367,5500,estimates,1951
3_5,955.959,5500,estimates,1951
3_6,1229.826,5500,estimates,1951
4_5,596.481,5500,estimates,1951
4_6,870.348,5500,estimates,1951
5_14,3616.191,5500,estimates,1951
5_10,1807.303,5500,estimates,1951
5_11,2209.562,5500,estimates,1951
6_9,1163.935,5500,estimates,1951
6_10,1522.711,5500,estimates,1951
6_11,1924.97,5500,estimates,1951
6_12,2381.086,5500,estimates,1951
7_10,1248.844,5500,estimates,1951
7_12,2107.219,5500,estimates,1951
11_16,2616.454,5500,estimates,1951
11_17,2956.172,5500,estimates,1951
11_18,3270.9,5500,estimates,1951
12_14,1406.629,5500,estimates,1951
12_16,2214.195,5500,estimates,1951
12_17,2553.913,5500,estimates,1951
12_18,2868.641,5500,estimates,1951
13_17,2097.797,5500,estimates,1951
13_18,2412.525,5500,estimates,1951
13_19,2736.054,5500,estimates,1951
15_17,1147.284,5500,estimates,1951
18_23,2168.211,5500,estimates,1951
15_24,3694.137,5500,estimates,1951
15_49,8808.152,5500,estimates,1951
15_59,10334.747,5500,estimates,1951
15_64,10955.814,5500,estimates,1951
20_64,9170.273,5500,estimates,1951
20_69,9648.081,5500,estimates,1951
25_49,5114.015,5500,estimates,1951
25_64,7261.677,5500,estimates,1951
25_69,7739.485,5500,estimates,1951
15plus,12080.545,5500,estimates,1951
16plus,11657.105,5500,estimates,1951
17plus,11272.979,5500,estimates,1951
18plus,10933.261,5500,estimates,1951
20plus,10295.004,5500,estimates,1951
21plus,9942.754,5500,estimates,1951
25plus,8386.408,5500,estimates,1951
50plus,3272.393,5500,estimates,1951
60plus,1745.798,5500,estimates,1951
65plus,1124.731,5500,estimates,1951
70plus,646.923,5500,estimates,1951
75plus,323.447,5500,estimates,1951
80plus,132.05,5500,estimates,1951
85plus,48.234,5500,estimates,1951
90plus,14.321,5500,estimates,1951
total,17889.859,5500,estimates,1951
0_1,1116.678,5500,estimates,1952
0_4,2419.895,5500,estimates,1952
0_14,5930.533,5500,estimates,1952
0_17,7214.943,5500,estimates,1952
0_19,7875.193,5500,estimates,1952
0_24,9739.454,5500,estimates,1952
3_4,793.107,5500,estimates,1952
3_5,1115.819,5500,estimates,1952
3_6,1412.418,5500,estimates,1952
4_5,688.37,5500,estimates,1952
4_6,984.969,5500,estimates,1952
5_14,3510.638,5500,estimates,1952
5_10,1796.847,5500,estimates,1952
5_11,2158.261,5500,estimates,1952
6_9,1152.383,5500,estimates,1952
6_10,1474.135,5500,estimates,1952
6_11,1835.549,5500,estimates,1952
6_12,2241.331,5500,estimates,1952
7_10,1177.536,5500,estimates,1952
7_12,1944.732,5500,estimates,1952
11_16,2610.935,5500,estimates,1952
11_17,2998.201,5500,estimates,1952
11_18,3340.91,5500,estimates,1952
12_14,1352.377,5500,estimates,1952
12_16,2249.521,5500,estimates,1952
12_17,2636.787,5500,estimates,1952
12_18,2979.496,5500,estimates,1952
13_17,2231.005,5500,estimates,1952
13_18,2573.714,5500,estimates,1952
13_19,2891.255,5500,estimates,1952
15_17,1284.41,5500,estimates,1952
18_23,2118.68,5500,estimates,1952
15_24,3808.921,5500,estimates,1952
15_49,9116.418,5500,estimates,1952
15_59,10706.18,5500,estimates,1952
15_64,11312.298,5500,estimates,1952
20_64,9367.638,5500,estimates,1952
20_69,9866.531,5500,estimates,1952
25_49,5307.497,5500,estimates,1952
25_64,7503.377,5500,estimates,1952
25_69,8002.27,5500,estimates,1952
15plus,12481.721,5500,estimates,1952
16plus,12011.295,5500,estimates,1952
17plus,11584.577,5500,estimates,1952
18plus,11197.311,5500,estimates,1952
20plus,10537.061,5500,estimates,1952
21plus,10210.927,5500,estimates,1952
25plus,8672.8,5500,estimates,1952
50plus,3365.303,5500,estimates,1952
60plus,1775.541,5500,estimates,1952
65plus,1169.423,5500,estimates,1952
70plus,670.53,5500,estimates,1952
75plus,338.558,5500,estimates,1952
80plus,140.44,5500,estimates,1952
85plus,50.062,5500,estimates,1952
90plus,15.651,5500,estimates,1952
total,18412.254,5500,estimates,1952
0_1,1209.841,5500,estimates,1953
