agebroad,population,region,variant,year
0_1,32455.037,921,estimates,1950
0_4,74460.463,921,estimates,1950
0_14,193374.685,921,estimates,1950
0_17,225200.919,921,estimates,1950
0_19,245315.014,921,estimates,1950
0_24,291943.147,921,estimates,1950
3_4,27281.905,921,estimates,1950
3_5,40121.983,921,estimates,1950
3_6,52585.136,921,estimates,1950
4_5,26170.205,921,estimates,1950
4_6,38633.358,921,estimates,1950
5_14,118914.222,921,estimates,1950
5_10,73024.445,921,estimates,1950
5_11,84742.231,921,estimates,1950
6_9,48445.028,921,estimates,1950
6_10,60184.367,921,estimates,1950
6_11,71902.153,921,estimates,1950
6_12,83533.591,921,estimates,1950
7_10,47721.214,921,estimates,1950
7_12,71070.438,921,estimates,1950
11_16,67353.396,921,estimates,1950
11_17,77716.011,921,estimates,1950
11_18,87868.885,921,estimates,1950
12_14,34171.991,921,estimates,1950
12_16,55635.61,921,estimates,1950
12_17,65998.225,921,estimates,1950
12_18,76151.099,921,estimates,1950
13_17,54366.787,921,estimates,1950
13_18,64519.661,921,estimates,1950
13_19,74480.882,921,estimates,1950
15_17,31826.234,921,estimates,1950
18_23,57893.384,921,estimates,1950
15_24,98568.462,921,estimates,1950
15_49,254725.319,921,estimates,1950
15_59,287264.581,921,estimates,1950
15_64,298945.024,921,estimates,1950
20_64,247004.695,921,estimates,1950
20_69,254334.898,921,estimates,1950
25_49,156156.857,921,estimates,1950
25_64,200376.562,921,estimates,1950
25_69,207706.765,921,estimates,1950
15plus,317413.438,921,estimates,1950
16plus,306553.234,921,estimates,1950
17plus,295949.819,921,estimates,1950
18plus,285587.204,921,estimates,1950
20plus,265473.109,921,estimates,1950
21plus,255711.128,921,estimates,1950
25plus,218844.976,921,estimates,1950
50plus,62688.119,921,estimates,1950
60plus,30148.857,921,estimates,1950
65plus,18468.414,921,estimates,1950
70plus,11138.211,921,estimates,1950
75plus,5628.592,921,estimates,1950
80plus,2300.665,921,estimates,1950
85plus,723.61,921,estimates,1950
90plus,167.104,921,estimates,1950
total,510788.123,921,estimates,1950
0_1,34337.129,921,estimates,1951
0_4,77779.551,921,estimates,1951
0_14,197754.265,921,estimates,1951
0_17,230030.272,921,estimates,1951
0_19,250327.628,921,estimates,1951
0_24,297516.193,921,estimates,1951
3_4,28142.638,921,estimates,1951
3_5,41282.032,921,estimates,1951
3_6,53968.86,921,estimates,1951
4_5,26853.587,921,estimates,1951
4_6,39540.415,921,estimates,1951
5_14,119974.714,921,estimates,1951
5_10,73861.448,921,estimates,1951
5_11,85510.342,921,estimates,1951
6_9,48985.01,921,estimates,1951
6_10,60722.054,921,estimates,1951
6_11,72370.948,921,estimates,1951
6_12,83991.988,921,estimates,1951
7_10,48035.226,921,estimates,1951
7_12,71305.16,921,estimates,1951
11_16,67892.001,921,estimates,1951
11_17,78389.273,921,estimates,1951
11_18,88643.361,921,estimates,1951
12_14,34464.372,921,estimates,1951
12_16,56243.107,921,estimates,1951
12_17,66740.379,921,estimates,1951
12_18,76994.467,921,estimates,1951
13_17,55119.339,921,estimates,1951
13_18,65373.427,921,estimates,1951
13_19,75416.695,921,estimates,1951
15_17,32276.007,921,estimates,1951
18_23,58489.805,921,estimates,1951
15_24,99761.928,921,estimates,1951
15_49,257993.826,921,estimates,1951
15_59,291086.684,921,estimates,1951
15_64,302713.144,921,estimates,1951
20_64,250139.781,921,estimates,1951
20_69,257715.929,921,estimates,1951
25_49,158231.898,921,estimates,1951
25_64,202951.216,921,estimates,1951
25_69,210527.364,921,estimates,1951
