agebroad,population,region,variant,year
"Region, subregion, country or area *",Polynesia,957,estimates,1950
0_1,17.855,957,estimates,1950
0_4,42.301,957,estimates,1950
0_14,109.872,957,estimates,1950
0_17,125.957,957,estimates,1950
0_19,135.685,957,estimates,1950
0_24,157.386,957,estimates,1950
3_4,16.017,957,estimates,1950
3_5,23.653,957,estimates,1950
3_6,31.071,957,estimates,1950
4_5,15.513,957,estimates,1950
4_6,22.931,957,estimates,1950
5_14,67.571,957,estimates,1950
5_10,42.797,957,estimates,1950
5_11,49.307,957,estimates,1950
6_9,28.495,957,estimates,1950
6_10,35.161,957,estimates,1950
6_11,41.671,957,estimates,1950
6_12,47.998,957,estimates,1950
7_10,27.743,957,estimates,1950
7_12,40.58,957,estimates,1950
11_16,35.726,957,estimates,1950
11_17,40.859,957,estimates,1950
11_18,45.804,957,estimates,1950
12_14,18.264,957,estimates,1950
12_16,29.216,957,estimates,1950
12_17,34.349,957,estimates,1950
12_18,39.294,957,estimates,1950
13_17,28.022,957,estimates,1950
13_18,32.967,957,estimates,1950
13_19,37.75,957,estimates,1950
15_17,16.085,957,estimates,1950
18_23,27.321,957,estimates,1950
15_24,47.514,957,estimates,1950
15_49,111.865,957,estimates,1950
15_59,122.66,957,estimates,1950
15_64,126.604,957,estimates,1950
20_64,100.791,957,estimates,1950
20_69,103.305,957,estimates,1950
25_49,64.351,957,estimates,1950
25_64,79.09,957,estimates,1950
25_69,81.604,957,estimates,1950
15plus,132.127,957,estimates,1950
16plus,126.529,957,estimates,1950
17plus,121.175,957,estimates,1950
18plus,116.042,957,estimates,1950
20plus,106.314,957,estimates,1950
21plus,101.693,957,estimates,1950
25plus,84.613,957,estimates,1950
50plus,20.262,957,estimates,1950
60plus,9.467,957,estimates,1950
65plus,5.523,957,estimates,1950
70plus,3.009,957,estimates,1950
75plus,1.465,957,estimates,1950
80plus,0.632,957,estimates,1950
85plus,0.2,957,estimates,1950
90plus,0.045,957,estimates,1950
total,241.999,957,estimates,1950
"Region, subregion, country or area *",Polynesia,957,estimates,1951
0_1,19.253,957,estimates,1951
0_4,44.222,957,estimates,1951
0_14,113.143,957,estimates,1951
0_17,129.672,957,estimates,1951
0_19,139.577,957,estimates,1951
0_24,161.69,957,estimates,1951
3_4,16.334,957,estimates,1951
3_5,24.107,957,estimates,1951
3_6,31.659,957,estimates,1951
4_5,15.798,957,estimates,1951
4_6,23.35,957,estimates,1951
5_14,68.921,957,estimates,1951
5_10,43.613,957,estimates,1951
5_11,50.215,957,estimates,1951
6_9,29.056,957,estimates,1951
6_10,35.84,957,estimates,1951
6_11,42.442,957,estimates,1951
6_12,48.882,957,estimates,1951
7_10,28.288,957,estimates,1951
7_12,41.33,957,estimates,1951
11_16,36.574,957,estimates,1951
11_17,41.837,957,estimates,1951
11_18,46.88,957,estimates,1951
12_14,18.706,957,estimates,1951
12_16,29.972,957,estimates,1951
