agebroad,population,region,variant,year
0_1,147.133,928,estimates,1950
0_4,343.647,928,estimates,1950
0_14,877.24,928,estimates,1950
0_17,1013.863,928,estimates,1950
0_19,1099.376,928,estimates,1950
0_24,1293.517,928,estimates,1950
3_4,128.152,928,estimates,1950
3_5,188.578,928,estimates,1950
3_6,246.942,928,estimates,1950
4_5,123.184,928,estimates,1950
4_6,181.548,928,estimates,1950
5_14,533.593,928,estimates,1950
5_10,335.971,928,estimates,1950
5_11,387.073,928,estimates,1950
6_9,223.325,928,estimates,1950
6_10,275.545,928,estimates,1950
6_11,326.647,928,estimates,1950
6_12,376.651,928,estimates,1950
7_10,217.181,928,estimates,1950
7_12,318.287,928,estimates,1950
11_16,289.751,928,estimates,1950
11_17,334.245,928,estimates,1950
11_18,377.596,928,estimates,1950
12_14,146.52,928,estimates,1950
12_16,238.649,928,estimates,1950
12_17,283.143,928,estimates,1950
12_18,326.494,928,estimates,1950
13_17,233.139,928,estimates,1950
13_18,276.49,928,estimates,1950
13_19,318.652,928,estimates,1950
15_17,136.623,928,estimates,1950
18_23,242.902,928,estimates,1950
15_24,416.277,928,estimates,1950
15_49,1046.577,928,estimates,1950
15_59,1165.224,928,estimates,1950
15_64,1205.331,928,estimates,1950
20_64,983.195,928,estimates,1950
20_69,1019.109,928,estimates,1950
25_49,630.3,928,estimates,1950
25_64,789.054,928,estimates,1950
25_69,824.968,928,estimates,1950
15plus,1288.1,928,estimates,1950
16plus,1241.525,928,estimates,1950
17plus,1195.971,928,estimates,1950
18plus,1151.477,928,estimates,1950
20plus,1065.964,928,estimates,1950
21plus,1024.956,928,estimates,1950
25plus,871.823,928,estimates,1950
50plus,241.523,928,estimates,1950
60plus,122.876,928,estimates,1950
65plus,82.769,928,estimates,1950
70plus,46.855,928,estimates,1950
75plus,21.788,928,estimates,1950
80plus,7.613,928,estimates,1950
85plus,2.092,928,estimates,1950
90plus,0.414,928,estimates,1950
total,2165.34,928,estimates,1950
0_1,154.054,928,estimates,1951
0_4,355.996,928,estimates,1951
0_14,899.934,928,estimates,1951
0_17,1038.372,928,estimates,1951
0_19,1125.243,928,estimates,1951
0_24,1322.24,928,estimates,1951
3_4,131.582,928,estimates,1951
3_5,193.503,928,estimates,1951
3_6,253.259,928,estimates,1951
4_5,126.312,928,estimates,1951
4_6,186.068,928,estimates,1951
5_14,543.938,928,estimates,1951
5_10,343.43,928,estimates,1951
5_11,395.27,928,estimates,1951
6_9,228.377,928,estimates,1951
6_10,281.509,928,estimates,1951
6_11,333.349,928,estimates,1951
6_12,384.043,928,estimates,1951
7_10,221.753,928,estimates,1951
7_12,324.287,928,estimates,1951
11_16,293.859,928,estimates,1951
11_17,338.946,928,estimates,1951
11_18,382.959,928,estimates,1951
12_14,148.668,928,estimates,1951
12_16,242.019,928,estimates,1951
12_17,287.106,928,estimates,1951
12_18,331.119,928,estimates,1951
13_17,236.412,928,estimates,1951
13_18,280.425,928,estimates,1951
13_19,323.283,928,estimates,1951
15_17,138.438,928,estimates,1951
18_23,246.643,928,estimates,1951
15_24,422.306,928,estimates,1951
15_49,1061.152,928,estimates,1951
15_59,1182.366,928,estimates,1951
15_64,1220.929,928,estimates,1951
20_64,995.62,928,estimates,1951
20_69,1030.252,928,estimates,1951
25_49,638.846,928,estimates,1951
25_64,798.623,928,estimates,1951
25_69,833.255,928,estimates,1951
15plus,1303.633,928,estimates,1951
16plus,1256.406,928,estimates,1951
17plus,1210.282,928,estimates,1951
18plus,1165.195,928,estimates,1951
20plus,1078.324,928,estimates,1951
21plus,1036.661,928,estimates,1951
25plus,881.327,928,estimates,1951
50plus,242.481,928,estimates,1951
60plus,121.267,928,estimates,1951
65plus,82.704,928,estimates,1951
70plus,48.072,928,estimates,1951
75plus,22.919,928,estimates,1951
80plus,8.321,928,estimates,1951
85plus,2.327,928,estimates,1951
90plus,0.486,928,estimates,1951
total,2203.567,928,estimates,1951
0_1,162.377,928,estimates,1952
0_4,369.966,928,estimates,1952
0_14,924.854,928,estimates,1952
0_17,1065.33,928,estimates,1952
0_19,1153.519,928,estimates,1952
0_24,1353.691,928,estimates,1952
3_4,135.112,928,estimates,1952
3_5,198.534,928,estimates,1952
3_6,259.65,928,estimates,1952
4_5,129.476,928,estimates,1952
4_6,190.592,928,estimates,1952
5_14,554.888,928,estimates,1952
5_10,351.145,928,estimates,1952
5_11,403.941,928,estimates,1952
6_9,233.45,928,estimates,1952
6_10,287.723,928,estimates,1952
6_11,340.519,928,estimates,1952
6_12,392.003,928,estimates,1952
7_10,226.607,928,estimates,1952
7_12,330.887,928,estimates,1952
11_16,298.528,928,estimates,1952
11_17,344.219,928,estimates,1952
11_18,388.859,928,estimates,1952
12_14,150.947,928,estimates,1952
12_16,245.732,928,estimates,1952
12_17,291.423,928,estimates,1952
12_18,336.063,928,estimates,1952
13_17,239.939,928,estimates,1952
13_18,284.579,928,estimates,1952
13_19,328.128,928,estimates,1952
15_17,140.476,928,estimates,1952
18_23,250.614,928,estimates,1952
15_24,428.837,928,estimates,1952
15_49,1077.007,928,estimates,1952
15_59,1200.975,928,estimates,1952
15_64,1238.135,928,estimates,1952
20_64,1009.47,928,estimates,1952
20_69,1042.53,928,estimates,1952
25_49,648.17,928,estimates,1952
25_64,809.298,928,estimates,1952
25_69,842.358,928,estimates,1952
15plus,1319.972,928,estimates,1952
16plus,1271.99,928,estimates,1952
17plus,1225.187,928,estimates,1952
18plus,1179.496,928,estimates,1952
20plus,1091.307,928,estimates,1952
21plus,1048.923,928,estimates,1952
25plus,891.135,928,estimates,1952
50plus,242.965,928,estimates,1952
60plus,118.997,928,estimates,1952
65plus,81.837,928,estimates,1952
70plus,48.777,928,estimates,1952
75plus,23.663,928,estimates,1952
80plus,8.87,928,estimates,1952
85plus,2.466,928,estimates,1952
90plus,0.549,928,estimates,1952
total,2244.826,928,estimates,1952
