agebroad,population,region,variant,year
0_1,5058.605,926,estimates,1950
0_4,11440.17,926,estimates,1950
0_14,33086.877,926,estimates,1950
0_17,39559.385,926,estimates,1950
0_19,43751.682,926,estimates,1950
0_24,54216.271,926,estimates,1950
3_4,4147.846,926,estimates,1950
3_5,6149.612,926,estimates,1950
3_6,8150.035,926,estimates,1950
4_5,4038.195,926,estimates,1950
4_6,6038.618,926,estimates,1950
5_14,21646.707,926,estimates,1950
5_10,12423.009,926,estimates,1950
5_11,14715.728,926,estimates,1950
6_9,8221.895,926,estimates,1950
6_10,10421.243,926,estimates,1950
6_11,12713.962,926,estimates,1950
6_12,15058.322,926,estimates,1950
7_10,8420.82,926,estimates,1950
7_12,13057.899,926,estimates,1950
11_16,13584.598,926,estimates,1950
11_17,15696.206,926,estimates,1950
11_18,17791.863,926,estimates,1950
12_14,6930.979,926,estimates,1950
12_16,11291.879,926,estimates,1950
12_17,13403.487,926,estimates,1950
12_18,15499.144,926,estimates,1950
13_17,11059.127,926,estimates,1950
13_18,13154.784,926,estimates,1950
13_19,15251.424,926,estimates,1950
15_17,6472.508,926,estimates,1950
18_23,12505.092,926,estimates,1950
15_24,21129.394,926,estimates,1950
15_49,71059.518,926,estimates,1950
15_59,88123.586,926,estimates,1950
15_64,94919.223,926,estimates,1950
20_64,84254.418,926,estimates,1950
20_69,89871.024,926,estimates,1950
25_49,49930.124,926,estimates,1950
25_64,73789.829,926,estimates,1950
25_69,79406.435,926,estimates,1950
15plus,109372.813,926,estimates,1950
16plus,107165.047,926,estimates,1950
17plus,105011.913,926,estimates,1950
18plus,102900.305,926,estimates,1950
20plus,98708.008,926,estimates,1950
21plus,96621.291,926,estimates,1950
25plus,88243.419,926,estimates,1950
50plus,38313.295,926,estimates,1950
60plus,21249.227,926,estimates,1950
65plus,14453.59,926,estimates,1950
70plus,8836.984,926,estimates,1950
75plus,4416.496,926,estimates,1950
80plus,1717.323,926,estimates,1950
85plus,551.906,926,estimates,1950
90plus,111.372,926,estimates,1950
total,142459.69,926,estimates,1950
0_1,5038.754,926,estimates,1951
0_4,11801.491,926,estimates,1951
0_14,33217.564,926,estimates,1951
0_17,39828.577,926,estimates,1951
0_19,44027.04,926,estimates,1951
0_24,54406.016,926,estimates,1951
3_4,4370.602,926,estimates,1951
3_5,6429.101,926,estimates,1951
3_6,8446.358,926,estimates,1951
4_5,4188.965,926,estimates,1951
4_6,6206.222,926,estimates,1951
5_14,21416.073,926,estimates,1951
5_10,12267.431,926,estimates,1951
5_11,14463.853,926,estimates,1951
6_9,8087.722,926,estimates,1951
6_10,10208.932,926,estimates,1951
6_11,12405.354,926,estimates,1951
6_12,14694.902,926,estimates,1951
7_10,8191.675,926,estimates,1951
7_12,12677.645,926,estimates,1951
11_16,13610.425,926,estimates,1951
11_17,15759.655,926,estimates,1951
11_18,17867.09,926,estimates,1951
12_14,6952.22,926,estimates,1951
12_16,11414.003,926,estimates,1951
12_17,13563.233,926,estimates,1951
12_18,15670.668,926,estimates,1951
13_17,11273.685,926,estimates,1951
13_18,13381.12,926,estimates,1951
13_19,15472.148,926,estimates,1951
15_17,6611.013,926,estimates,1951
18_23,12484.848,926,estimates,1951
15_24,21188.452,926,estimates,1951
15_49,70986.287,926,estimates,1951
15_59,88422.677,926,estimates,1951
15_64,95250.597,926,estimates,1951
20_64,84441.121,926,estimates,1951
20_69,90089.755,926,estimates,1951
25_49,49797.835,926,estimates,1951
25_64,74062.145,926,estimates,1951
25_69,79710.779,926,estimates,1951
15plus,109988.946,926,estimates,1951
16plus,107731.172,926,estimates,1951
17plus,105527.163,926,estimates,1951
18plus,103377.933,926,estimates,1951
20plus,99179.47,926,estimates,1951
21plus,97088.02,926,estimates,1951
25plus,88800.494,926,estimates,1951
50plus,39002.659,926,estimates,1951
60plus,21566.269,926,estimates,1951
