agebroad,population,region,variant,year
0_1,987.9,913,estimates,1950
0_4,2330.163,913,estimates,1950
0_14,5985.327,913,estimates,1950
0_17,6921.172,913,estimates,1950
0_19,7512.707,913,estimates,1950
0_24,8878.378,913,estimates,1950
3_4,877.694,913,estimates,1950
3_5,1293.486,913,estimates,1950
3_6,1695.54,913,estimates,1950
4_5,846.524,913,estimates,1950
4_6,1248.578,913,estimates,1950
5_14,3655.164,913,estimates,1950
5_10,2309.658,913,estimates,1950
5_11,2657.963,913,estimates,1950
6_9,1536.498,913,estimates,1950
6_10,1893.866,913,estimates,1950
6_11,2242.171,913,estimates,1950
6_12,2582.119,913,estimates,1950
7_10,1491.812,913,estimates,1950
7_12,2180.065,913,estimates,1950
11_16,1975.725,913,estimates,1950
11_17,2281.351,913,estimates,1950
11_18,2580.445,913,estimates,1950
12_14,997.201,913,estimates,1950
12_16,1627.42,913,estimates,1950
12_17,1933.046,913,estimates,1950
12_18,2232.14,913,estimates,1950
13_17,1593.098,913,estimates,1950
13_18,1892.192,913,estimates,1950
13_19,2184.633,913,estimates,1950
15_17,935.845,913,estimates,1950
18_23,1697.987,913,estimates,1950
15_24,2893.051,913,estimates,1950
15_49,7547.507,913,estimates,1950
15_59,8545.405,913,estimates,1950
15_64,8914.284,913,estimates,1950
20_64,7386.904,913,estimates,1950
20_69,7649.807,913,estimates,1950
25_49,4654.456,913,estimates,1950
25_64,6021.233,913,estimates,1950
25_69,6284.136,913,estimates,1950
15plus,9547.854,913,estimates,1950
16plus,9229.579,913,estimates,1950
17plus,8917.635,913,estimates,1950
18plus,8612.009,913,estimates,1950
20plus,8020.474,913,estimates,1950
21plus,7734.381,913,estimates,1950
25plus,6654.803,913,estimates,1950
50plus,2000.347,913,estimates,1950
60plus,1002.449,913,estimates,1950
65plus,633.57,913,estimates,1950
70plus,370.667,913,estimates,1950
75plus,187.871,913,estimates,1950
80plus,96.446,913,estimates,1950
85plus,38.738,913,estimates,1950
90plus,8.543,913,estimates,1950
total,15533.181,913,estimates,1950
0_1,1060.102,913,estimates,1951
0_4,2437.572,913,estimates,1951
0_14,6181.006,913,estimates,1951
0_17,7130.961,913,estimates,1951
0_19,7731.666,913,estimates,1951
0_24,9120.037,913,estimates,1951
3_4,900.008,913,estimates,1951
3_5,1326.144,913,estimates,1951
3_6,1738.567,913,estimates,1951
4_5,867.62,913,estimates,1951
4_6,1280.043,913,estimates,1951
5_14,3743.434,913,estimates,1951
5_10,2371.243,913,estimates,1951
5_11,2727.477,913,estimates,1951
6_9,1578.822,913,estimates,1951
6_10,1945.107,913,estimates,1951
6_11,2301.341,913,estimates,1951
6_12,2648.297,913,estimates,1951
7_10,1532.684,913,estimates,1951
7_12,2235.874,913,estimates,1951
11_16,2012.079,913,estimates,1951
11_17,2322.146,913,estimates,1951
11_18,2625.794,913,estimates,1951
12_14,1015.957,913,estimates,1951
12_16,1655.845,913,estimates,1951
12_17,1965.912,913,estimates,1951
12_18,2269.56,913,estimates,1951
13_17,1618.956,913,estimates,1951
13_18,1922.604,913,estimates,1951
13_19,2219.661,913,estimates,1951
15_17,949.955,913,estimates,1951
18_23,1724.582,913,estimates,1951
15_24,2939.031,913,estimates,1951
15_49,7684.858,913,estimates,1951
15_59,8697.546,913,estimates,1951
15_64,9070.277,913,estimates,1951
20_64,7519.617,913,estimates,1951
20_69,7788.563,913,estimates,1951
25_49,4745.827,913,estimates,1951
25_64,6131.246,913,estimates,1951
25_69,6400.192,913,estimates,1951
15plus,9716.004,913,estimates,1951
16plus,9392.638,913,estimates,1951
17plus,9076.116,913,estimates,1951
18plus,8766.049,913,estimates,1951
20plus,8165.344,913,estimates,1951
21plus,7874.965,913,estimates,1951
25plus,6776.973,913,estimates,1951
50plus,2031.146,913,estimates,1951
60plus,1018.458,913,estimates,1951
65plus,645.727,913,estimates,1951
70plus,376.781,913,estimates,1951
75plus,191.044,913,estimates,1951
80plus,95.198,913,estimates,1951
85plus,40.303,913,estimates,1951
90plus,10.097,913,estimates,1951
total,15897.01,913,estimates,1951
0_1,1163.118,913,estimates,1952
0_4,2577.112,913,estimates,1952
0_14,6403.208,913,estimates,1952
0_17,7366.874,913,estimates,1952
0_19,7975.613,913,estimates,1952
0_24,9383.52,913,estimates,1952
3_4,922.117,913,estimates,1952
3_5,1357.343,913,estimates,1952
3_6,1778.127,913,estimates,1952
4_5,886.898,913,estimates,1952
4_6,1307.682,913,estimates,1952
5_14,3826.096,913,estimates,1952
5_10,2425.699,913,estimates,1952
5_11,2790.424,913,estimates,1952
6_9,1614.294,913,estimates,1952
6_10,1990.473,913,estimates,1952
6_11,2355.198,913,estimates,1952
6_12,2709.649,913,estimates,1952
7_10,1569.689,913,estimates,1952
7_12,2288.865,913,estimates,1952
11_16,2049.87,913,estimates,1952
11_17,2364.063,913,estimates,1952
11_18,2671.686,913,estimates,1952
12_14,1035.672,913,estimates,1952
12_16,1685.145,913,estimates,1952
12_17,1999.338,913,estimates,1952
12_18,2306.961,913,estimates,1952
13_17,1644.887,913,estimates,1952
13_18,1952.51,913,estimates,1952
13_19,2253.626,913,estimates,1952
15_17,963.666,913,estimates,1952
18_23,1747.725,913,estimates,1952
15_24,2980.312,913,estimates,1952
15_49,7812.841,913,estimates,1952
15_59,8839.795,913,estimates,1952
15_64,9214.102,913,estimates,1952
20_64,7641.697,913,estimates,1952
20_69,7918.196,913,estimates,1952
25_49,4832.529,913,estimates,1952
25_64,6233.79,913,estimates,1952
25_69,6510.289,913,estimates,1952
15plus,9870.141,913,estimates,1952
16plus,9541.781,913,estimates,1952
17plus,9220.668,913,estimates,1952
18plus,8906.475,913,estimates,1952
20plus,8297.736,913,estimates,1952
21plus,8003.259,913,estimates,1952
25plus,6889.829,913,estimates,1952
50plus,2057.3,913,estimates,1952
60plus,1030.346,913,estimates,1952
65plus,656.039,913,estimates,1952
70plus,379.54,913,estimates,1952
75plus,193.143,913,estimates,1952
80plus,91.4,913,estimates,1952
85plus,40.411,913,estimates,1952
90plus,11.244,913,estimates,1952
total,16273.349,913,estimates,1952
0_1,1224.918,913,estimates,1953
0_4,2709.172,913,estimates,1953
0_14,6622.315,913,estimates,1953
0_17,7602.523,913,estimates,1953
0_19,8220.279,913,estimates,1953
0_24,9649.11,913,estimates,1953
3_4,949.801,913,estimates,1953
3_5,1395.149,913,estimates,1953
3_6,1824.629,913,estimates,1953
4_5,909.327,913,estimates,1953
4_6,1338.807,913,estimates,1953
5_14,3913.143,913,estimates,1953
5_10,2477.667,913,estimates,1953
5_11,2853.104,913,estimates,1953
6_9,1645.854,913,estimates,1953
6_10,2032.319,913,estimates,1953
6_11,2407.756,913,estimates,1953
6_12,2771.336,913,estimates,1953
7_10,1602.839,913,estimates,1953
7_12,2341.856,913,estimates,1953
11_16,2096.453,913,estimates,1953
11_17,2415.684,913,estimates,1953
11_18,2727.907,913,estimates,1953
12_14,1060.039,913,estimates,1953
12_16,1721.016,913,estimates,1953
12_17,2040.247,913,estimates,1953
12_18,2352.47,913,estimates,1953
13_17,1676.667,913,estimates,1953
13_18,1988.89,913,estimates,1953
13_19,2294.423,913,estimates,1953
15_17,980.208,913,estimates,1953
18_23,1773.563,913,estimates,1953
15_24,3026.795,913,estimates,1953
15_49,7953.697,913,estimates,1953
15_59,8998.028,913,estimates,1953
15_64,9374.133,913,estimates,1953
20_64,7776.169,913,estimates,1953
