agebroad,population,region,variant,year
"Region, subregion, country or area *",South-Eastern Asia,920,estimates,1950
0_1,10564.958,920,estimates,1950
0_4,24378.671,920,estimates,1950
0_14,63508.735,920,estimates,1950
0_17,74111.009,920,estimates,1950
0_19,80754.212,920,estimates,1950
0_24,95611.51,920,estimates,1950
3_4,8986.251,920,estimates,1950
3_5,13226.262,920,estimates,1950
3_6,17343.174,920,estimates,1950
4_5,8636.079,920,estimates,1950
4_6,12752.991,920,estimates,1950
5_14,39130.064,920,estimates,1950
5_10,24078.437,920,estimates,1950
5_11,27913.455,920,estimates,1950
6_9,15981.996,920,estimates,1950
6_10,19838.426,920,estimates,1950
6_11,23673.444,920,estimates,1950
6_12,27475.856,920,estimates,1950
7_10,15721.514,920,estimates,1950
7_12,23358.944,920,estimates,1950
11_16,22191.23,920,estimates,1950
11_17,25653.901,920,estimates,1950
11_18,29025.957,920,estimates,1950
12_14,11216.609,920,estimates,1950
12_16,18356.212,920,estimates,1950
12_17,21818.883,920,estimates,1950
12_18,25190.939,920,estimates,1950
13_17,18016.471,920,estimates,1950
13_18,21388.527,920,estimates,1950
13_19,24659.674,920,estimates,1950
15_17,10602.274,920,estimates,1950
18_23,18721.785,920,estimates,1950
15_24,32102.775,920,estimates,1950
15_49,80957.174,920,estimates,1950
15_59,91129.956,920,estimates,1950
15_64,94801.807,920,estimates,1950
20_64,77556.33,920,estimates,1950
20_69,80305.097,920,estimates,1950
25_49,48854.399,920,estimates,1950
25_64,62699.032,920,estimates,1950
25_69,65447.799,920,estimates,1950
15plus,101015.885,920,estimates,1950
16plus,97414.05,920,estimates,1950
17plus,93876.282,920,estimates,1950
18plus,90413.611,920,estimates,1950
20plus,83770.408,920,estimates,1950
21plus,80600.035,920,estimates,1950
25plus,68913.11,920,estimates,1950
50plus,20058.711,920,estimates,1950
60plus,9885.929,920,estimates,1950
65plus,6214.078,920,estimates,1950
70plus,3465.311,920,estimates,1950
75plus,1630.135,920,estimates,1950
80plus,579.296,920,estimates,1950
85plus,183.125,920,estimates,1950
90plus,43.853,920,estimates,1950
total,164524.62,920,estimates,1950
"Region, subregion, country or area *",South-Eastern Asia,920,estimates,1951
0_1,11309.953,920,estimates,1951
0_4,25613.14,920,estimates,1951
0_14,65224.768,920,estimates,1951
0_17,75974.597,920,estimates,1951
0_19,82766.344,920,estimates,1951
0_24,98003.963,920,estimates,1951
