region,variant,freq,year,under60mortalityper1000livebirth
914,estimates,5yearly,1950,716.804953726254
914,estimates,5yearly,1955,690.489002720075
914,estimates,5yearly,1960,661.847116394147
914,estimates,5yearly,1965,635.375520519617
914,estimates,5yearly,1970,602.219593453945
914,estimates,5yearly,1975,563.949119361444
914,estimates,5yearly,1980,529.967287473248
914,estimates,5yearly,1985,515.140528330854
914,estimates,5yearly,1990,509.760211139952
914,estimates,5yearly,1995,515.323488867182
914,estimates,5yearly,2000,507.498746598623
914,estimates,5yearly,2005,464.000137006815
914,estimates,5yearly,2010,429.925930429726
914,medium_variant,5yearly,2015,396.720519334633
914,medium_variant,5yearly,2020,363.359295428035
914,medium_variant,5yearly,2025,331.746954781706
914,medium_variant,5yearly,2030,302.662291409318
914,medium_variant,5yearly,2035,276.829280050832
914,medium_variant,5yearly,2040,253.81099941081
914,medium_variant,5yearly,2045,233.709996252466
914,medium_variant,5yearly,2050,216.36953686147
914,medium_variant,5yearly,2055,201.306645878119
914,medium_variant,5yearly,2060,188.198391058671
914,medium_variant,5yearly,2065,176.272000538139
914,medium_variant,5yearly,2070,165.908324143607
914,medium_variant,5yearly,2075,156.559606754565
914,medium_variant,5yearly,2080,148.163184988619
914,medium_variant,5yearly,2085,140.513126898317
914,medium_variant,5yearly,2090,133.151670808401
914,medium_variant,5yearly,2095,126.333923411281
