region,variant,freq,year,under60mortalityper1000livebirth
954,estimates,5yearly,1950,449.4770145856
954,estimates,5yearly,1955,418.930661659432
954,estimates,5yearly,1960,384.110030531716
954,estimates,5yearly,1965,351.132722969421
954,estimates,5yearly,1970,317.628972087242
954,estimates,5yearly,1975,291.950405075685
954,estimates,5yearly,1980,273.180303657875
954,estimates,5yearly,1985,250.230147033362
954,estimates,5yearly,1990,226.479235848061
954,estimates,5yearly,1995,198.099173945499
954,estimates,5yearly,2000,177.568082540103
954,estimates,5yearly,2005,164.686726520601
954,estimates,5yearly,2010,155.744300019287
954,medium_variant,5yearly,2015,144.786804530342
954,medium_variant,5yearly,2020,135.225384380011
954,medium_variant,5yearly,2025,127.723243011667
954,medium_variant,5yearly,2030,122.970993108806
954,medium_variant,5yearly,2035,119.649914770221
954,medium_variant,5yearly,2040,113.932891525593
954,medium_variant,5yearly,2045,106.623194770423
954,medium_variant,5yearly,2050,100.635699126854
954,medium_variant,5yearly,2055,95.7520586465298
954,medium_variant,5yearly,2060,91.7530074672969
954,medium_variant,5yearly,2065,87.7676739257147
954,medium_variant,5yearly,2070,82.8807753143554
954,medium_variant,5yearly,2075,78.1394111789511
954,medium_variant,5yearly,2080,73.2323306781659
954,medium_variant,5yearly,2085,68.2519352479799
954,medium_variant,5yearly,2090,63.8996301492025
954,medium_variant,5yearly,2095,59.8579208978085
954,estimates,5yearly,Regi,Micronesia
954,medium_variant,5yearly,Regi,Micronesia
