region,variant,freq,year,under60mortalityper1000livebirth
925,estimates,5yearly,1950,273.65569024634
925,estimates,5yearly,1955,237.480463759238
925,estimates,5yearly,1960,210.458900599918
925,estimates,5yearly,1965,189.510282759611
925,estimates,5yearly,1970,170.734991839632
925,estimates,5yearly,1975,154.68101695389
925,estimates,5yearly,1980,140.45826732726
925,estimates,5yearly,1985,127.910544387794
925,estimates,5yearly,1990,119.924789955126
925,estimates,5yearly,1995,106.008218579878
925,estimates,5yearly,2000,94.1865154563164
925,estimates,5yearly,2005,83.1634283455048
925,estimates,5yearly,2010,73.2439270506443
925,medium_variant,5yearly,2015,65.0982971009658
925,medium_variant,5yearly,2020,59.4617043744761
925,medium_variant,5yearly,2025,54.763249692774
925,medium_variant,5yearly,2030,50.5187640965533
925,medium_variant,5yearly,2035,46.505791917218
925,medium_variant,5yearly,2040,42.6319999960512
925,medium_variant,5yearly,2045,38.9378879080137
925,medium_variant,5yearly,2050,35.406030922599
925,medium_variant,5yearly,2055,32.162624527903
925,medium_variant,5yearly,2060,29.1758530209341
925,medium_variant,5yearly,2065,26.4261439643373
925,medium_variant,5yearly,2070,23.9863946987037
925,medium_variant,5yearly,2075,21.6335744938021
925,medium_variant,5yearly,2080,19.4616500216256
925,medium_variant,5yearly,2085,17.5512571402285
925,medium_variant,5yearly,2090,15.7068218755849
925,medium_variant,5yearly,2095,14.0482716818376
925,estimates,5yearly,Regi,Southern Europe
925,medium_variant,5yearly,Regi,Southern Europe
