global,variant,freq,year,netreporductionrate
900,Constant_fertility,5yearly,2090,2.03505384969219
900,Constant_mortality,5yearly,2090,0.867467334385085
900,High_variant,5yearly,2090,1.18553596949404
900,Instant_replacement,5yearly,2090,1
900,Low_variant,5yearly,2090,0.729485763087703
900,Medium_variant,5yearly,2090,0.955163302792268
900,No_change,5yearly,2090,1.71614375208183
900,Zero_migration,5yearly,2090,0.955242929472715
900,Constant_fertility,5yearly,2095,2.09860343205959
900,Constant_mortality,5yearly,2095,0.859665467775747
900,High_variant,5yearly,2095,1.17804908032592
900,Instant_replacement,5yearly,2095,1
900,Low_variant,5yearly,2095,0.720002561880015
900,Medium_variant,5yearly,2095,0.946648430223572
900,No_change,5yearly,2095,1.7580561729253
900,Zero_migration,5yearly,2095,0.946588541764548
