global,variant,freq,year,netreporductionrate
900,Estimates,5yearly,1950,1.66993464463266
900,Estimates,5yearly,1955,1.72141317443089
900,Estimates,5yearly,1960,1.81051040133803
900,Estimates,5yearly,1965,1.88845027516827
900,Estimates,5yearly,1970,1.76642552265742
900,Estimates,5yearly,1975,1.56058110312738
900,Estimates,5yearly,1980,1.48588175943645
900,Estimates,5yearly,1985,1.44717205886373
900,Estimates,5yearly,1990,1.27951106410569
900,Estimates,5yearly,1995,1.15714385111625
900,Estimates,5yearly,2000,1.11861795714602
900,Estimates,5yearly,2005,1.1058378289784
900,Estimates,5yearly,2010,1.0960701920897
900,Constant_fertility,5yearly,2015,1.13956905460278
900,Constant_mortality,5yearly,2015,1.07535349529376
900,High_variant,5yearly,2015,1.20204301066126
900,Instant_replacement,5yearly,2015,1
900,Low_variant,5yearly,2015,0.973946338939913
900,Medium_variant,5yearly,2015,1.08797044557147
900,No_change,5yearly,2015,1.12683392673277
900,Zero_migration,5yearly,2015,1.08839564266617
900,Constant_fertility,5yearly,2020,1.18536583439009
900,Constant_mortality,5yearly,2020,1.05587110571928
900,High_variant,5yearly,2020,1.26354273755621
900,Instant_replacement,5yearly,2020,1
900,Low_variant,5yearly,2020,0.896130956378184
900,Medium_variant,5yearly,2020,1.07985780738396
900,No_change,5yearly,2020,1.15980572834228
900,Zero_migration,5yearly,2020,1.08085518121717
900,Constant_fertility,5yearly,2025,1.23042767442158
900,Constant_mortality,5yearly,2025,1.03674627149265
900,High_variant,5yearly,2025,1.30193110106066
900,Instant_replacement,5yearly,2025,1
900,Low_variant,5yearly,2025,0.839764236242284
900,Medium_variant,5yearly,2025,1.07095577431207
900,No_change,5yearly,2025,1.19142252721684
900,Zero_migration,5yearly,2025,1.07228243352193
900,Constant_fertility,5yearly,2030,1.27684988575149
900,Constant_mortality,5yearly,2030,1.01851321776279
900,High_variant,5yearly,2030,1.29395819685488
900,Instant_replacement,5yearly,2030,1
900,Low_variant,5yearly,2030,0.830023305711798
900,Medium_variant,5yearly,2030,1.06179796691709
900,No_change,5yearly,2030,1.22326922237482
900,Zero_migration,5yearly,2030,1.06334793575233
900,Constant_fertility,5yearly,2035,1.33036709181368
900,Constant_mortality,5yearly,2035,1.00270777313264
900,High_variant,5yearly,2035,1.28604007752006
900,Instant_replacement,5yearly,2035,1
900,Low_variant,5yearly,2035,0.822796515396188
900,Medium_variant,5yearly,2035,1.05425085762142
900,No_change,5yearly,2035,1.26085371686575
900,Zero_migration,5yearly,2035,1.05592613163366
900,Constant_fertility,5yearly,2040,1.38919359015876
900,Constant_mortality,5yearly,2040,0.987532375969684
900,High_variant,5yearly,2040,1.27791582011846
900,Instant_replacement,5yearly,2040,1
900,Low_variant,5yearly,2040,0.816185558505069
900,Medium_variant,5yearly,2040,1.04666746860937
900,No_change,5yearly,2040,1.30161806214941
900,Zero_migration,5yearly,2040,1.04833950766777
900,Constant_fertility,5yearly,2045,1.44752017415509
900,Constant_mortality,5yearly,2045,0.971913365135324
900,High_variant,5yearly,2045,1.26755774413705
900,Instant_replacement,5yearly,2045,1
900,Low_variant,5yearly,2045,0.808206068060148
900,Medium_variant,5yearly,2045,1.03738620868275
900,No_change,5yearly,2045,1.3404559395159
900,Zero_migration,5yearly,2045,1.03896175576979
900,Constant_fertility,5yearly,2050,1.5058415297012
900,Constant_mortality,5yearly,2050,0.956704482341355
900,High_variant,5yearly,2050,1.25707111902881
900,Instant_replacement,5yearly,2050,1
900,Low_variant,5yearly,2050,0.799861116104237
900,Medium_variant,5yearly,2050,1.02751450526606
900,No_change,5yearly,2050,1.3781779747369
900,Zero_migration,5yearly,2050,1.02896033188777
900,Constant_fertility,5yearly,2055,1.56703951494649
900,Constant_mortality,5yearly,2055,0.942772388670418
900,High_variant,5yearly,2055,1.24706591649368
900,Instant_replacement,5yearly,2055,1
900,Low_variant,5yearly,2055,0.791867304181305
900,Medium_variant,5yearly,2055,1.01801918371083
900,No_change,5yearly,2055,1.41747596451068
900,Zero_migration,5yearly,2055,1.0193205831859
900,Constant_fertility,5yearly,2060,1.63232540973523
900,Constant_mortality,5yearly,2060,0.929333551576354
900,High_variant,5yearly,2060,1.23658894769378
900,Instant_replacement,5yearly,2060,1
900,Low_variant,5yearly,2060,0.784300632384776
900,Medium_variant,5yearly,2060,1.00852116842823
900,No_change,5yearly,2060,1.45901400640788
900,Zero_migration,5yearly,2060,1.00966116426864
900,Constant_fertility,5yearly,2065,1.70027141169059
900,Constant_mortality,5yearly,2065,0.917120066115894
900,High_variant,5yearly,2065,1.22696959166877
900,Instant_replacement,5yearly,2065,1
900,Low_variant,5yearly,2065,0.776882129305209
900,Medium_variant,5yearly,2065,0.99926685807355
900,No_change,5yearly,2065,1.50235340589048
900,Zero_migration,5yearly,2065,1.00020693165568
900,Constant_fertility,5yearly,2070,1.76855283126495
900,Constant_mortality,5yearly,2070,0.905964213763401
900,High_variant,5yearly,2070,1.21806141724611
900,Instant_replacement,5yearly,2070,1
900,Low_variant,5yearly,2070,0.768287036842574
900,Medium_variant,5yearly,2070,0.990495750574246
900,No_change,5yearly,2070,1.54574266762724
900,Zero_migration,5yearly,2070,0.991242571756927
900,Constant_fertility,5yearly,2075,1.83604073549853
900,Constant_mortality,5yearly,2075,0.895407594594887
900,High_variant,5yearly,2075,1.20982698636214
900,Instant_replacement,5yearly,2075,1
900,Low_variant,5yearly,2075,0.758809427516521
900,Medium_variant,5yearly,2075,0.981616630389012
900,No_change,5yearly,2075,1.58850545911417
900,Zero_migration,5yearly,2075,0.982177417270797
