variant,region,year,childdependencyratio2064
estimates,1500,1950,117.023
estimates,1500,1951,117.691
estimates,1500,1952,118.04
estimates,1500,1953,118.134
estimates,1500,1954,118.121
estimates,1500,1955,118.085
estimates,1500,1956,118.808
estimates,1500,1957,119.364
estimates,1500,1958,119.738
estimates,1500,1959,119.87
estimates,1500,1960,119.739
estimates,1500,1961,120.714
estimates,1500,1962,121.142
estimates,1500,1963,121.241
estimates,1500,1964,121.291
estimates,1500,1965,121.443
estimates,1500,1966,122.21
estimates,1500,1967,123.03
estimates,1500,1968,123.826
estimates,1500,1969,124.445
estimates,1500,1970,124.837
estimates,1500,1971,126.199
estimates,1500,1972,127.2
estimates,1500,1973,127.892
estimates,1500,1974,128.309
estimates,1500,1975,128.443
estimates,1500,1976,128.85
estimates,1500,1977,128.887
estimates,1500,1978,128.704
estimates,1500,1979,128.475
estimates,1500,1980,128.307
estimates,1500,1981,129.033
estimates,1500,1982,129.786
estimates,1500,1983,130.466
estimates,1500,1984,130.921
estimates,1500,1985,131.102
estimates,1500,1986,132.017
estimates,1500,1987,132.452
estimates,1500,1988,132.571
estimates,1500,1989,132.557
estimates,1500,1990,132.496
estimates,1500,1991,132.681
estimates,1500,1992,132.675
estimates,1500,1993,132.536
estimates,1500,1994,132.301
estimates,1500,1995,132.005
estimates,1500,1996,132.637
estimates,1500,1997,133.165
estimates,1500,1998,133.559
estimates,1500,1999,133.747
estimates,1500,2000,133.674
estimates,1500,2001,133.658
estimates,1500,2002,133.318
estimates,1500,2003,132.766
estimates,1500,2004,132.128
estimates,1500,2005,131.47
estimates,1500,2006,131.005
estimates,1500,2007,130.478
estimates,1500,2008,129.911
estimates,1500,2009,129.275
estimates,1500,2010,128.539
estimates,1500,2011,127.785
estimates,1500,2012,126.842
estimates,1500,2013,125.75
estimates,1500,2014,124.549
estimates,1500,2015,123.262
medium_variant,1500,2015,123.262
medium_variant,1500,2016,122.074
medium_variant,1500,2017,120.794
medium_variant,1500,2018,119.445
medium_variant,1500,2019,118.036
medium_variant,1500,2020,116.578
medium_variant,1500,2021,115.285
medium_variant,1500,2022,113.907
medium_variant,1500,2023,112.472
medium_variant,1500,2024,111.007
medium_variant,1500,2025,109.523
medium_variant,1500,2026,108.135
medium_variant,1500,2027,106.719
medium_variant,1500,2028,105.294
medium_variant,1500,2029,103.869
medium_variant,1500,2030,102.452
medium_variant,1500,2031,101.175
medium_variant,1500,2032,99.884
medium_variant,1500,2033,98.588
medium_variant,1500,2034,97.293
medium_variant,1500,2035,96
medium_variant,1500,2036,94.811
medium_variant,1500,2037,93.61
medium_variant,1500,2038,92.405
medium_variant,1500,2039,91.202
medium_variant,1500,2040,90.004
medium_variant,1500,2041,88.9
medium_variant,1500,2042,87.786
medium_variant,1500,2043,86.677
medium_variant,1500,2044,85.583
medium_variant,1500,2045,84.511
medium_variant,1500,2046,83.534
medium_variant,1500,2047,82.563
medium_variant,1500,2048,81.597
medium_variant,1500,2049,80.632
medium_variant,1500,2050,79.666
medium_variant,1500,2051,78.771
medium_variant,1500,2052,77.865
medium_variant,1500,2053,76.959
medium_variant,1500,2054,76.059
medium_variant,1500,2055,75.168
medium_variant,1500,2056,74.352
medium_variant,1500,2057,73.535
medium_variant,1500,2058,72.721
medium_variant,1500,2059,71.916
medium_variant,1500,2060,71.121
medium_variant,1500,2061,70.397
medium_variant,1500,2062,69.674
medium_variant,1500,2063,68.957
medium_variant,1500,2064,68.246
medium_variant,1500,2065,67.544
medium_variant,1500,2066,66.906
medium_variant,1500,2067,66.267
medium_variant,1500,2068,65.63
medium_variant,1500,2069,64.999
medium_variant,1500,2070,64.376
medium_variant,1500,2071,63.811
medium_variant,1500,2072,63.245
medium_variant,1500,2073,62.681
medium_variant,1500,2074,62.119
medium_variant,1500,2075,61.56
medium_variant,1500,2076,61.054
medium_variant,1500,2077,60.542
medium_variant,1500,2078,60.028
medium_variant,1500,2079,59.516
medium_variant,1500,2080,59.007
medium_variant,1500,2081,58.544
medium_variant,1500,2082,58.078
medium_variant,1500,2083,57.612
medium_variant,1500,2084,57.145
medium_variant,1500,2085,56.68
medium_variant,1500,2086,56.259
medium_variant,1500,2087,55.833
medium_variant,1500,2088,55.406
medium_variant,1500,2089,54.978
medium_variant,1500,2090,54.551
medium_variant,1500,2091,54.166
medium_variant,1500,2092,53.775
medium_variant,1500,2093,53.382
medium_variant,1500,2094,52.991
medium_variant,1500,2095,52.602
medium_variant,1500,2096,52.253
medium_variant,1500,2097,51.901
medium_variant,1500,2098,51.55
medium_variant,1500,2099,51.201
medium_variant,1500,2100,50.854
high_variant,1500,2015,123.262391195151
low_variant,1500,2015,123.262391195151
constant_fertility,1500,2015,123.262391195151
instant_replacement,1500,2015,123.262391195151
zero_migration,1500,2015,123.262391195151
constant_mortality,1500,2015,123.262391195151
no_change,1500,2015,123.262391195151
high_variant,1500,2020,118.455231297968
low_variant,1500,2020,114.666037936471
constant_fertility,1500,2020,119.51148993802
instant_replacement,1500,2020,100.00597124671
zero_migration,1500,2020,116.285726640201
constant_mortality,1500,2020,116.434401671782
no_change,1500,2020,119.344714450558
high_variant,1500,2025,114.121251754938
low_variant,1500,2025,104.886656471966
constant_fertility,1500,2025,117.769720210773
instant_replacement,1500,2025,81.2994519904086
zero_migration,1500,2025,109.043896020726
constant_mortality,1500,2025,109.028114702707
no_change,1500,2025,117.169289064374
high_variant,1500,2030,110.099795532108
low_variant,1500,2030,94.7620943069668
constant_fertility,1500,2030,117.71973663938
instant_replacement,1500,2030,66.1493484734414
zero_migration,1500,2030,101.956689574063
constant_mortality,1500,2030,101.491527466119
no_change,1500,2030,116.501340241925
high_variant,1500,2035,106.367916348679
low_variant,1500,2035,85.6027772120276
constant_fertility,1500,2035,119.738963690234
instant_replacement,1500,2035,53.6835809934126
zero_migration,1500,2035,95.5599828963282
constant_mortality,1500,2035,94.5805516414473
no_change,1500,2035,117.836729600792
high_variant,1500,2040,101.058775679671
low_variant,1500,2040,78.8318586981375
constant_fertility,1500,2040,120.4170126721
instant_replacement,1500,2040,56.1362184836392
zero_migration,1500,2040,89.5890837771234
constant_mortality,1500,2040,88.3901779575609
no_change,1500,2040,118.068912875177
high_variant,1500,2045,95.5866912455274
low_variant,1500,2045,73.2439125290982
constant_fertility,1500,2045,120.591547466806
instant_replacement,1500,2045,55.6366765191363
zero_migration,1500,2045,84.0798264964926
constant_mortality,1500,2045,82.7838768704729
no_change,1500,2045,117.846994413085
high_variant,1500,2050,90.7195113134644
low_variant,1500,2050,68.4770748956507
constant_fertility,1500,2050,121.363440742408
instant_replacement,1500,2050,52.7978904556027
zero_migration,1500,2050,79.2247401424982
constant_mortality,1500,2050,77.8198643349055
no_change,1500,2050,118.153370597417
high_variant,1500,2055,86.7248990602273
low_variant,1500,2055,63.6339634587487
constant_fertility,1500,2055,122.665712299129
instant_replacement,1500,2055,48.9884884136297
zero_migration,1500,2055,74.7510826433287
constant_mortality,1500,2055,73.2102579094212
no_change,1500,2055,118.948256782487
high_variant,1500,2060,83.2225384693676
low_variant,1500,2060,59.1651594991825
constant_fertility,1500,2060,124.358977235161
instant_replacement,1500,2060,46.2962739198038
zero_migration,1500,2060,70.7549304801857
constant_mortality,1500,2060,69.0913236547665
no_change,1500,2060,120.158317958059
high_variant,1500,2065,79.8793066726206
low_variant,1500,2065,55.3663939087349
constant_fertility,1500,2065,125.960891865227
instant_replacement,1500,2065,45.7181261139718
zero_migration,1500,2065,67.2360119501104
constant_mortality,1500,2065,65.5107723903404
no_change,1500,2065,121.369119974997
high_variant,1500,2070,76.6115356673299
low_variant,1500,2070,52.2411320833996
constant_fertility,1500,2070,127.227761652703
instant_replacement,1500,2070,46.6855580622705
zero_migration,1500,2070,64.1141289707833
constant_mortality,1500,2070,62.4047138915998
no_change,1500,2070,122.340899495889
high_variant,1500,2075,73.5470511084083
low_variant,1500,2075,49.6314786310251
constant_fertility,1500,2075,128.175260834362
instant_replacement,1500,2075,48.1416259648523
zero_migration,1500,2075,61.3240225502357
constant_mortality,1500,2075,59.6921753652076
no_change,1500,2075,123.067782894447
high_variant,1500,2080,70.7649442411643
low_variant,1500,2080,47.3279757028126
constant_fertility,1500,2080,128.868862464013
instant_replacement,1500,2080,49.4456018399026
zero_migration,1500,2080,58.7870763664469
constant_mortality,1500,2080,57.2601465777385
no_change,1500,2080,123.593926491096
high_variant,1500,2085,68.4694050109364
low_variant,1500,2085,45.0271607919912
constant_fertility,1500,2085,129.769555738006
instant_replacement,1500,2085,47.378452921769
zero_migration,1500,2085,56.4819935610218
constant_mortality,1500,2085,55.0403259609296
no_change,1500,2085,124.309067313631
high_variant,1500,2090,66.4580657493284
low_variant,1500,2090,42.8193170112669
constant_fertility,1500,2090,130.743008279012
instant_replacement,1500,2090,46.0856984726328
zero_migration,1500,2090,54.3823463537025
constant_mortality,1500,2090,53.0219204782959
no_change,1500,2090,125.109743380314
high_variant,1500,2095,64.5907425749128
low_variant,1500,2095,40.7783743826708
constant_fertility,1500,2095,131.659180894633
instant_replacement,1500,2095,45.8444126373489
zero_migration,1500,2095,52.4620998431821
constant_mortality,1500,2095,51.1971893055109
no_change,1500,2095,125.882320187819
high_variant,1500,2100,62.7917055347276
low_variant,1500,2100,39.0412919506926
constant_fertility,1500,2100,132.453884873553
instant_replacement,1500,2100,46.3488601136935
zero_migration,1500,2100,50.7350395253552
constant_mortality,1500,2100,49.582581354968
no_change,1500,2100,126.56801563563
