continent,variant,gender,freq,year,lifeexpectancyat80
909,estimates,female,5yearly,1950,6.38480656479474
909,estimates,male,5yearly,1950,5.44290596714472
909,estimates,female,5yearly,1955,6.59637716993594
909,estimates,male,5yearly,1955,5.55653419274507
909,estimates,female,5yearly,1960,6.82281210050306
909,estimates,male,5yearly,1960,5.61074850119106
909,estimates,female,5yearly,1965,6.92040580222089
909,estimates,male,5yearly,1965,5.55273011398731
909,estimates,female,5yearly,1970,7.1626124223239
909,estimates,male,5yearly,1970,5.65204521381938
909,estimates,female,5yearly,1975,7.75297942267327
909,estimates,male,5yearly,1975,6.01250243472228
909,estimates,female,5yearly,1980,8.12723357671604
909,estimates,male,5yearly,1980,6.22586521560788
909,estimates,female,5yearly,1985,8.27421099214421
909,estimates,male,5yearly,1985,6.41526580820184
909,estimates,female,5yearly,1990,8.74932240828103
909,estimates,male,5yearly,1990,6.8328992724677
909,estimates,female,5yearly,1995,9.05186773814493
909,estimates,male,5yearly,1995,7.16917548079114
909,estimates,female,5yearly,2000,9.43941201685696
909,estimates,male,5yearly,2000,7.64565452331912
909,estimates,female,5yearly,2005,9.7790260029726
909,estimates,male,5yearly,2005,8.1654795439186
909,estimates,female,5yearly,2010,10.043462567455
909,estimates,male,5yearly,2010,8.55927181046414
909,medium_variant,female,5yearly,2015,10.1691723913772
909,medium_variant,male,5yearly,2015,8.88022435001625
909,medium_variant,female,5yearly,2020,10.4047664851819
909,medium_variant,male,5yearly,2020,9.21019509342043
909,medium_variant,female,5yearly,2025,10.6377152272235
909,medium_variant,male,5yearly,2025,9.48484932944314
909,medium_variant,female,5yearly,2030,10.8896557495418
909,medium_variant,male,5yearly,2030,9.72649219470166
909,medium_variant,female,5yearly,2035,11.1295247107818
909,medium_variant,male,5yearly,2035,9.95050202192132
909,medium_variant,female,5yearly,2040,11.3663224445178
909,medium_variant,male,5yearly,2040,10.1746205663963
909,medium_variant,female,5yearly,2045,11.6063608410903
909,medium_variant,male,5yearly,2045,10.3814199635561
909,medium_variant,female,5yearly,2050,11.838679584168
909,medium_variant,male,5yearly,2050,10.5677873092576
909,medium_variant,female,5yearly,2055,12.0679337228337
909,medium_variant,male,5yearly,2055,10.7747800306446
909,medium_variant,female,5yearly,2060,12.3189354895124
909,medium_variant,male,5yearly,2060,11.0020113751291
909,medium_variant,female,5yearly,2065,12.5969352230952
909,medium_variant,male,5yearly,2065,11.2537337264626
909,medium_variant,female,5yearly,2070,12.876773472483
909,medium_variant,male,5yearly,2070,11.4997440091171
909,medium_variant,female,5yearly,2075,13.1351506024865
909,medium_variant,male,5yearly,2075,11.7101905778725
909,medium_variant,female,5yearly,2080,13.3781680795429
909,medium_variant,male,5yearly,2080,11.91730608428
909,medium_variant,female,5yearly,2085,13.6237990435697
909,medium_variant,male,5yearly,2085,12.1540501244648
909,medium_variant,female,5yearly,2090,13.9336047972601
909,medium_variant,male,5yearly,2090,12.4156706839107
909,medium_variant,female,5yearly,2095,14.3023893355762
909,medium_variant,male,5yearly,2095,12.732720880348
909,estimates,female,5yearly,Regi,OCEANIA
909,estimates,male,5yearly,Regi,OCEANIA
909,medium_variant,female,5yearly,Regi,OCEANIA
909,medium_variant,male,5yearly,Regi,OCEANIA
