continent,variant,gender,freq,year,lifeexpectancyat80
904,estimates,female,5yearly,1950,5.52671678777538
904,estimates,male,5yearly,1950,5.10694508433962
904,estimates,female,5yearly,1955,5.98916660482928
904,estimates,male,5yearly,1955,5.50236110216787
904,estimates,female,5yearly,1960,6.14769874149102
904,estimates,male,5yearly,1960,5.67890668788181
904,estimates,female,5yearly,1965,6.28477917106182
904,estimates,male,5yearly,1965,5.81653088628578
904,estimates,female,5yearly,1970,6.46990231899755
904,estimates,male,5yearly,1970,5.9447263692145
904,estimates,female,5yearly,1975,6.64553105080107
904,estimates,male,5yearly,1975,5.99341338386276
904,estimates,female,5yearly,1980,6.89292079056216
904,estimates,male,5yearly,1980,6.12361595436592
904,estimates,female,5yearly,1985,7.20967090341104
904,estimates,male,5yearly,1985,6.33309959994551
904,estimates,female,5yearly,1990,7.57879815449265
904,estimates,male,5yearly,1990,6.59786456924951
904,estimates,female,5yearly,1995,8.11965799596201
904,estimates,male,5yearly,1995,7.03234631706051
904,estimates,female,5yearly,2000,8.57907976071584
904,estimates,male,5yearly,2000,7.33475644048425
904,estimates,female,5yearly,2005,9.16731022271871
904,estimates,male,5yearly,2005,7.69894663387043
904,estimates,female,5yearly,2010,9.77579964339634
904,estimates,male,5yearly,2010,8.17408920992521
904,medium_variant,female,5yearly,2015,10.0849887899971
904,medium_variant,male,5yearly,2015,8.42899800280753
904,medium_variant,female,5yearly,2020,10.3529706280156
904,medium_variant,male,5yearly,2020,8.60509546122933
904,medium_variant,female,5yearly,2025,10.6249376025603
904,medium_variant,male,5yearly,2025,8.79309217065041
904,medium_variant,female,5yearly,2030,10.8903503743193
904,medium_variant,male,5yearly,2030,8.98258879158195
904,medium_variant,female,5yearly,2035,11.1463640330673
904,medium_variant,male,5yearly,2035,9.19004280769784
904,medium_variant,female,5yearly,2040,11.3938015460388
904,medium_variant,male,5yearly,2040,9.41663683575655
904,medium_variant,female,5yearly,2045,11.6386515357215
904,medium_variant,male,5yearly,2045,9.67736391926885
904,medium_variant,female,5yearly,2050,11.9006822953745
904,medium_variant,male,5yearly,2050,9.94481974077307
904,medium_variant,female,5yearly,2055,12.1482007696012
904,medium_variant,male,5yearly,2055,10.203379657484
904,medium_variant,female,5yearly,2060,12.3775683162163
904,medium_variant,male,5yearly,2060,10.4334752001194
904,medium_variant,female,5yearly,2065,12.6118223967771
904,medium_variant,male,5yearly,2065,10.6341733964793
904,medium_variant,female,5yearly,2070,12.8463464382655
904,medium_variant,male,5yearly,2070,10.8374736831514
904,medium_variant,female,5yearly,2075,13.0960112449346
904,medium_variant,male,5yearly,2075,11.041656148177
904,medium_variant,female,5yearly,2080,13.3404780749152
904,medium_variant,male,5yearly,2080,11.2364030353652
904,medium_variant,female,5yearly,2085,13.5912035384731
904,medium_variant,male,5yearly,2085,11.4452703188013
904,medium_variant,female,5yearly,2090,13.8566923865556
904,medium_variant,male,5yearly,2090,11.6578632093517
904,medium_variant,female,5yearly,2095,14.1206079034717
904,medium_variant,male,5yearly,2095,11.8796735949474
