variant,region,year,oldagedependencyratio2569
estimates,5501,1950,5.494
estimates,5501,1951,5.416
estimates,5501,1952,5.274
estimates,5501,1953,5.092
estimates,5501,1954,4.898
estimates,5501,1955,4.705
estimates,5501,1956,4.769
estimates,5501,1957,4.82
estimates,5501,1958,4.837
estimates,5501,1959,4.795
estimates,5501,1960,4.687
estimates,5501,1961,4.731
estimates,5501,1962,4.724
estimates,5501,1963,4.683
estimates,5501,1964,4.631
estimates,5501,1965,4.579
estimates,5501,1966,4.693
estimates,5501,1967,4.794
estimates,5501,1968,4.87
estimates,5501,1969,4.907
estimates,5501,1970,4.903
estimates,5501,1971,5.015
estimates,5501,1972,5.088
estimates,5501,1973,5.129
estimates,5501,1974,5.147
estimates,5501,1975,5.145
estimates,5501,1976,5.259
estimates,5501,1977,5.343
estimates,5501,1978,5.396
estimates,5501,1979,5.416
estimates,5501,1980,5.407
estimates,5501,1981,5.493
estimates,5501,1982,5.544
estimates,5501,1983,5.562
estimates,5501,1984,5.552
estimates,5501,1985,5.518
estimates,5501,1986,5.589
estimates,5501,1987,5.629
estimates,5501,1988,5.642
estimates,5501,1989,5.633
estimates,5501,1990,5.604
estimates,5501,1991,5.696
estimates,5501,1992,5.764
estimates,5501,1993,5.809
estimates,5501,1994,5.835
estimates,5501,1995,5.844
estimates,5501,1996,5.958
estimates,5501,1997,6.048
estimates,5501,1998,6.117
estimates,5501,1999,6.169
estimates,5501,2000,6.206
estimates,5501,2001,6.325
estimates,5501,2002,6.422
estimates,5501,2003,6.497
estimates,5501,2004,6.553
estimates,5501,2005,6.593
estimates,5501,2006,6.697
estimates,5501,2007,6.774
estimates,5501,2008,6.826
estimates,5501,2009,6.854
estimates,5501,2010,6.86
estimates,5501,2011,6.941
estimates,5501,2012,7
estimates,5501,2013,7.041
estimates,5501,2014,7.07
estimates,5501,2015,7.092
medium_variant,5501,2015,7.092
medium_variant,5501,2016,7.189
medium_variant,5501,2017,7.272
medium_variant,5501,2018,7.351
medium_variant,5501,2019,7.441
medium_variant,5501,2020,7.548
medium_variant,5501,2021,7.74
medium_variant,5501,2022,7.936
medium_variant,5501,2023,8.131
medium_variant,5501,2024,8.321
medium_variant,5501,2025,8.506
medium_variant,5501,2026,8.753
medium_variant,5501,2027,8.988
medium_variant,5501,2028,9.214
medium_variant,5501,2029,9.436
medium_variant,5501,2030,9.658
medium_variant,5501,2031,9.942
medium_variant,5501,2032,10.217
medium_variant,5501,2033,10.483
medium_variant,5501,2034,10.742
medium_variant,5501,2035,10.997
medium_variant,5501,2036,11.312
medium_variant,5501,2037,11.616
medium_variant,5501,2038,11.911
medium_variant,5501,2039,12.2
medium_variant,5501,2040,12.486
medium_variant,5501,2041,12.829
medium_variant,5501,2042,13.16
medium_variant,5501,2043,13.489
medium_variant,5501,2044,13.823
medium_variant,5501,2045,14.171
medium_variant,5501,2046,14.587
medium_variant,5501,2047,15.006
medium_variant,5501,2048,15.434
medium_variant,5501,2049,15.88
medium_variant,5501,2050,16.351
medium_variant,5501,2051,16.9
medium_variant,5501,2052,17.46
medium_variant,5501,2053,18.03
medium_variant,5501,2054,18.604
medium_variant,5501,2055,19.18
medium_variant,5501,2056,19.803
medium_variant,5501,2057,20.419
medium_variant,5501,2058,21.026
medium_variant,5501,2059,21.62
medium_variant,5501,2060,22.202
medium_variant,5501,2061,22.806
medium_variant,5501,2062,23.388
medium_variant,5501,2063,23.955
medium_variant,5501,2064,24.512
medium_variant,5501,2065,25.066
medium_variant,5501,2066,25.649
medium_variant,5501,2067,26.218
medium_variant,5501,2068,26.779
medium_variant,5501,2069,27.334
medium_variant,5501,2070,27.888
medium_variant,5501,2071,28.461
medium_variant,5501,2072,29.024
medium_variant,5501,2073,29.583
medium_variant,5501,2074,30.14
medium_variant,5501,2075,30.693
medium_variant,5501,2076,31.262
