continent,variant,year,population
903,estimates,1950,228670.019
903,estimates,1951,233277.049
903,estimates,1952,238113.121
903,estimates,1953,243177.791
903,estimates,1954,248471.497
903,estimates,1955,253995.025
903,estimates,1956,259750.195
903,estimates,1957,265739.281
903,estimates,1958,271965.261
903,estimates,1959,278431.545
903,estimates,1960,285142.006
903,estimates,1961,292100.079
903,estimates,1962,299309.231
903,estimates,1963,306772.112
903,estimates,1964,314491.391
903,estimates,1965,322470.634
903,estimates,1966,330720.407
903,estimates,1967,339247.878
903,estimates,1968,348049.881
903,estimates,1969,357119.794
903,estimates,1970,366458.929
903,estimates,1971,376067.257
903,estimates,1972,385965.161
903,estimates,1973,396198.875
903,estimates,1974,406828.206
903,estimates,1975,417898.074
903,estimates,1976,429424.761
903,estimates,1977,441404.179
903,estimates,1978,453834.792
903,estimates,1979,466707.331
903,estimates,1980,480012.209
903,estimates,1981,493747.699
903,estimates,1982,507910.465
903,estimates,1983,522485.55
903,estimates,1984,537453.703
903,estimates,1985,552796.228
903,estimates,1986,568505.611
903,estimates,1987,584569.186
903,estimates,1988,600956.701
903,estimates,1989,617632.012
903,estimates,1990,634567.044
903,estimates,1991,651763.106
903,estimates,1992,669221.342
903,estimates,1993,686916.862
903,estimates,1994,704820.799
903,estimates,1995,722921.961
903,estimates,1996,741220.519
903,estimates,1997,759752.789
903,estimates,1998,778592.236
903,estimates,1999,797836.027
903,estimates,2000,817566.004
903,estimates,2001,837820.928
903,estimates,2002,858622.597
903,estimates,2003,880016.866
903,estimates,2004,902048.601
903,estimates,2005,924757.708
903,estimates,2006,948156.166
903,estimates,2007,972265.961
903,estimates,2008,997144.67
903,estimates,2009,1022858.654
903,estimates,2010,1049446.344
903,estimates,2011,1076933.813
903,estimates,2012,1105285.268
903,estimates,2013,1134398.192
903,estimates,2014,1164129.789
903,constant_fertility,2015,1194369.908
903,constant_mortality,2015,1194369.908
903,estimates,2015,1194369.908
903,high_variant,2015,1194369.908
903,instant_replacement,2015,1194369.908
903,low_variant,2015,1194369.908
903,medium_variant,2015,1194369.908
903,momentum,2015,1194369.908
903,no_change,2015,1194369.908
903,zero_migration,2015,1194369.908
903,constant_fertility,2016,1226776.65
903,constant_mortality,2016,1224286.253
903,high_variant,2016,1226509.733
903,instant_replacement,2016,1212582.02
903,low_variant,2016,1223816.12
903,medium_variant,2016,1225080.51
903,momentum,2016,1212540.894
903,no_change,2016,1225903.555
903,zero_migration,2016,1225660.953
903,constant_fertility,2017,1260323.482
903,constant_mortality,2017,1254369.196
903,high_variant,2017,1259602.71
903,instant_replacement,2017,1226064.808
903,low_variant,2017,1253135.254
903,medium_variant,2017,1256268.025
903,momentum,2017,1225955.845
903,no_change,2017,1258311.831
903,zero_migration,2017,1257374.508
903,constant_fertility,2018,1295015.869
903,constant_mortality,2018,1284632.237
903,high_variant,2018,1293584.073
903,instant_replacement,2018,1236500.265
903,low_variant,2018,1282426.983
903,medium_variant,2018,1287920.518
903,momentum,2018,1236281.853
903,no_change,2018,1291595.892
903,zero_migration,2018,1289529.75
903,constant_fertility,2019,1330863.967
903,constant_mortality,2019,1315084.884
903,high_variant,2019,1328405.157
903,instant_replacement,2019,1246375.925
903,low_variant,2019,1311767.677
903,medium_variant,2019,1320038.716
903,momentum,2019,1245988.02
903,no_change,2019,1325759.691
903,zero_migration,2019,1322142.112
903,constant_fertility,2020,1367882.426
903,constant_mortality,2020,1345732.646
903,high_variant,2020,1364033.709
903,instant_replacement,2020,1257536.295
903,low_variant,2020,1341210.702
903,medium_variant,2020,1352622.189
903,momentum,2020,1256904.048
903,no_change,2020,1360810.102
903,zero_migration,2020,1355223.522
903,constant_fertility,2021,1406090.798
903,constant_mortality,2021,1376576.497
903,high_variant,2021,1400454.202
903,instant_replacement,2021,1270501.301
903,low_variant,2021,1370784.987
903,medium_variant,2021,1385654.615
903,momentum,2021,1269540.276
903,no_change,2021,1396756.652
903,zero_migration,2021,1388782.317
903,constant_fertility,2022,1445513.353
903,constant_mortality,2022,1407613.693
903,high_variant,2022,1437667.388
903,instant_replacement,2022,1284840.878
903,low_variant,2022,1400496.24
903,medium_variant,2022,1419122.396
903,momentum,2022,1283463.625
903,no_change,2022,1433611.944
903,zero_migration,2022,1422823.113
903,constant_fertility,2023,1486178.585
903,constant_mortality,2023,1438837.31
903,high_variant,2023,1475687.571
903,instant_replacement,2023,1300310.374
903,low_variant,2023,1430330.72
903,medium_variant,2023,1453034.271
903,momentum,2023,1298429.684
903,no_change,2023,1471391.058
903,zero_migration,2023,1457347.444
903,constant_fertility,2024,1528119.269
903,constant_mortality,2024,1470237.865
903,high_variant,2024,1514538.605
903,instant_replacement,2024,1316359.781
903,low_variant,2024,1460260.169
903,medium_variant,2024,1487406.129
903,momentum,2024,1313892.013
903,no_change,2024,1510111.752
903,zero_migration,2024,1492354.127
903,constant_fertility,2025,1571371.221
903,constant_mortality,2025,1501805.225
903,high_variant,2025,1554240.566
903,instant_replacement,2025,1332589.029
903,low_variant,2025,1490259.642
903,medium_variant,2025,1522250.093
903,momentum,2025,1329451.529
903,no_change,2025,1549793.726
903,zero_migration,2025,1527841.43
903,constant_fertility,2026,1615972.042
903,constant_mortality,2026,1533530.642
903,high_variant,2026,1594796.676
903,instant_replacement,2026,1349029.207
903,low_variant,2026,1520325.383
903,medium_variant,2026,1557562.575
903,momentum,2026,1345135.617
903,no_change,2026,1590457.785
903,zero_migration,2026,1563808.74
903,constant_fertility,2027,1661960.287
903,constant_mortality,2027,1565409.455
903,high_variant,2027,1636181.008
903,instant_replacement,2027,1365905.511
903,low_variant,2027,1550490.847
903,medium_variant,2027,1593338.261
903,momentum,2027,1361161.563
903,no_change,2027,1632125.81
903,zero_migration,2027,1600258.41
903,constant_fertility,2028,1709375.156
903,constant_mortality,2028,1597441.53
903,high_variant,2028,1678333.483
903,instant_replacement,2028,1383211.373
903,low_variant,2028,1580833.615
903,medium_variant,2028,1629585.987
903,momentum,2028,1377513.765
903,no_change,2028,1674820.171
903,zero_migration,2028,1637196.899
903,constant_fertility,2029,1758257.162
903,constant_mortality,2029,1629628.848
903,high_variant,2029,1721174.473
903,instant_replacement,2029,1400941.499
903,low_variant,2029,1611455.927
903,medium_variant,2029,1666317.064
903,momentum,2029,1394176.32
903,no_change,2029,1718564.432
903,zero_migration,2029,1674631.873
903,constant_fertility,2030,1808652.457
903,constant_mortality,2030,1661968.276
903,high_variant,2030,1764647.3
903,instant_replacement,2030,1419073.304
903,low_variant,2030,1642427.701
903,medium_variant,2030,1703537.504
903,momentum,2030,1411117.706
903,no_change,2030,1763385.18
903,zero_migration,2030,1712566.578
903,constant_fertility,2031,1860612.683
903,constant_mortality,2031,1694447.96
903,high_variant,2031,1808728.869
903,instant_replacement,2031,1437577.204
903,low_variant,2031,1673768.074
903,medium_variant,2031,1741243.659
903,momentum,2031,1428303.954
903,no_change,2031,1809311.921
903,zero_migration,2031,1750996.663
903,constant_fertility,2032,1914196.503
903,constant_mortality,2032,1727049.03
903,high_variant,2032,1853435.324
903,instant_replacement,2032,1456387.091
903,low_variant,2032,1705445.228
903,medium_variant,2032,1779425.239
903,momentum,2032,1445666.129
903,no_change,2032,1856378.485
903,zero_migration,2032,1789912.003
903,constant_fertility,2033,1969467.855
903,constant_mortality,2033,1759750.913
903,high_variant,2033,1898798.724
903,instant_replacement,2033,1475395.457
903,low_variant,2033,1737412.823
903,medium_variant,2033,1818071.729
903,momentum,2033,1463090.829
903,no_change,2033,1904623.385
903,zero_migration,2033,1829301.673
903,constant_fertility,2034,2026495.575
903,constant_mortality,2034,1792529.496
903,high_variant,2034,1944869.813
903,instant_replacement,2034,1494469.726
903,low_variant,2034,1769600.238
903,medium_variant,2034,1857169.603
903,momentum,2034,1480439.534
903,no_change,2034,1954088.534
903,zero_migration,2034,1869152.04
903,constant_fertility,2035,2085350.661
903,constant_mortality,2035,1825359.714
903,high_variant,2035,1991687.625
903,instant_replacement,2035,1513493.743
903,low_variant,2035,1801945.819
903,medium_variant,2035,1896703.697
903,momentum,2035,1497591.722
903,no_change,2035,2004816.36
903,zero_migration,2035,1909447.811
903,constant_fertility,2036,2146102.109
903,constant_mortality,2036,1858221.008
903,high_variant,2036,2039257.9
903,instant_replacement,2036,1532412.661
903,low_variant,2036,1834424.651
903,medium_variant,2036,1936661.446
903,momentum,2036,1514490.701
903,no_change,2036,2056846.015
903,zero_migration,2036,1950176.323
903,constant_fertility,2037,2208822.134
903,constant_mortality,2037,1891089.641
903,high_variant,2037,2087573.49
903,instant_replacement,2037,1551177.567
903,low_variant,2037,1867018.517
903,medium_variant,2037,1977026.733
903,momentum,2037,1531087.063
903,no_change,2037,2110218.408
903,zero_migration,2037,1991321.137
903,constant_fertility,2038,2273590.268
903,constant_mortality,2038,1923931.369
903,high_variant,2038,2136645.507
903,instant_replacement,2038,1569686.209
903,low_variant,2038,1899676.924
903,medium_variant,2038,2017774.373
903,momentum,2038,1547279.117
903,no_change,2038,2164979.882
903,zero_migration,2038,2032858.23
903,constant_fertility,2039,2340490.556
903,constant_mortality,2039,1956708.191
903,high_variant,2039,2186484.774
903,instant_replacement,2039,1587827.562
903,low_variant,2039,1932343.203
903,medium_variant,2039,2058875.145
903,momentum,2039,1562957.272
903,no_change,2039,2221179.676
903,zero_migration,2039,2074759.558
903,constant_fertility,2040,2409607.858
903,constant_mortality,2040,1989384.599
903,high_variant,2040,2237098.67
903,instant_replacement,2040,1605515.165
903,low_variant,2040,1964966.319
903,medium_variant,2040,2100301.731
903,momentum,2040,1578037.103
903,no_change,2040,2278866.216
903,zero_migration,2040,2116998.728
903,constant_fertility,2041,2481027.246
903,constant_mortality,2041,2021933.877
903,high_variant,2041,2288489.986
903,instant_replacement,2041,1622696.684
903,low_variant,2041,1997510.946
903,medium_variant,2041,2142034.032
903,momentum,2041,1592467.685
903,no_change,2041,2338087.131
903,zero_migration,2041,2159555.749
903,constant_fertility,2042,2554833.71
903,constant_mortality,2042,2054331.057
903,high_variant,2042,2340657.306
903,instant_replacement,2042,1639356.16
903,low_variant,2042,2029946.564
903,medium_variant,2042,2184052.732
903,momentum,2042,1606236.028
903,no_change,2042,2398888.412
903,zero_migration,2042,2202411.085
903,constant_fertility,2043,2631112.864
903,constant_mortality,2043,2086544.497
903,high_variant,2043,2393596.647
903,instant_replacement,2043,1655493.385
903,low_variant,2043,2062233.157
903,medium_variant,2043,2226331.727
903,momentum,2043,1619349.367
903,no_change,2043,2461316.507
903,zero_migration,2043,2245539.665
903,constant_fertility,2044,2709951.44
903,constant_mortality,2044,2118541.531
903,high_variant,2044,2447301.367
903,instant_replacement,2044,1671128.884
903,low_variant,2044,2094330.592
903,medium_variant,2044,2268843.05
903,momentum,2044,1631836.762
903,no_change,2044,2525417.764
903,zero_migration,2044,2288915.008
903,constant_fertility,2045,2791440.051
903,constant_mortality,2045,2150292.17
903,high_variant,2045,2501763.422
903,instant_replacement,2045,1686281.814
903,low_variant,2045,2126203.526
903,medium_variant,2045,2311561.326
903,momentum,2045,1643725.622
903,no_change,2045,2591240.418
903,zero_migration,2045,2332512.399
903,constant_fertility,2046,2875675.862
903,constant_mortality,2046,2181770.425
903,high_variant,2046,2556974.936
903,instant_replacement,2046,1700947.644
903,low_variant,2046,2157821.203
903,medium_variant,2046,2354463.822
903,momentum,2046,1655016.051
903,no_change,2046,2658836.66
903,zero_migration,2046,2376309.478
903,constant_fertility,2047,2962759.409
903,constant_mortality,2047,2212953.996
903,high_variant,2047,2612926.582
903,instant_replacement,2047,1715125.92
903,low_variant,2047,2189160.203
903,medium_variant,2047,2397531.544
903,momentum,2047,1665711.504
903,no_change,2047,2728259.825
903,zero_migration,2047,2420286.093
903,constant_fertility,2048,3052790.863
903,constant_mortality,2048,2243821.523
903,high_variant,2048,2669605.288
903,instant_replacement,2048,1728850.563
903,low_variant,2048,2220202.444
903,medium_variant,2048,2440746.939
903,momentum,2048,1675852.039
903,no_change,2048,2799561.302
903,zero_migration,2048,2464422.784
903,constant_fertility,2049,3145872.578
903,constant_mortality,2049,2274353.899
903,high_variant,2049,2726996.235
903,instant_replacement,2049,1742167.048
903,low_variant,2049,2250934.582
903,medium_variant,2049,2484094.2
903,momentum,2049,1685489.631
903,no_change,2049,2872792.957
903,zero_migration,2049,2508700.905
903,constant_fertility,2050,3242111.067
903,constant_mortality,2050,2304532.176
903,high_variant,2050,2785082.798
903,instant_replacement,2050,1755116.368
903,low_variant,2050,2281343.106
903,medium_variant,2050,2527556.761
903,momentum,2050,1694671.072
903,no_change,2050,2948009.195
903,zero_migration,2050,2553101.379
903,constant_fertility,2051,3341621.652
903,constant_mortality,2051,2334337.672
903,high_variant,2051,2843853.54
903,instant_replacement,2051,1767715.183
903,low_variant,2051,2311409.752
903,medium_variant,2051,2571117.139
903,momentum,2051,1703417.716
903,no_change,2051,3025269.967
903,zero_migration,2051,2597605.825
903,constant_fertility,2052,3444520.927
903,constant_mortality,2052,2363751.138
903,high_variant,2052,2903291.37
903,instant_replacement,2052,1779980.833
903,low_variant,2052,2341116.508
903,medium_variant,2052,2614755.642
903,momentum,2052,1711751.091
903,no_change,2052,3104636.79
903,zero_migration,2052,2642194.184
903,constant_fertility,2053,3550921.551
903,constant_mortality,2053,2392754.013
903,high_variant,2053,2963366.92
903,instant_replacement,2053,1791956.277
903,low_variant,2053,2370451.19
903,medium_variant,2053,2658451.115
903,momentum,2053,1719719.025
903,no_change,2053,3186168.769
903,zero_migration,2053,2686844.595
903,constant_fertility,2054,3660937.428
903,constant_mortality,2054,2421328.08
903,high_variant,2054,3024046.033
903,instant_replacement,2054,1803690.714
903,low_variant,2054,2399403.75
903,medium_variant,2054,2702181.334
903,momentum,2054,1727375.794
903,no_change,2054,3269926.065
903,zero_migration,2054,2731534.576
903,constant_fertility,2055,3774690.377
903,constant_mortality,2055,2449456.93
903,high_variant,2055,3085299.652
903,instant_replacement,2055,1815223.705
903,low_variant,2055,2427964.284
903,medium_variant,2055,2745926.407
903,momentum,2055,1734765.165
903,no_change,2055,3355972.562
903,zero_migration,2055,2776243.563
903,constant_fertility,2056,3892316.529
903,constant_mortality,2056,2477123.735
903,high_variant,2056,3147108.725
903,instant_replacement,2056,1826571.085
903,low_variant,2056,2456117.943
903,medium_variant,2056,2789666.927
903,momentum,2056,1741907.363
903,no_change,2056,3444378.202
903,zero_migration,2056,2820951.631
903,constant_fertility,2057,4013958.739
903,constant_mortality,2057,2504316.274
903,high_variant,2057,3209461.695
