continent,variant,year,population
909,estimates,1950,12647.776
909,estimates,1951,12971.297
909,estimates,1952,13275.573
909,estimates,1953,13572.461
909,estimates,1954,13870.902
909,estimates,1955,14176.713
909,estimates,1956,14492.818
909,estimates,1957,14819.081
909,estimates,1958,15152.85
909,estimates,1959,15489.65
909,estimates,1960,15825.224
909,estimates,1961,16157.867
909,estimates,1962,16490.164
909,estimates,1963,16829.986
909,estimates,1964,17188.133
909,estimates,1965,17571.233
909,estimates,1966,17982.612
909,estimates,1967,18416.989
909,estimates,1968,18861.859
909,estimates,1969,19299.805
909,estimates,1970,19718.034
909,estimates,1971,20113.704
909,estimates,1972,20489.704
909,estimates,1973,20846.065
909,estimates,1974,21184.323
909,estimates,1975,21506.855
909,estimates,1976,21811.92
909,estimates,1977,22101.729
909,estimates,1978,22387.772
909,estimates,1979,22685.176
909,estimates,1980,23005.068
909,estimates,1981,23351.573
909,estimates,1982,23722.342
909,estimates,1983,24113.313
909,estimates,1984,24517.512
909,estimates,1985,24929.397
909,estimates,1986,25348.398
909,estimates,1987,25775.162
909,estimates,1988,26206.73
909,estimates,1989,26639.715
909,estimates,1990,27071.461
909,estimates,1991,27501.305
909,estimates,1992,27929.031
909,estimates,1993,28353.141
909,estimates,1994,28772.099
909,estimates,1995,29185.314
909,estimates,1996,29593.028
909,estimates,1997,29997.105
909,estimates,1998,30401.381
909,estimates,1999,30810.664
909,estimates,2000,31229.422
909,estimates,2001,31656.849
909,estimates,2002,32094.472
909,estimates,2003,32551.66
909,estimates,2004,33040.246
909,estimates,2005,33567.637
909,estimates,2006,34138.499
909,estimates,2007,34747.498
909,estimates,2008,35379.766
909,estimates,2009,36014.268
909,estimates,2010,36635.566
909,estimates,2011,37237.877
909,estimates,2012,37824.446
909,estimates,2013,38399.398
909,estimates,2014,38970.389
909,constant_fertility,2015,39542.98
909,constant_mortality,2015,39542.98
909,estimates,2015,39542.98
909,high_variant,2015,39542.98
909,instant_replacement,2015,39542.98
909,low_variant,2015,39542.98
909,medium_variant,2015,39542.98
909,momentum,2015,39542.98
909,no_change,2015,39542.98
909,zero_migration,2015,39542.98
909,constant_fertility,2016,40144.729
909,constant_mortality,2016,40116.209
909,high_variant,2016,40169.754
909,instant_replacement,2016,40081.031
909,low_variant,2016,40081.176
909,medium_variant,2016,40117.432
909,momentum,2016,39953.125
909,no_change,2016,40135.324
909,zero_migration,2016,39936.256
909,constant_fertility,2017,40744.857
909,constant_mortality,2017,40678.557
909,high_variant,2017,40805.313
909,instant_replacement,2017,40603.11
909,low_variant,2017,40596.204
909,medium_variant,2017,40690.786
909,momentum,2017,40293.522
909,no_change,2017,40722.4
909,zero_migration,2017,40327.431
909,constant_fertility,2018,41343.173
909,constant_mortality,2018,41229.991
909,high_variant,2018,41446.966
909,instant_replacement,2018,41113.312
909,low_variant,2018,41090.615
909,medium_variant,2018,41261.212
909,momentum,2018,40585.164
909,no_change,2018,41304.095
909,zero_migration,2018,40715.806
909,constant_fertility,2019,41939.81
909,constant_mortality,2019,41770.664
909,high_variant,2019,42092.831
909,instant_replacement,2019,41617.436
909,low_variant,2019,41566.604
909,medium_variant,2019,41826.176
909,momentum,2019,40858.795
909,no_change,2019,41880.431
909,zero_migration,2019,41100.555
909,constant_fertility,2020,42534.993
909,constant_mortality,2020,42300.956
909,high_variant,2020,42741.579
909,instant_replacement,2020,42119.967
909,low_variant,2020,42025.997
909,medium_variant,2020,42383.789
909,momentum,2020,41137.294
909,no_change,2020,42451.651
909,zero_migration,2020,41481.01
909,constant_fertility,2021,43129.107
909,constant_mortality,2021,42821.393
909,high_variant,2021,43392.691
909,instant_replacement,2021,42622.156
909,low_variant,2021,42470.3
909,medium_variant,2021,42933.372
909,momentum,2021,41427.334
909,no_change,2021,43018.271
909,zero_migration,2021,41856.568
909,constant_fertility,2022,43722.928
909,constant_mortality,2022,43332.838
909,high_variant,2022,44046.451
909,instant_replacement,2022,43123.474
909,low_variant,2022,42900.815
909,medium_variant,2022,43475.805
909,momentum,2022,41723.572
909,no_change,2022,43581.067
909,zero_migration,2022,42226.694
909,constant_fertility,2023,44317.16
909,constant_mortality,2023,43836.236
909,high_variant,2023,44703.604
909,instant_replacement,2023,43624.137
909,low_variant,2023,43318.383
909,medium_variant,2023,44012.374
909,momentum,2023,42021.99
909,no_change,2023,44140.842
909,zero_migration,2023,42590.906
909,constant_fertility,2024,44912.718
909,constant_mortality,2024,44332.609
909,high_variant,2024,45365.415
909,instant_replacement,2024,44123.797
909,low_variant,2024,43723.799
909,medium_variant,2024,44545.042
909,momentum,2024,42314.477
909,no_change,2024,44698.578
909,zero_migration,2024,42948.788
909,constant_fertility,2025,45510.426
909,constant_mortality,2025,44822.92
909,high_variant,2025,46032.887
909,instant_replacement,2025,44622.288
909,low_variant,2025,44117.637
909,medium_variant,2025,45075.275
909,momentum,2025,42595.157
