variant,global,year,gender,potentialsupport2564_65
estimates,900,1950,male,17.636
estimates,900,1951,male,17.385
estimates,900,1952,male,17.282
estimates,900,1953,male,17.33
estimates,900,1954,male,17.519
estimates,900,1955,male,17.838
estimates,900,1956,male,17.548
estimates,900,1957,male,17.407
estimates,900,1958,male,17.413
estimates,900,1959,male,17.571
estimates,900,1960,male,17.885
estimates,900,1961,male,17.599
estimates,900,1962,male,17.453
estimates,900,1963,male,17.433
estimates,900,1964,male,17.521
estimates,900,1965,male,17.701
estimates,900,1966,male,17.301
estimates,900,1967,male,17.006
estimates,900,1968,male,16.804
estimates,900,1969,male,16.678
estimates,900,1970,male,16.617
estimates,900,1971,male,16.196
estimates,900,1972,male,15.883
estimates,900,1973,male,15.671
estimates,900,1974,male,15.554
estimates,900,1975,male,15.523
estimates,900,1976,male,15.201
estimates,900,1977,male,14.993
estimates,900,1978,male,14.874
estimates,900,1979,male,14.812
estimates,900,1980,male,14.785
estimates,900,1981,male,14.521
estimates,900,1982,male,14.317
estimates,900,1983,male,14.192
estimates,900,1984,male,14.173
estimates,900,1985,male,14.264
estimates,900,1986,male,14.164
estimates,900,1987,male,14.167
estimates,900,1988,male,14.236
estimates,900,1989,male,14.33
estimates,900,1990,male,14.427
estimates,900,1991,male,14.278
estimates,900,1992,male,14.17
estimates,900,1993,male,14.093
estimates,900,1994,male,14.035
estimates,900,1995,male,13.988
estimates,900,1996,male,13.729
estimates,900,1997,male,13.514
estimates,900,1998,male,13.343
estimates,900,1999,male,13.221
estimates,900,2000,male,13.14
estimates,900,2001,male,12.894
estimates,900,2002,male,12.706
estimates,900,2003,male,12.56
estimates,900,2004,male,12.443
estimates,900,2005,male,12.348
estimates,900,2006,male,12.118
estimates,900,2007,male,11.927
estimates,900,2008,male,11.779
estimates,900,2009,male,11.686
estimates,900,2010,male,11.648
estimates,900,2011,male,11.533
estimates,900,2012,male,11.47
estimates,900,2013,male,11.433
estimates,900,2014,male,11.391
estimates,900,2015,male,11.329
medium_variant,900,2015,male,11.329
medium_variant,900,2016,male,11.148
medium_variant,900,2017,male,10.974
medium_variant,900,2018,male,10.796
medium_variant,900,2019,male,10.598
medium_variant,900,2020,male,10.376
medium_variant,900,2021,male,10.054
medium_variant,900,2022,male,9.739
medium_variant,900,2023,male,9.443
medium_variant,900,2024,male,9.181
medium_variant,900,2025,male,8.954
medium_variant,900,2026,male,8.703
medium_variant,900,2027,male,8.49
medium_variant,900,2028,male,8.302
medium_variant,900,2029,male,8.122
medium_variant,900,2030,male,7.943
medium_variant,900,2031,male,7.729
medium_variant,900,2032,male,7.531
medium_variant,900,2033,male,7.347
medium_variant,900,2034,male,7.176
medium_variant,900,2035,male,7.013
medium_variant,900,2036,male,6.83
medium_variant,900,2037,male,6.666
medium_variant,900,2038,male,6.517
medium_variant,900,2039,male,6.382
medium_variant,900,2040,male,6.26
medium_variant,900,2041,male,6.124
medium_variant,900,2042,male,6.004
medium_variant,900,2043,male,5.901
medium_variant,900,2044,male,5.813
medium_variant,900,2045,male,5.74
medium_variant,900,2046,male,5.658
medium_variant,900,2047,male,5.593
medium_variant,900,2048,male,5.539
medium_variant,900,2049,male,5.488
medium_variant,900,2050,male,5.434
medium_variant,900,2051,male,5.358
medium_variant,900,2052,male,5.288
medium_variant,900,2053,male,5.22
medium_variant,900,2054,male,5.148
medium_variant,900,2055,male,5.069
medium_variant,900,2056,male,4.968
medium_variant,900,2057,male,4.869
medium_variant,900,2058,male,4.776
medium_variant,900,2059,male,4.693
medium_variant,900,2060,male,4.622
medium_variant,900,2061,male,4.547
medium_variant,900,2062,male,4.487
medium_variant,900,2063,male,4.439
medium_variant,900,2064,male,4.398
medium_variant,900,2065,male,4.363
medium_variant,900,2066,male,4.323
medium_variant,900,2067,male,4.293
medium_variant,900,2068,male,4.27
medium_variant,900,2069,male,4.249
medium_variant,900,2070,male,4.228
medium_variant,900,2071,male,4.198
medium_variant,900,2072,male,4.174
medium_variant,900,2073,male,4.151
medium_variant,900,2074,male,4.127
medium_variant,900,2075,male,4.102
medium_variant,900,2076,male,4.067
medium_variant,900,2077,male,4.035
medium_variant,900,2078,male,4.004
