variant,country,year,dependencyratio2569
estimates,275,1950,192.964
estimates,275,1951,196.438
estimates,275,1952,198.965
estimates,275,1953,201.659
estimates,275,1954,204.474
estimates,275,1955,206.979
estimates,275,1956,209.102
estimates,275,1957,211.036
estimates,275,1958,212.539
estimates,275,1959,213.722
estimates,275,1960,214.934
estimates,275,1961,217.135
estimates,275,1962,219.394
estimates,275,1963,221.544
estimates,275,1964,223.068
estimates,275,1965,223.395
estimates,275,1966,225.682
estimates,275,1967,227.027
estimates,275,1968,227.604
estimates,275,1969,228.189
estimates,275,1970,229.775
estimates,275,1971,229.965
estimates,275,1972,229.868
estimates,275,1973,230.001
estimates,275,1974,230.463
estimates,275,1975,231.087
estimates,275,1976,232.329
estimates,275,1977,233.855
estimates,275,1978,235.357
estimates,275,1979,236.589
estimates,275,1980,237.509
estimates,275,1981,238.887
estimates,275,1982,239.594
estimates,275,1983,239.755
estimates,275,1984,239.471
estimates,275,1985,238.793
estimates,275,1986,237.494
estimates,275,1987,235.927
estimates,275,1988,234.217
estimates,275,1989,232.569
estimates,275,1990,231.204
estimates,275,1991,230.357
estimates,275,1992,229.522
estimates,275,1993,228.663
estimates,275,1994,227.664
estimates,275,1995,226.458
estimates,275,1996,225.794
estimates,275,1997,224.469
estimates,275,1998,222.71
estimates,275,1999,220.614
estimates,275,2000,218.062
estimates,275,2001,215.397
estimates,275,2002,212.686
estimates,275,2003,209.835
estimates,275,2004,206.918
estimates,275,2005,204.12
estimates,275,2006,201.446
estimates,275,2007,198.922
estimates,275,2008,196.416
estimates,275,2009,193.764
estimates,275,2010,190.895
estimates,275,2011,188.295
estimates,275,2012,185.395
estimates,275,2013,182.243
estimates,275,2014,178.854
estimates,275,2015,175.246
medium_variant,275,2015,175.246
medium_variant,275,2016,171.682
medium_variant,275,2017,167.876
medium_variant,275,2018,164.008
medium_variant,275,2019,160.26
medium_variant,275,2020,156.731
medium_variant,275,2021,153.517
medium_variant,275,2022,150.467
medium_variant,275,2023,147.601
medium_variant,275,2024,144.939
medium_variant,275,2025,142.481
medium_variant,275,2026,140.359
medium_variant,275,2027,138.394
medium_variant,275,2028,136.54
medium_variant,275,2029,134.747
medium_variant,275,2030,132.981
medium_variant,275,2031,131.389
medium_variant,275,2032,129.798
medium_variant,275,2033,128.182
medium_variant,275,2034,126.517
medium_variant,275,2035,124.797
medium_variant,275,2036,123.182
medium_variant,275,2037,121.5
medium_variant,275,2038,119.774
medium_variant,275,2039,118.026
medium_variant,275,2040,116.278
medium_variant,275,2041,114.666
medium_variant,275,2042,113.032
medium_variant,275,2043,111.409
medium_variant,275,2044,109.827
medium_variant,275,2045,108.306
medium_variant,275,2046,106.953
medium_variant,275,2047,105.637
medium_variant,275,2048,104.36
medium_variant,275,2049,103.121
medium_variant,275,2050,101.922
medium_variant,275,2051,100.855
medium_variant,275,2052,99.812
medium_variant,275,2053,98.808
medium_variant,275,2054,97.857
medium_variant,275,2055,96.969
medium_variant,275,2056,96.216
medium_variant,275,2057,95.495
medium_variant,275,2058,94.821
medium_variant,275,2059,94.211
medium_variant,275,2060,93.676
medium_variant,275,2061,93.279
medium_variant,275,2062,92.92
medium_variant,275,2063,92.581
medium_variant,275,2064,92.235
medium_variant,275,2065,91.869
medium_variant,275,2066,91.528
medium_variant,275,2067,91.159
medium_variant,275,2068,90.76
medium_variant,275,2069,90.327
medium_variant,275,2070,89.858
medium_variant,275,2071,89.393
medium_variant,275,2072,88.884
medium_variant,275,2073,88.357
medium_variant,275,2074,87.842
medium_variant,275,2075,87.359
medium_variant,275,2076,86.926
medium_variant,275,2077,86.507
medium_variant,275,2078,86.117
medium_variant,275,2079,85.767
medium_variant,275,2080,85.466
medium_variant,275,2081,85.22
medium_variant,275,2082,85.008
medium_variant,275,2083,84.835
medium_variant,275,2084,84.703
medium_variant,275,2085,84.608
medium_variant,275,2086,84.54
medium_variant,275,2087,84.505
medium_variant,275,2088,84.497
medium_variant,275,2089,84.509
medium_variant,275,2090,84.538
medium_variant,275,2091,84.561
medium_variant,275,2092,84.593
medium_variant,275,2093,84.637
medium_variant,275,2094,84.694
medium_variant,275,2095,84.765
medium_variant,275,2096,84.798
medium_variant,275,2097,84.838
medium_variant,275,2098,84.892
medium_variant,275,2099,84.966
medium_variant,275,2100,85.06
high_variant,275,2015,175.245960307929
low_variant,275,2015,175.245960307929
constant_fertility,275,2015,175.245960307929
instant_replacement,275,2015,175.245960307929
zero_migration,275,2015,175.245960307929
constant_mortality,275,2015,175.245960307929
no_change,275,2015,175.245960307929
high_variant,275,2020,159.081669050231
low_variant,275,2020,154.379637059604
constant_fertility,275,2020,159.869906003646
instant_replacement,275,2020,139.558045365471
zero_migration,275,2020,156.732643438507
constant_mortality,275,2020,156.72278890664
no_change,275,2020,159.847606435016
high_variant,275,2025,148.026808379265
low_variant,275,2025,136.93563234911
constant_fertility,275,2025,150.729927739904
instant_replacement,275,2025,114.439870332152
zero_migration,275,2025,142.490931364276
constant_mortality,275,2025,142.44078935179
no_change,275,2025,150.646146659122
high_variant,275,2030,142.026128461549
low_variant,275,2030,123.935614588489
constant_fertility,275,2030,147.63273024962
instant_replacement,275,2030,97.9481216174181
