variant,country,year,dependencyratio2569
estimates,174,1950,144.306
estimates,174,1951,145.413
estimates,174,1952,147.07
estimates,174,1953,148.383
estimates,174,1954,149.178
estimates,174,1955,149.638
estimates,174,1956,152.167
estimates,174,1957,153.919
estimates,174,1958,155.351
estimates,174,1959,156.734
estimates,174,1960,158.155
estimates,174,1961,160.205
estimates,174,1962,162.233
estimates,174,1963,164.213
estimates,174,1964,166.045
estimates,174,1965,167.756
estimates,174,1966,170.317
estimates,174,1967,172.601
estimates,174,1968,174.729
estimates,174,1969,176.878
estimates,174,1970,179.13
estimates,174,1971,182.476
estimates,174,1972,185.721
estimates,174,1973,188.735
estimates,174,1974,191.371
estimates,174,1975,193.646
estimates,174,1976,196.05
estimates,174,1977,197.811
estimates,174,1978,199.063
estimates,174,1979,199.9
estimates,174,1980,200.328
estimates,174,1981,201.758
estimates,174,1982,202.796
estimates,174,1983,203.473
estimates,174,1984,203.843
estimates,174,1985,203.99
estimates,174,1986,204.876
estimates,174,1987,205.308
estimates,174,1988,205.403
estimates,174,1989,205.259
estimates,174,1990,204.905
estimates,174,1991,204.885
estimates,174,1992,204.517
estimates,174,1993,203.863
estimates,174,1994,202.999
estimates,174,1995,201.97
estimates,174,1996,201.255
estimates,174,1997,200.419
estimates,174,1998,199.36
estimates,174,1999,197.957
estimates,174,2000,196.17
estimates,174,2001,194.846
estimates,174,2002,193.115
estimates,174,2003,191.034
estimates,174,2004,188.673
estimates,174,2005,186.1
estimates,174,2006,183.836
estimates,174,2007,181.334
estimates,174,2008,178.676
estimates,174,2009,175.934
estimates,174,2010,173.167
estimates,174,2011,170.859
estimates,174,2012,168.476
estimates,174,2013,166.064
estimates,174,2014,163.659
estimates,174,2015,161.273
medium_variant,174,2015,161.273
medium_variant,174,2016,159.346
medium_variant,174,2017,157.338
medium_variant,174,2018,155.314
medium_variant,174,2019,153.336
medium_variant,174,2020,151.425
medium_variant,174,2021,149.81
medium_variant,174,2022,148.217
medium_variant,174,2023,146.61
medium_variant,174,2024,144.952
medium_variant,174,2025,143.232
medium_variant,174,2026,141.796
medium_variant,174,2027,140.265
medium_variant,174,2028,138.641
medium_variant,174,2029,136.932
medium_variant,174,2030,135.146
medium_variant,174,2031,133.587
medium_variant,174,2032,131.927
medium_variant,174,2033,130.179
medium_variant,174,2034,128.352
medium_variant,174,2035,126.461
medium_variant,174,2036,124.799
medium_variant,174,2037,123.05
medium_variant,174,2038,121.255
medium_variant,174,2039,119.46
medium_variant,174,2040,117.696
medium_variant,174,2041,116.22
medium_variant,174,2042,114.736
medium_variant,174,2043,113.265
medium_variant,174,2044,111.821
medium_variant,174,2045,110.415
medium_variant,174,2046,109.288
medium_variant,174,2047,108.156
medium_variant,174,2048,107.032
medium_variant,174,2049,105.93
medium_variant,174,2050,104.857
medium_variant,174,2051,104.036
medium_variant,174,2052,103.205
medium_variant,174,2053,102.361
medium_variant,174,2054,101.497
medium_variant,174,2055,100.614
medium_variant,174,2056,99.939
medium_variant,174,2057,99.213
medium_variant,174,2058,98.44
medium_variant,174,2059,97.618
medium_variant,174,2060,96.756
medium_variant,174,2061,96.065
medium_variant,174,2062,95.312
medium_variant,174,2063,94.511
medium_variant,174,2064,93.676
medium_variant,174,2065,92.819
medium_variant,174,2066,92.159
medium_variant,174,2067,91.449
medium_variant,174,2068,90.707
medium_variant,174,2069,89.949
medium_variant,174,2070,89.188
medium_variant,174,2071,88.629
medium_variant,174,2072,88.041
medium_variant,174,2073,87.437
medium_variant,174,2074,86.827
medium_variant,174,2075,86.225
medium_variant,174,2076,85.826
medium_variant,174,2077,85.401
medium_variant,174,2078,84.964
medium_variant,174,2079,84.526
medium_variant,174,2080,84.098
medium_variant,174,2081,83.86
medium_variant,174,2082,83.604
medium_variant,174,2083,83.33
medium_variant,174,2084,83.032
medium_variant,174,2085,82.713
medium_variant,174,2086,82.544
