variant,continent,year,birthper1000population
estimates,903,1950,48.404
estimates,903,1951,48.37
estimates,903,1952,48.302
estimates,903,1953,48.233
estimates,903,1954,48.164
estimates,903,1955,48.094
estimates,903,1956,48.022
estimates,903,1957,47.948
estimates,903,1958,47.87
estimates,903,1959,47.785
estimates,903,1960,47.689
estimates,903,1961,47.579
estimates,903,1962,47.453
estimates,903,1963,47.312
estimates,903,1964,47.157
estimates,903,1965,46.997
estimates,903,1966,46.841
estimates,903,1967,46.694
estimates,903,1968,46.563
estimates,903,1969,46.45
estimates,903,1970,46.353
estimates,903,1971,46.272
estimates,903,1972,46.197
estimates,903,1973,46.122
estimates,903,1974,46.04
estimates,903,1975,45.948
estimates,903,1976,45.844
estimates,903,1977,45.726
estimates,903,1978,45.59
estimates,903,1979,45.434
estimates,903,1980,45.25
estimates,903,1981,45.036
estimates,903,1982,44.789
estimates,903,1983,44.509
estimates,903,1984,44.197
estimates,903,1985,43.849
estimates,903,1986,43.462
estimates,903,1987,43.042
estimates,903,1988,42.596
estimates,903,1989,42.133
estimates,903,1990,41.667
estimates,903,1991,41.209
estimates,903,1992,40.767
estimates,903,1993,40.352
estimates,903,1994,39.97
estimates,903,1995,39.625
estimates,903,1996,39.319
estimates,903,1997,39.044
estimates,903,1998,38.794
estimates,903,1999,38.565
estimates,903,2000,38.352
estimates,903,2001,38.154
estimates,903,2002,37.967
estimates,903,2003,37.786
estimates,903,2004,37.607
estimates,903,2005,37.429
estimates,903,2006,37.254
estimates,903,2007,37.08
estimates,903,2008,36.905
estimates,903,2009,36.719
estimates,903,2010,36.509
estimates,903,2011,36.261
estimates,903,2012,35.966
estimates,903,2013,35.623
estimates,903,2014,35.235
estimates,903,2015,34.808
medium_variant,903,2015,34.808
medium_variant,903,2016,34.356
medium_variant,903,2017,33.894
medium_variant,903,2018,33.439
medium_variant,903,2019,32.998
medium_variant,903,2020,32.578
medium_variant,903,2021,32.18
medium_variant,903,2022,31.799
medium_variant,903,2023,31.431
medium_variant,903,2024,31.075
medium_variant,903,2025,30.732
medium_variant,903,2026,30.401
medium_variant,903,2027,30.083
medium_variant,903,2028,29.774
medium_variant,903,2029,29.473
medium_variant,903,2030,29.18
medium_variant,903,2031,28.892
medium_variant,903,2032,28.609
medium_variant,903,2033,28.328
medium_variant,903,2034,28.049
medium_variant,903,2035,27.769
medium_variant,903,2036,27.489
medium_variant,903,2037,27.207
medium_variant,903,2038,26.925
medium_variant,903,2039,26.641
medium_variant,903,2040,26.355
medium_variant,903,2041,26.069
medium_variant,903,2042,25.781
medium_variant,903,2043,25.494
medium_variant,903,2044,25.207
medium_variant,903,2045,24.921
medium_variant,903,2046,24.638
medium_variant,903,2047,24.357
medium_variant,903,2048,24.078
medium_variant,903,2049,23.803
medium_variant,903,2050,23.532
medium_variant,903,2051,23.264
medium_variant,903,2052,23.001
medium_variant,903,2053,22.742
medium_variant,903,2054,22.487
medium_variant,903,2055,22.238
medium_variant,903,2056,21.994
medium_variant,903,2057,21.757
medium_variant,903,2058,21.525
medium_variant,903,2059,21.299
medium_variant,903,2060,21.078
medium_variant,903,2061,20.862
medium_variant,903,2062,20.651
medium_variant,903,2063,20.444
medium_variant,903,2064,20.239
medium_variant,903,2065,20.037
medium_variant,903,2066,19.838
medium_variant,903,2067,19.64
medium_variant,903,2068,19.445
medium_variant,903,2069,19.252
medium_variant,903,2070,19.061
medium_variant,903,2071,18.871
medium_variant,903,2072,18.684
medium_variant,903,2073,18.499
medium_variant,903,2074,18.316
medium_variant,903,2075,18.135
medium_variant,903,2076,17.957
medium_variant,903,2077,17.782
medium_variant,903,2078,17.608
medium_variant,903,2079,17.437
medium_variant,903,2080,17.269
medium_variant,903,2081,17.104
medium_variant,903,2082,16.941
medium_variant,903,2083,16.782
medium_variant,903,2084,16.625
medium_variant,903,2085,16.471
medium_variant,903,2086,16.32
medium_variant,903,2087,16.172
medium_variant,903,2088,16.026
medium_variant,903,2089,15.883
medium_variant,903,2090,15.741
medium_variant,903,2091,15.603
medium_variant,903,2092,15.466
medium_variant,903,2093,15.332
medium_variant,903,2094,15.2
medium_variant,903,2095,15.07
medium_variant,903,2096,14.943
medium_variant,903,2097,14.818
medium_variant,903,2098,14.695
medium_variant,903,2099,14.574
