variant,continent,year,birthper1000population
estimates,905,1950,23.852
estimates,905,1951,24.036
estimates,905,1952,24.349
estimates,905,1953,24.554
estimates,905,1954,24.65
estimates,905,1955,24.638
estimates,905,1956,24.517
estimates,905,1957,24.29
estimates,905,1958,23.959
estimates,905,1959,23.527
estimates,905,1960,23
estimates,905,1961,22.389
estimates,905,1962,21.709
estimates,905,1963,20.981
estimates,905,1964,20.23
estimates,905,1965,19.483
estimates,905,1966,18.766
estimates,905,1967,18.091
estimates,905,1968,17.474
estimates,905,1969,16.927
estimates,905,1970,16.456
estimates,905,1971,16.059
estimates,905,1972,15.721
estimates,905,1973,15.433
estimates,905,1974,15.194
estimates,905,1975,15.007
estimates,905,1976,14.881
estimates,905,1977,14.817
estimates,905,1978,14.812
estimates,905,1979,14.856
estimates,905,1980,14.938
estimates,905,1981,15.044
estimates,905,1982,15.159
estimates,905,1983,15.269
estimates,905,1984,15.364
estimates,905,1985,15.437
estimates,905,1986,15.489
estimates,905,1987,15.524
estimates,905,1988,15.543
estimates,905,1989,15.542
estimates,905,1990,15.507
estimates,905,1991,15.426
estimates,905,1992,15.295
estimates,905,1993,15.116
estimates,905,1994,14.899
estimates,905,1995,14.659
estimates,905,1996,14.42
estimates,905,1997,14.199
estimates,905,1998,14.014
estimates,905,1999,13.871
estimates,905,2000,13.775
estimates,905,2001,13.723
estimates,905,2002,13.701
estimates,905,2003,13.69
estimates,905,2004,13.68
estimates,905,2005,13.651
estimates,905,2006,13.584
estimates,905,2007,13.473
estimates,905,2008,13.319
estimates,905,2009,13.13
estimates,905,2010,12.922
estimates,905,2011,12.72
estimates,905,2012,12.548
estimates,905,2013,12.422
estimates,905,2014,12.348
estimates,905,2015,12.324
medium_variant,905,2015,12.324
medium_variant,905,2016,12.341
medium_variant,905,2017,12.377
medium_variant,905,2018,12.414
medium_variant,905,2019,12.444
medium_variant,905,2020,12.461
medium_variant,905,2021,12.46
medium_variant,905,2022,12.447
medium_variant,905,2023,12.423
medium_variant,905,2024,12.389
medium_variant,905,2025,12.345
medium_variant,905,2026,12.291
medium_variant,905,2027,12.231
medium_variant,905,2028,12.165
medium_variant,905,2029,12.097
medium_variant,905,2030,12.027
medium_variant,905,2031,11.958
medium_variant,905,2032,11.889
medium_variant,905,2033,11.822
medium_variant,905,2034,11.758
medium_variant,905,2035,11.697
medium_variant,905,2036,11.641
medium_variant,905,2037,11.589
medium_variant,905,2038,11.541
medium_variant,905,2039,11.498
medium_variant,905,2040,11.46
medium_variant,905,2041,11.428
medium_variant,905,2042,11.401
medium_variant,905,2043,11.379
medium_variant,905,2044,11.362
medium_variant,905,2045,11.351
medium_variant,905,2046,11.345
medium_variant,905,2047,11.344
medium_variant,905,2048,11.347
medium_variant,905,2049,11.353
medium_variant,905,2050,11.36
medium_variant,905,2051,11.368
medium_variant,905,2052,11.375
medium_variant,905,2053,11.379
medium_variant,905,2054,11.38
medium_variant,905,2055,11.377
medium_variant,905,2056,11.368
medium_variant,905,2057,11.355
medium_variant,905,2058,11.337
medium_variant,905,2059,11.315
medium_variant,905,2060,11.289
medium_variant,905,2061,11.259
medium_variant,905,2062,11.226
medium_variant,905,2063,11.192
medium_variant,905,2064,11.157
medium_variant,905,2065,11.121
medium_variant,905,2066,11.085
medium_variant,905,2067,11.049
medium_variant,905,2068,11.015
medium_variant,905,2069,10.982
medium_variant,905,2070,10.951
medium_variant,905,2071,10.923
medium_variant,905,2072,10.898
medium_variant,905,2073,10.876
medium_variant,905,2074,10.857
medium_variant,905,2075,10.841
medium_variant,905,2076,10.827
medium_variant,905,2077,10.816
medium_variant,905,2078,10.806
medium_variant,905,2079,10.797
medium_variant,905,2080,10.789
medium_variant,905,2081,10.782
medium_variant,905,2082,10.774
medium_variant,905,2083,10.767
medium_variant,905,2084,10.76
medium_variant,905,2085,10.752
medium_variant,905,2086,10.742
medium_variant,905,2087,10.732
medium_variant,905,2088,10.72
medium_variant,905,2089,10.707
medium_variant,905,2090,10.692
medium_variant,905,2091,10.675
medium_variant,905,2092,10.657
medium_variant,905,2093,10.637
medium_variant,905,2094,10.615
medium_variant,905,2095,10.592
medium_variant,905,2096,10.566
medium_variant,905,2097,10.54
medium_variant,905,2098,10.511
medium_variant,905,2099,10.481
