variant,continent,year,birthper1000population
estimates,909,1950,27.226
estimates,909,1951,27.324
estimates,909,1952,27.491
estimates,909,1953,27.604
estimates,909,1954,27.661
estimates,909,1955,27.662
estimates,909,1956,27.609
estimates,909,1957,27.502
estimates,909,1958,27.343
estimates,909,1959,27.135
estimates,909,1960,26.884
estimates,909,1961,26.594
estimates,909,1962,26.277
estimates,909,1963,25.941
estimates,909,1964,25.601
estimates,909,1965,25.275
estimates,909,1966,24.985
estimates,909,1967,24.735
estimates,909,1968,24.521
estimates,909,1969,24.333
estimates,909,1970,24.141
estimates,909,1971,23.907
estimates,909,1972,23.604
estimates,909,1973,23.223
estimates,909,1974,22.774
estimates,909,1975,22.285
estimates,909,1976,21.804
estimates,909,1977,21.373
estimates,909,1978,21.027
estimates,909,1979,20.776
estimates,909,1980,20.614
estimates,909,1981,20.52
estimates,909,1982,20.457
estimates,909,1983,20.395
estimates,909,1984,20.321
estimates,909,1985,20.232
estimates,909,1986,20.133
estimates,909,1987,20.037
estimates,909,1988,19.951
estimates,909,1989,19.871
estimates,909,1990,19.792
estimates,909,1991,19.702
estimates,909,1992,19.593
estimates,909,1993,19.46
estimates,909,1994,19.304
estimates,909,1995,19.125
estimates,909,1996,18.925
estimates,909,1997,18.714
estimates,909,1998,18.505
estimates,909,1999,18.308
estimates,909,2000,18.14
estimates,909,2001,18.019
estimates,909,2002,17.951
estimates,909,2003,17.932
estimates,909,2004,17.952
estimates,909,2005,17.992
estimates,909,2006,18.024
estimates,909,2007,18.025
estimates,909,2008,17.979
estimates,909,2009,17.878
estimates,909,2010,17.728
estimates,909,2011,17.541
estimates,909,2012,17.34
estimates,909,2013,17.143
estimates,909,2014,16.959
estimates,909,2015,16.791
medium_variant,909,2015,16.791
medium_variant,909,2016,16.639
medium_variant,909,2017,16.494
medium_variant,909,2018,16.351
medium_variant,909,2019,16.209
medium_variant,909,2020,16.067
medium_variant,909,2021,15.923
medium_variant,909,2022,15.779
medium_variant,909,2023,15.635
medium_variant,909,2024,15.492
medium_variant,909,2025,15.35
medium_variant,909,2026,15.211
medium_variant,909,2027,15.075
medium_variant,909,2028,14.944
medium_variant,909,2029,14.818
medium_variant,909,2030,14.701
medium_variant,909,2031,14.592
medium_variant,909,2032,14.491
medium_variant,909,2033,14.4
medium_variant,909,2034,14.317
medium_variant,909,2035,14.243
medium_variant,909,2036,14.178
medium_variant,909,2037,14.119
medium_variant,909,2038,14.065
medium_variant,909,2039,14.015
medium_variant,909,2040,13.968
medium_variant,909,2041,13.921
medium_variant,909,2042,13.875
medium_variant,909,2043,13.828
medium_variant,909,2044,13.779
medium_variant,909,2045,13.728
medium_variant,909,2046,13.674
medium_variant,909,2047,13.616
medium_variant,909,2048,13.556
medium_variant,909,2049,13.494
medium_variant,909,2050,13.428
medium_variant,909,2051,13.359
medium_variant,909,2052,13.288
medium_variant,909,2053,13.215
medium_variant,909,2054,13.141
medium_variant,909,2055,13.066
medium_variant,909,2056,12.989
medium_variant,909,2057,12.913
medium_variant,909,2058,12.837
medium_variant,909,2059,12.762
medium_variant,909,2060,12.689
medium_variant,909,2061,12.617
medium_variant,909,2062,12.548
medium_variant,909,2063,12.481
medium_variant,909,2064,12.416
medium_variant,909,2065,12.354
medium_variant,909,2066,12.295
medium_variant,909,2067,12.239
medium_variant,909,2068,12.185
medium_variant,909,2069,12.133
medium_variant,909,2070,12.082
medium_variant,909,2071,12.034
medium_variant,909,2072,11.986
medium_variant,909,2073,11.94
medium_variant,909,2074,11.894
medium_variant,909,2075,11.848
medium_variant,909,2076,11.802
medium_variant,909,2077,11.757
medium_variant,909,2078,11.711
medium_variant,909,2079,11.664
medium_variant,909,2080,11.617
medium_variant,909,2081,11.569
medium_variant,909,2082,11.52
medium_variant,909,2083,11.47
medium_variant,909,2084,11.419
medium_variant,909,2085,11.368
medium_variant,909,2086,11.316
medium_variant,909,2087,11.263
medium_variant,909,2088,11.211
medium_variant,909,2089,11.159
medium_variant,909,2090,11.108
medium_variant,909,2091,11.057
medium_variant,909,2092,11.007
medium_variant,909,2093,10.959
medium_variant,909,2094,10.911
medium_variant,909,2095,10.864
medium_variant,909,2096,10.819
medium_variant,909,2097,10.774
medium_variant,909,2098,10.73
medium_variant,909,2099,10.688
