variant,continent,year,birthper1000population
estimates,908,1950,21.471
estimates,908,1951,21.501
estimates,908,1952,21.536
estimates,908,1953,21.525
estimates,908,1954,21.466
estimates,908,1955,21.359
estimates,908,1956,21.205
estimates,908,1957,21.002
estimates,908,1958,20.753
estimates,908,1959,20.456
estimates,908,1960,20.113
estimates,908,1961,19.727
estimates,908,1962,19.304
estimates,908,1963,18.853
estimates,908,1964,18.389
estimates,908,1965,17.929
estimates,908,1966,17.49
estimates,908,1967,17.083
estimates,908,1968,16.717
estimates,908,1969,16.396
estimates,908,1970,16.12
estimates,908,1971,15.884
estimates,908,1972,15.675
estimates,908,1973,15.482
estimates,908,1974,15.302
estimates,908,1975,15.133
estimates,908,1976,14.979
estimates,908,1977,14.843
estimates,908,1978,14.725
estimates,908,1979,14.622
estimates,908,1980,14.532
estimates,908,1981,14.456
estimates,908,1982,14.387
estimates,908,1983,14.316
estimates,908,1984,14.23
estimates,908,1985,14.11
estimates,908,1986,13.934
estimates,908,1987,13.694
estimates,908,1988,13.391
estimates,908,1989,13.032
estimates,908,1990,12.63
estimates,908,1991,12.205
estimates,908,1992,11.784
estimates,908,1993,11.39
estimates,908,1994,11.039
estimates,908,1995,10.745
estimates,908,1996,10.51
estimates,908,1997,10.328
estimates,908,1998,10.191
estimates,908,1999,10.099
estimates,908,2000,10.054
estimates,908,2001,10.059
estimates,908,2002,10.109
estimates,908,2003,10.196
estimates,908,2004,10.308
estimates,908,2005,10.433
estimates,908,2006,10.558
estimates,908,2007,10.672
estimates,908,2008,10.766
estimates,908,2009,10.833
estimates,908,2010,10.868
estimates,908,2011,10.871
estimates,908,2012,10.849
estimates,908,2013,10.809
estimates,908,2014,10.754
estimates,908,2015,10.688
medium_variant,908,2015,10.688
medium_variant,908,2016,10.612
medium_variant,908,2017,10.528
medium_variant,908,2018,10.44
medium_variant,908,2019,10.348
medium_variant,908,2020,10.254
medium_variant,908,2021,10.158
medium_variant,908,2022,10.06
medium_variant,908,2023,9.959
medium_variant,908,2024,9.86
medium_variant,908,2025,9.764
medium_variant,908,2026,9.673
medium_variant,908,2027,9.591
medium_variant,908,2028,9.519
medium_variant,908,2029,9.459
medium_variant,908,2030,9.416
medium_variant,908,2031,9.39
medium_variant,908,2032,9.38
medium_variant,908,2033,9.387
medium_variant,908,2034,9.408
medium_variant,908,2035,9.442
medium_variant,908,2036,9.488
medium_variant,908,2037,9.542
medium_variant,908,2038,9.601
medium_variant,908,2039,9.662
medium_variant,908,2040,9.721
medium_variant,908,2041,9.776
medium_variant,908,2042,9.825
medium_variant,908,2043,9.868
medium_variant,908,2044,9.902
medium_variant,908,2045,9.926
medium_variant,908,2046,9.94
medium_variant,908,2047,9.944
medium_variant,908,2048,9.94
medium_variant,908,2049,9.929
medium_variant,908,2050,9.911
medium_variant,908,2051,9.887
medium_variant,908,2052,9.858
medium_variant,908,2053,9.827
medium_variant,908,2054,9.794
medium_variant,908,2055,9.762
medium_variant,908,2056,9.732
medium_variant,908,2057,9.704
medium_variant,908,2058,9.68
medium_variant,908,2059,9.66
medium_variant,908,2060,9.645
medium_variant,908,2061,9.638
medium_variant,908,2062,9.636
medium_variant,908,2063,9.64
medium_variant,908,2064,9.65
medium_variant,908,2065,9.666
medium_variant,908,2066,9.688
medium_variant,908,2067,9.714
medium_variant,908,2068,9.743
medium_variant,908,2069,9.774
medium_variant,908,2070,9.806
medium_variant,908,2071,9.838
medium_variant,908,2072,9.87
medium_variant,908,2073,9.899
medium_variant,908,2074,9.925
medium_variant,908,2075,9.946
medium_variant,908,2076,9.963
medium_variant,908,2077,9.974
medium_variant,908,2078,9.981
medium_variant,908,2079,9.982
medium_variant,908,2080,9.977
medium_variant,908,2081,9.967
medium_variant,908,2082,9.953
medium_variant,908,2083,9.934
medium_variant,908,2084,9.912
medium_variant,908,2085,9.888
medium_variant,908,2086,9.862
medium_variant,908,2087,9.835
medium_variant,908,2088,9.807
medium_variant,908,2089,9.78
medium_variant,908,2090,9.754
medium_variant,908,2091,9.73
medium_variant,908,2092,9.709
medium_variant,908,2093,9.69
medium_variant,908,2094,9.675
medium_variant,908,2095,9.662
medium_variant,908,2096,9.653
medium_variant,908,2097,9.646
medium_variant,908,2098,9.643
medium_variant,908,2099,9.643
