variant,continent,year,gender,childdependencyratio2064
estimates,935,1950,male,93.547
estimates,935,1951,male,94.759
estimates,935,1952,male,96.271
estimates,935,1953,male,97.47
estimates,935,1954,male,98.112
estimates,935,1955,male,98.311
estimates,935,1956,male,99.699
estimates,935,1957,male,100.254
estimates,935,1958,male,100.538
estimates,935,1959,male,101.048
estimates,935,1960,male,101.953
estimates,935,1961,male,102.76
estimates,935,1962,male,104.232
estimates,935,1963,male,106.007
estimates,935,1964,male,107.571
estimates,935,1965,male,108.714
estimates,935,1966,male,110.537
estimates,935,1967,male,111.812
estimates,935,1968,male,112.583
estimates,935,1969,male,112.919
estimates,935,1970,male,112.817
estimates,935,1971,male,112.58
estimates,935,1972,male,111.738
estimates,935,1973,male,110.541
estimates,935,1974,male,109.237
estimates,935,1975,male,107.953
estimates,935,1976,male,106.94
estimates,935,1977,male,105.855
estimates,935,1978,male,104.664
estimates,935,1979,male,103.335
estimates,935,1980,male,101.878
estimates,935,1981,male,100.373
estimates,935,1982,male,98.947
estimates,935,1983,male,97.505
estimates,935,1984,male,95.945
estimates,935,1985,male,94.259
estimates,935,1986,male,93.035
estimates,935,1987,male,91.645
estimates,935,1988,male,90.16
estimates,935,1989,male,88.622
estimates,935,1990,male,87.023
estimates,935,1991,male,85.789
estimates,935,1992,male,84.227
estimates,935,1993,male,82.551
estimates,935,1994,male,81.012
estimates,935,1995,male,79.709
estimates,935,1996,male,78.251
estimates,935,1997,male,77.159
estimates,935,1998,male,76.232
estimates,935,1999,male,75.214
estimates,935,2000,male,74.006
estimates,935,2001,male,72.943
estimates,935,2002,male,71.76
estimates,935,2003,male,70.454
estimates,935,2004,male,69.04
estimates,935,2005,male,67.524
estimates,935,2006,male,66.029
estimates,935,2007,male,64.393
estimates,935,2008,male,62.745
estimates,935,2009,male,61.221
estimates,935,2010,male,59.887
estimates,935,2011,male,58.777
estimates,935,2012,male,57.794
estimates,935,2013,male,56.934
estimates,935,2014,male,56.174
estimates,935,2015,male,55.493
medium_variant,935,2015,male,55.493
medium_variant,935,2016,male,54.939
medium_variant,935,2017,male,54.453
medium_variant,935,2018,male,54.006
medium_variant,935,2019,male,53.56
medium_variant,935,2020,male,53.091
medium_variant,935,2021,male,52.661
medium_variant,935,2022,male,52.203
medium_variant,935,2023,male,51.721
medium_variant,935,2024,male,51.223
medium_variant,935,2025,male,50.715
medium_variant,935,2026,male,50.26
medium_variant,935,2027,male,49.786
medium_variant,935,2028,male,49.298
medium_variant,935,2029,male,48.801
medium_variant,935,2030,male,48.301
medium_variant,935,2031,male,47.876
medium_variant,935,2032,male,47.436
medium_variant,935,2033,male,46.99
medium_variant,935,2034,male,46.543
medium_variant,935,2035,male,46.1
medium_variant,935,2036,male,45.721
medium_variant,935,2037,male,45.342
medium_variant,935,2038,male,44.964
medium_variant,935,2039,male,44.586
medium_variant,935,2040,male,44.207
medium_variant,935,2041,male,43.885
medium_variant,935,2042,male,43.56
medium_variant,935,2043,male,43.242
medium_variant,935,2044,male,42.94
medium_variant,935,2045,male,42.659
medium_variant,935,2046,male,42.449
medium_variant,935,2047,male,42.249
medium_variant,935,2048,male,42.064
medium_variant,935,2049,male,41.904
medium_variant,935,2050,male,41.77
medium_variant,935,2051,male,41.707
medium_variant,935,2052,male,41.66
medium_variant,935,2053,male,41.621
medium_variant,935,2054,male,41.569
medium_variant,935,2055,male,41.493
medium_variant,935,2056,male,41.436
medium_variant,935,2057,male,41.35
medium_variant,935,2058,male,41.24
medium_variant,935,2059,male,41.11
medium_variant,935,2060,male,40.963
medium_variant,935,2061,male,40.841
medium_variant,935,2062,male,40.698
medium_variant,935,2063,male,40.54
medium_variant,935,2064,male,40.373
medium_variant,935,2065,male,40.205
medium_variant,935,2066,male,40.079
medium_variant,935,2067,male,39.946
medium_variant,935,2068,male,39.811
medium_variant,935,2069,male,39.682
medium_variant,935,2070,male,39.562
medium_variant,935,2071,male,39.489
medium_variant,935,2072,male,39.42
medium_variant,935,2073,male,39.358
medium_variant,935,2074,male,39.304
medium_variant,935,2075,male,39.257
medium_variant,935,2076,male,39.253
medium_variant,935,2077,male,39.251
medium_variant,935,2078,male,39.25
medium_variant,935,2079,male,39.251
medium_variant,935,2080,male,39.25
medium_variant,935,2081,male,39.279
medium_variant,935,2082,male,39.3
medium_variant,935,2083,male,39.315
medium_variant,935,2084,male,39.321
medium_variant,935,2085,male,39.319
medium_variant,935,2086,male,39.337
medium_variant,935,2087,male,39.341
medium_variant,935,2088,male,39.333
medium_variant,935,2089,male,39.314
medium_variant,935,2090,male,39.287
medium_variant,935,2091,male,39.278
