region,variant,gender,freq,year,totaldeaths
920,estimates,female,5yearly,1950,7816.578
920,estimates,male,5yearly,1950,8949.828
920,estimates,female,5yearly,1955,7879.24
920,estimates,male,5yearly,1955,8978.844
920,estimates,female,5yearly,1960,7899.982
920,estimates,male,5yearly,1960,8988.365
920,estimates,female,5yearly,1965,7823.451
920,estimates,male,5yearly,1965,8931.208
920,estimates,female,5yearly,1970,8148.758
920,estimates,male,5yearly,1970,9421.302
920,estimates,female,5yearly,1975,8329.167
920,estimates,male,5yearly,1975,9749.727
920,estimates,female,5yearly,1980,7756.41
920,estimates,male,5yearly,1980,8886.479
920,estimates,female,5yearly,1985,7606.632
920,estimates,male,5yearly,1985,8784.525
920,estimates,female,5yearly,1990,7745.029
920,estimates,male,5yearly,1990,9097.183
920,estimates,female,5yearly,1995,7970.653
920,estimates,male,5yearly,1995,9444.138
920,estimates,female,5yearly,2000,8482.672
920,estimates,male,5yearly,2000,10136.259
920,estimates,female,5yearly,2005,8782.827
920,estimates,male,5yearly,2005,10746.9
920,estimates,female,5yearly,2010,9314.482
920,estimates,male,5yearly,2010,11468.792
920,constant_fertility,female,5yearly,2015,10081.964
920,constant_fertility,male,5yearly,2015,12475.269
920,constant_mortality,female,5yearly,2015,10640.391
920,constant_mortality,male,5yearly,2015,13005.96
920,high_variant,female,5yearly,2015,10113.909
920,high_variant,male,5yearly,2015,12516.366
920,instant_replacement,female,5yearly,2015,10010.636
920,instant_replacement,male,5yearly,2015,12380.609
920,low_variant,female,5yearly,2015,9991.142
920,low_variant,male,5yearly,2015,12352.89
920,medium_variant,female,5yearly,2015,10052.982
920,medium_variant,male,5yearly,2015,12435.204
920,momentum,female,5yearly,2015,10596.498
920,momentum,male,5yearly,2015,12952.785
920,no_change,female,5yearly,2015,10673.857
920,no_change,male,5yearly,2015,13052.398
920,zero_migration,female,5yearly,2015,10054.198
920,zero_migration,male,5yearly,2015,12440.128
920,constant_fertility,female,5yearly,2020,11015.749
