region,variant,gender,freq,year,totaldeaths
902,estimates,female,5yearly,1950,99744.2530000001
902,estimates,male,5yearly,1950,109327.668
902,estimates,female,5yearly,1955,99689.643
902,estimates,male,5yearly,1955,109504.457
902,estimates,female,5yearly,1960,101771.072
902,estimates,male,5yearly,1960,111389.934
902,estimates,female,5yearly,1965,90569.98
902,estimates,male,5yearly,1965,100221.605
902,estimates,female,5yearly,1970,87386.085
902,estimates,male,5yearly,1970,96141.2030000001
902,estimates,female,5yearly,1975,84462.311
902,estimates,male,5yearly,1975,94034.441
902,estimates,female,5yearly,1980,84857.2670000001
902,estimates,male,5yearly,1980,96445.069
902,estimates,female,5yearly,1985,87861.052
902,estimates,male,5yearly,1985,99874.363
902,estimates,female,5yearly,1990,89938.633
902,estimates,male,5yearly,1990,103898.193
902,estimates,female,5yearly,1995,92134.524
902,estimates,male,5yearly,1995,107226.915
902,estimates,female,5yearly,2000,94762.601
902,estimates,male,5yearly,2000,109171.127
902,estimates,female,5yearly,2005,96150.9289999999
902,estimates,male,5yearly,2005,111953.213
902,estimates,female,5yearly,2010,98274.604
902,estimates,male,5yearly,2010,116405.071
902,constant_fertility,female,5yearly,2015,104595.176
902,constant_fertility,male,5yearly,2015,124653.298
902,constant_mortality,female,5yearly,2015,112514.177
902,constant_mortality,male,5yearly,2015,132629.779
902,high_variant,female,5yearly,2015,104698.21
902,high_variant,male,5yearly,2015,124764.045
902,instant_replacement,female,5yearly,2015,100447.641
902,instant_replacement,male,5yearly,2015,119694.127
902,low_variant,female,5yearly,2015,102963.733
902,low_variant,male,5yearly,2015,122696.074
902,medium_variant,female,5yearly,2015,103831.433
902,medium_variant,male,5yearly,2015,123730.632
902,momentum,female,5yearly,2015,108798.461
902,momentum,male,5yearly,2015,128291.66
902,no_change,female,5yearly,2015,113410.637
902,no_change,male,5yearly,2015,133697.212
902,zero_migration,female,5yearly,2015,103901.232
902,zero_migration,male,5yearly,2015,123837.623
902,constant_fertility,female,5yearly,2020,113092.433
902,constant_fertility,male,5yearly,2020,135035.732
902,constant_mortality,female,5yearly,2020,128176.172
902,constant_mortality,male,5yearly,2020,150351.225
902,high_variant,female,5yearly,2020,112966.351
902,high_variant,male,5yearly,2020,134852.432
902,instant_replacement,female,5yearly,2020,107666.667
902,instant_replacement,male,5yearly,2020,128471.911
902,low_variant,female,5yearly,2020,110044.074
902,low_variant,male,5yearly,2020,131358.682
902,medium_variant,female,5yearly,2020,111505.39
902,medium_variant,male,5yearly,2020,133105.808
902,momentum,female,5yearly,2020,123545.07
902,momentum,male,5yearly,2020,145056.743
902,no_change,female,5yearly,2020,130345.262
902,no_change,male,5yearly,2020,152911.148
