region,variant,gender,freq,year,totaldeaths
927,estimates,female,5yearly,1950,219.329
927,estimates,male,5yearly,1950,277.258
927,estimates,female,5yearly,1955,232.165
927,estimates,male,5yearly,1955,295.564
927,estimates,female,5yearly,1960,254.751
927,estimates,male,5yearly,1960,322.771
927,estimates,female,5yearly,1965,285.189
927,estimates,male,5yearly,1965,358.43
927,estimates,female,5yearly,1970,300.061
927,estimates,male,5yearly,1970,373.006
927,estimates,female,5yearly,1975,299.887
927,estimates,male,5yearly,1975,371.991
927,estimates,female,5yearly,1980,310.569
927,estimates,male,5yearly,1980,375.866
927,estimates,female,5yearly,1985,336.36
927,estimates,male,5yearly,1985,391.912
927,estimates,female,5yearly,1990,348.725
927,estimates,male,5yearly,1990,397.455
927,estimates,female,5yearly,1995,372.331
927,estimates,male,5yearly,1995,411.09
927,estimates,female,5yearly,2000,387.915
927,estimates,male,5yearly,2000,412.877
927,estimates,female,5yearly,2005,411.479
927,estimates,male,5yearly,2005,432.38
927,estimates,female,5yearly,2010,444.162
927,estimates,male,5yearly,2010,468.564
927,constant_fertility,female,5yearly,2015,481.049
927,constant_fertility,male,5yearly,2015,507.96
927,constant_mortality,female,5yearly,2015,502.911
927,constant_mortality,male,5yearly,2015,547.802
927,high_variant,female,5yearly,2015,481.373
927,high_variant,male,5yearly,2015,508.34
927,instant_replacement,female,5yearly,2015,481.317
927,instant_replacement,male,5yearly,2015,508.271
927,low_variant,female,5yearly,2015,480.552
927,low_variant,male,5yearly,2015,507.361
927,medium_variant,female,5yearly,2015,480.962
927,medium_variant,male,5yearly,2015,507.851
927,momentum,female,5yearly,2015,503.339
927,momentum,male,5yearly,2015,548.076
927,no_change,female,5yearly,2015,503.007
927,no_change,male,5yearly,2015,547.939
927,zero_migration,female,5yearly,2015,480.992
927,zero_migration,male,5yearly,2015,507.64
927,constant_fertility,female,5yearly,2020,513.072
927,constant_fertility,male,5yearly,2020,544.832
927,constant_mortality,female,5yearly,2020,559.555
927,constant_mortality,male,5yearly,2020,623.724
927,high_variant,female,5yearly,2020,513.609
927,high_variant,male,5yearly,2020,545.442
927,instant_replacement,female,5yearly,2020,513.366
927,instant_replacement,male,5yearly,2020,545.163
927,low_variant,female,5yearly,2020,512.269
927,low_variant,male,5yearly,2020,543.901
927,medium_variant,female,5yearly,2020,512.939
927,medium_variant,male,5yearly,2020,544.671
