region,variant,freq,year,populationgrowthrate
931,estimates,5yearly,1950,2.712
931,estimates,5yearly,1955,2.655
931,estimates,5yearly,1960,2.685
931,estimates,5yearly,1965,2.5
931,estimates,5yearly,1970,2.291
931,estimates,5yearly,1975,2.238
931,estimates,5yearly,1980,2.164
931,estimates,5yearly,1985,1.941
931,estimates,5yearly,1990,1.719
931,estimates,5yearly,1995,1.534
931,estimates,5yearly,2000,1.325
931,estimates,5yearly,2005,1.143
931,estimates,5yearly,2010,1.043
931,constant_fertility,5yearly,2015,0.975
931,constant_mortality,5yearly,2015,0.862
931,high_variant,5yearly,2015,1.094
931,instant_replacement,5yearly,2015,1.024
931,low_variant,5yearly,2015,0.71
931,medium_variant,5yearly,2015,0.903
931,momentum,5yearly,2015,1.012
931,no_change,5yearly,2015,0.934
931,zero_migration,5yearly,2015,0.925
931,constant_fertility,5yearly,2020,0.883
931,constant_mortality,5yearly,2020,0.685
931,high_variant,5yearly,2020,1.046
931,instant_replacement,5yearly,2020,0.92
931,low_variant,5yearly,2020,0.468
931,medium_variant,5yearly,2020,0.762
931,momentum,5yearly,2020,0.873
931,no_change,5yearly,2020,0.806
931,zero_migration,5yearly,2020,0.782
931,constant_fertility,5yearly,2025,0.779
931,constant_mortality,5yearly,2025,0.519
931,high_variant,5yearly,2025,0.96
931,instant_replacement,5yearly,2025,0.806
931,low_variant,5yearly,2025,0.28
931,medium_variant,5yearly,2025,0.631
931,momentum,5yearly,2025,0.726
931,no_change,5yearly,2025,0.668
931,zero_migration,5yearly,2025,0.648
931,constant_fertility,5yearly,2030,0.676
931,constant_mortality,5yearly,2030,0.359
931,high_variant,5yearly,2030,0.822
931,instant_replacement,5yearly,2030,0.695
931,low_variant,5yearly,2030,0.163
931,medium_variant,5yearly,2030,0.506
931,momentum,5yearly,2030,0.585
931,no_change,5yearly,2030,0.531
931,zero_migration,5yearly,2030,0.524
931,constant_fertility,5yearly,2035,0.587
931,constant_mortality,5yearly,2035,0.208
931,high_variant,5yearly,2035,0.721
931,instant_replacement,5yearly,2035,0.598
931,low_variant,5yearly,2035,0.036
931,medium_variant,5yearly,2035,0.39
931,momentum,5yearly,2035,0.461
931,no_change,5yearly,2035,0.41
931,zero_migration,5yearly,2035,0.408
931,constant_fertility,5yearly,2040,0.511
931,constant_mortality,5yearly,2040,0.069
931,high_variant,5yearly,2040,0.655
931,instant_replacement,5yearly,2040,0.52
931,low_variant,5yearly,2040,-0.105
931,medium_variant,5yearly,2040,0.282
931,momentum,5yearly,2040,0.36
931,no_change,5yearly,2040,0.306
931,zero_migration,5yearly,2040,0.3
931,constant_fertility,5yearly,2045,0.444
931,constant_mortality,5yearly,2045,-0.06
931,high_variant,5yearly,2045,0.613
931,instant_replacement,5yearly,2045,0.455
931,low_variant,5yearly,2045,-0.253
931,medium_variant,5yearly,2045,0.183
931,momentum,5yearly,2045,0.277
931,no_change,5yearly,2045,0.215
931,zero_migration,5yearly,2045,0.201
931,constant_fertility,5yearly,2050,0.384
931,constant_mortality,5yearly,2050,-0.179
931,high_variant,5yearly,2050,0.576
931,instant_replacement,5yearly,2050,0.393
931,low_variant,5yearly,2050,-0.4
931,medium_variant,5yearly,2050,0.09
931,momentum,5yearly,2050,0.202
931,no_change,5yearly,2050,0.136
931,zero_migration,5yearly,2050,0.108
931,constant_fertility,5yearly,2055,0.328
931,constant_mortality,5yearly,2055,-0.287
931,high_variant,5yearly,2055,0.529
931,instant_replacement,5yearly,2055,0.328
931,low_variant,5yearly,2055,-0.54
931,medium_variant,5yearly,2055,0
931,momentum,5yearly,2055,0.13
931,no_change,5yearly,2055,0.069
931,zero_migration,5yearly,2055,0.019
931,constant_fertility,5yearly,2060,0.28
931,constant_mortality,5yearly,2060,-0.383
931,high_variant,5yearly,2060,0.476
931,instant_replacement,5yearly,2060,0.265
931,low_variant,5yearly,2060,-0.67
931,medium_variant,5yearly,2060,-0.083
931,momentum,5yearly,2060,0.067
931,no_change,5yearly,2060,0.016
931,zero_migration,5yearly,2060,-0.066
931,constant_fertility,5yearly,2065,0.24
931,constant_mortality,5yearly,2065,-0.464
931,high_variant,5yearly,2065,0.431
931,instant_replacement,5yearly,2065,0.212
931,low_variant,5yearly,2065,-0.796
931,medium_variant,5yearly,2065,-0.161
931,momentum,5yearly,2065,0.021
931,no_change,5yearly,2065,-0.02
931,zero_migration,5yearly,2065,-0.143
931,constant_fertility,5yearly,2070,0.21
931,constant_mortality,5yearly,2070,-0.526
931,high_variant,5yearly,2070,0.405
931,instant_replacement,5yearly,2070,0.172
931,low_variant,5yearly,2070,-0.924
931,medium_variant,5yearly,2070,-0.229
931,momentum,5yearly,2070,-0.003
931,no_change,5yearly,2070,-0.039
931,zero_migration,5yearly,2070,-0.212
931,constant_fertility,5yearly,2075,0.194
931,constant_mortality,5yearly,2075,-0.571
931,high_variant,5yearly,2075,0.399
931,instant_replacement,5yearly,2075,0.147
931,low_variant,5yearly,2075,-1.052
931,medium_variant,5yearly,2075,-0.285
931,momentum,5yearly,2075,-0.01
931,no_change,5yearly,2075,-0.04
931,zero_migration,5yearly,2075,-0.268
931,constant_fertility,5yearly,2080,0.192
931,constant_mortality,5yearly,2080,-0.6
931,high_variant,5yearly,2080,0.406
931,instant_replacement,5yearly,2080,0.134
931,low_variant,5yearly,2080,-1.171
931,medium_variant,5yearly,2080,-0.326
931,momentum,5yearly,2080,-0.006
931,no_change,5yearly,2080,-0.028
931,zero_migration,5yearly,2080,-0.309
931,constant_fertility,5yearly,2085,0.204
931,constant_mortality,5yearly,2085,-0.617
931,high_variant,5yearly,2085,0.416
931,instant_replacement,5yearly,2085,0.129
931,low_variant,5yearly,2085,-1.276
931,medium_variant,5yearly,2085,-0.353
931,momentum,5yearly,2085,-0.001
931,no_change,5yearly,2085,-0.009
931,zero_migration,5yearly,2085,-0.337
931,constant_fertility,5yearly,2090,0.223
931,constant_mortality,5yearly,2090,-0.625
931,high_variant,5yearly,2090,0.425
931,instant_replacement,5yearly,2090,0.129
931,low_variant,5yearly,2090,-1.361
931,medium_variant,5yearly,2090,-0.368
931,momentum,5yearly,2090,0.001
931,no_change,5yearly,2090,0.013
931,zero_migration,5yearly,2090,-0.352
931,constant_fertility,5yearly,2095,0.245
931,constant_mortality,5yearly,2095,-0.628
931,high_variant,5yearly,2095,0.431
931,instant_replacement,5yearly,2095,0.13
931,low_variant,5yearly,2095,-1.429
931,medium_variant,5yearly,2095,-0.377
931,momentum,5yearly,2095,0
931,no_change,5yearly,2095,0.034
931,zero_migration,5yearly,2095,-0.361
