country,year,variant,freq,age5yearinterval,fertilityrateper1000women
418,1950,estimates,5yearly,15_19,104.173
418,1950,estimates,5yearly,20_24,270.835
418,1950,estimates,5yearly,25_29,293.074
418,1950,estimates,5yearly,30_34,231.276
418,1950,estimates,5yearly,35_39,162.809
418,1950,estimates,5yearly,40_44,95.782
418,1950,estimates,5yearly,45_49,30.691
418,1955,estimates,5yearly,15_19,104.384
418,1955,estimates,5yearly,20_24,271.381
418,1955,estimates,5yearly,25_29,293.666
418,1955,estimates,5yearly,30_34,231.743
418,1955,estimates,5yearly,35_39,163.138
418,1955,estimates,5yearly,40_44,95.975
418,1955,estimates,5yearly,45_49,30.753
418,1960,estimates,5yearly,15_19,104.596
418,1960,estimates,5yearly,20_24,271.932
418,1960,estimates,5yearly,25_29,294.263
418,1960,estimates,5yearly,30_34,232.214
418,1960,estimates,5yearly,35_39,163.47
418,1960,estimates,5yearly,40_44,96.17
418,1960,estimates,5yearly,45_49,30.815
418,1965,estimates,5yearly,15_19,104.808
418,1965,estimates,5yearly,20_24,272.484
418,1965,estimates,5yearly,25_29,294.859
418,1965,estimates,5yearly,30_34,232.685
418,1965,estimates,5yearly,35_39,163.801
418,1965,estimates,5yearly,40_44,96.365
418,1965,estimates,5yearly,45_49,30.878
418,1970,estimates,5yearly,15_19,105.02
418,1970,estimates,5yearly,20_24,273.035
418,1970,estimates,5yearly,25_29,295.456
418,1970,estimates,5yearly,30_34,233.156
418,1970,estimates,5yearly,35_39,164.133
418,1970,estimates,5yearly,40_44,96.56
418,1970,estimates,5yearly,45_49,30.94
418,1975,estimates,5yearly,15_19,107.86
418,1975,estimates,5yearly,20_24,280.417
418,1975,estimates,5yearly,25_29,303.445
418,1975,estimates,5yearly,30_34,239.46
418,1975,estimates,5yearly,35_39,168.57
418,1975,estimates,5yearly,40_44,99.171
418,1975,estimates,5yearly,45_49,31.777
418,1980,estimates,5yearly,15_19,111.481
418,1980,estimates,5yearly,20_24,289.833
418,1980,estimates,5yearly,25_29,313.632
418,1980,estimates,5yearly,30_34,247.499
418,1980,estimates,5yearly,35_39,174.231
418,1980,estimates,5yearly,40_44,102.5
418,1980,estimates,5yearly,45_49,32.844
418,1985,estimates,5yearly,15_19,110.195
418,1985,estimates,5yearly,20_24,285.328
418,1985,estimates,5yearly,25_29,307.186
418,1985,estimates,5yearly,30_34,244.693
418,1985,estimates,5yearly,35_39,172.262
418,1985,estimates,5yearly,40_44,101.259
418,1985,estimates,5yearly,45_49,32.437
418,1990,estimates,5yearly,15_19,104.887
418,1990,estimates,5yearly,20_24,266.961
418,1990,estimates,5yearly,25_29,282.575
418,1990,estimates,5yearly,30_34,235.167
418,1990,estimates,5yearly,35_39,163.485
418,1990,estimates,5yearly,40_44,93.71
418,1990,estimates,5yearly,45_49,29.875
418,1995,estimates,5yearly,15_19,87.284
418,1995,estimates,5yearly,20_24,224.055
418,1995,estimates,5yearly,25_29,232.649
418,1995,estimates,5yearly,30_34,192.804
418,1995,estimates,5yearly,35_39,130.917
418,1995,estimates,5yearly,40_44,71.404
418,1995,estimates,5yearly,45_49,22.167
418,2000,estimates,5yearly,15_19,74.95
418,2000,estimates,5yearly,20_24,192.59
418,2000,estimates,5yearly,25_29,194.384
418,2000,estimates,5yearly,30_34,152.17
418,2000,estimates,5yearly,35_39,100.55
418,2000,estimates,5yearly,40_44,50.996
418,2000,estimates,5yearly,45_49,14.36
418,2005,estimates,5yearly,15_19,70.687
418,2005,estimates,5yearly,20_24,177.91
418,2005,estimates,5yearly,25_29,174.415
418,2005,estimates,5yearly,30_34,127.732
418,2005,estimates,5yearly,35_39,82.057
418,2005,estimates,5yearly,40_44,38.141
418,2005,estimates,5yearly,45_49,9.058
418,2010,estimates,5yearly,15_19,65.948
418,2010,estimates,5yearly,20_24,160.676
418,2010,estimates,5yearly,25_29,153.227
418,2010,estimates,5yearly,30_34,105.949
418,2010,estimates,5yearly,35_39,66.511
418,2010,estimates,5yearly,40_44,28.274
418,2010,estimates,5yearly,45_49,5.415
418,2015,constant_fertility,5yearly,15_19,65.948
418,2015,constant_mortality,5yearly,15_19,62.629
418,2015,high_variant,5yearly,15_19,68.599
418,2015,instant_replacement,5yearly,15_19,52.707
418,2015,low_variant,5yearly,15_19,56.66
418,2015,medium_variant,5yearly,15_19,62.629
418,2015,momentum,5yearly,15_19,53.694
418,2015,no_change,5yearly,15_19,65.948
418,2015,zero_migration,5yearly,15_19,62.629
418,2015,constant_fertility,5yearly,20_24,160.676
418,2015,constant_mortality,5yearly,20_24,149.535
418,2015,high_variant,5yearly,20_24,163.789
418,2015,instant_replacement,5yearly,20_24,125.845
418,2015,low_variant,5yearly,20_24,135.28
418,2015,medium_variant,5yearly,20_24,149.535
418,2015,momentum,5yearly,20_24,128.201
418,2015,no_change,5yearly,20_24,160.676
418,2015,zero_migration,5yearly,20_24,149.535
418,2015,constant_fertility,5yearly,25_29,153.227
418,2015,constant_mortality,5yearly,25_29,139.736
418,2015,high_variant,5yearly,25_29,153.056
418,2015,instant_replacement,5yearly,25_29,117.599
418,2015,low_variant,5yearly,25_29,126.416
418,2015,medium_variant,5yearly,25_29,139.736
418,2015,momentum,5yearly,25_29,119.8
418,2015,no_change,5yearly,25_29,153.227
418,2015,zero_migration,5yearly,25_29,139.736
418,2015,constant_fertility,5yearly,30_34,105.949
418,2015,constant_mortality,5yearly,30_34,91.484
418,2015,high_variant,5yearly,30_34,100.204
418,2015,instant_replacement,5yearly,30_34,76.991
418,2015,low_variant,5yearly,30_34,82.764
418,2015,medium_variant,5yearly,30_34,91.484
418,2015,momentum,5yearly,30_34,78.432
418,2015,no_change,5yearly,30_34,105.949
418,2015,zero_migration,5yearly,30_34,91.484
418,2015,constant_fertility,5yearly,35_39,66.511
418,2015,constant_mortality,5yearly,35_39,55.926
418,2015,high_variant,5yearly,35_39,61.257
418,2015,instant_replacement,5yearly,35_39,47.066
418,2015,low_variant,5yearly,35_39,50.595
418,2015,medium_variant,5yearly,35_39,55.926
418,2015,momentum,5yearly,35_39,47.947
418,2015,no_change,5yearly,35_39,66.511
418,2015,zero_migration,5yearly,35_39,55.926
418,2015,constant_fertility,5yearly,40_44,28.274
418,2015,constant_mortality,5yearly,40_44,21.768
418,2015,high_variant,5yearly,40_44,23.843
418,2015,instant_replacement,5yearly,40_44,18.319
418,2015,low_variant,5yearly,40_44,19.693
418,2015,medium_variant,5yearly,40_44,21.768
418,2015,momentum,5yearly,40_44,18.662
418,2015,no_change,5yearly,40_44,28.274
418,2015,zero_migration,5yearly,40_44,21.768
418,2015,constant_fertility,5yearly,45_49,5.415
418,2015,constant_mortality,5yearly,45_49,3.462
418,2015,high_variant,5yearly,45_49,3.792
418,2015,instant_replacement,5yearly,45_49,2.914
418,2015,low_variant,5yearly,45_49,3.132
418,2015,medium_variant,5yearly,45_49,3.462
418,2015,momentum,5yearly,45_49,2.968
418,2015,no_change,5yearly,45_49,5.415
418,2015,zero_migration,5yearly,45_49,3.462
418,2020,constant_fertility,5yearly,15_19,65.948
418,2020,constant_mortality,5yearly,15_19,59.023
418,2020,high_variant,5yearly,15_19,68.884
418,2020,instant_replacement,5yearly,15_19,53.58
418,2020,low_variant,5yearly,15_19,49.162
418,2020,medium_variant,5yearly,15_19,59.023
418,2020,momentum,5yearly,15_19,55.395
418,2020,no_change,5yearly,15_19,65.948
418,2020,zero_migration,5yearly,15_19,59.023
418,2020,constant_fertility,5yearly,20_24,160.676
418,2020,constant_mortality,5yearly,20_24,139.862
418,2020,high_variant,5yearly,20_24,163.229
418,2020,instant_replacement,5yearly,20_24,126.963
418,2020,low_variant,5yearly,20_24,116.496
418,2020,medium_variant,5yearly,20_24,139.862
418,2020,momentum,5yearly,20_24,131.264
418,2020,no_change,5yearly,20_24,160.676
418,2020,zero_migration,5yearly,20_24,139.862
418,2020,constant_fertility,5yearly,25_29,153.227
418,2020,constant_mortality,5yearly,25_29,129.884
418,2020,high_variant,5yearly,25_29,151.583
418,2020,instant_replacement,5yearly,25_29,117.905
418,2020,low_variant,5yearly,25_29,108.183
418,2020,medium_variant,5yearly,25_29,129.884
418,2020,momentum,5yearly,25_29,121.9
418,2020,no_change,5yearly,25_29,153.227
418,2020,zero_migration,5yearly,25_29,129.884
418,2020,constant_fertility,5yearly,30_34,105.949
418,2020,constant_mortality,5yearly,30_34,81.777
418,2020,high_variant,5yearly,30_34,95.441
418,2020,instant_replacement,5yearly,30_34,74.235
418,2020,low_variant,5yearly,30_34,68.115
418,2020,medium_variant,5yearly,30_34,81.777
418,2020,momentum,5yearly,30_34,76.75
418,2020,no_change,5yearly,30_34,105.949
418,2020,zero_migration,5yearly,30_34,81.777
418,2020,constant_fertility,5yearly,35_39,66.511
418,2020,constant_mortality,5yearly,35_39,48.637
