country,year,variant,freq,age5yearinterval,fertilityrateper1000women
499,1950,estimates,5yearly,15_19,27.217
499,1950,estimates,5yearly,20_24,188.601
499,1950,estimates,5yearly,25_29,237.568
499,1950,estimates,5yearly,30_34,199.676
499,1950,estimates,5yearly,35_39,124.795
499,1950,estimates,5yearly,40_44,64.727
499,1950,estimates,5yearly,45_49,26.696
499,1955,estimates,5yearly,15_19,38.83
499,1955,estimates,5yearly,20_24,188.931
499,1955,estimates,5yearly,25_29,213.795
499,1955,estimates,5yearly,30_34,157.841
499,1955,estimates,5yearly,35_39,102.754
499,1955,estimates,5yearly,40_44,44.675
499,1955,estimates,5yearly,45_49,12.174
499,1960,estimates,5yearly,15_19,37.175
499,1960,estimates,5yearly,20_24,189.407
499,1960,estimates,5yearly,25_29,192.536
499,1960,estimates,5yearly,30_34,138.668
499,1960,estimates,5yearly,35_39,79.434
499,1960,estimates,5yearly,40_44,35.657
499,1960,estimates,5yearly,45_49,10.483
499,1965,estimates,5yearly,15_19,40.044
499,1965,estimates,5yearly,20_24,171.845
499,1965,estimates,5yearly,25_29,175.579
499,1965,estimates,5yearly,30_34,106.52
499,1965,estimates,5yearly,35_39,59.811
499,1965,estimates,5yearly,40_44,20.323
499,1965,estimates,5yearly,45_49,3.878
499,1970,estimates,5yearly,15_19,32.504
499,1970,estimates,5yearly,20_24,173.289
499,1970,estimates,5yearly,25_29,152.739
499,1970,estimates,5yearly,30_34,102.375
499,1970,estimates,5yearly,35_39,45.405
499,1970,estimates,5yearly,40_44,15.76
499,1970,estimates,5yearly,45_49,1.508
499,1975,estimates,5yearly,15_19,27.866
499,1975,estimates,5yearly,20_24,137.766
499,1975,estimates,5yearly,25_29,151.944
499,1975,estimates,5yearly,30_34,85.918
499,1975,estimates,5yearly,35_39,42.975
499,1975,estimates,5yearly,40_44,13.2
499,1975,estimates,5yearly,45_49,1.531
499,1980,estimates,5yearly,15_19,28.482
499,1980,estimates,5yearly,20_24,140.264
