variant,global,year,dependencyratio2064
no_change,900,2050,88.0699919881684
high_variant,900,2055,90.4609964852063
low_variant,900,2055,73.4688341914324
constant_fertility,900,2055,98.6693889794043
instant_replacement,900,2055,79.5955503789008
zero_migration,900,2055,81.7367960884557
constant_mortality,900,2055,75.5493980050993
no_change,900,2055,91.8087733421966
high_variant,900,2060,91.4647091148263
low_variant,900,2060,75.2925017944867
constant_fertility,900,2060,102.521589844173
instant_replacement,900,2060,81.49206217815
zero_migration,900,2060,82.8379583604991
constant_mortality,900,2060,75.5968278680766
no_change,900,2060,94.4117630060536
high_variant,900,2065,90.70235072812
low_variant,900,2065,76.35039771751
constant_fertility,900,2065,105.022112529348
instant_replacement,900,2065,82.4398629374209
zero_migration,900,2065,82.7114496631599
constant_mortality,900,2065,74.5155131122224
no_change,900,2065,95.8023928114051
high_variant,900,2070,89.2824608244003
low_variant,900,2070,78.1213540142957
constant_fertility,900,2070,107.292091964133
instant_replacement,900,2070,83.4749563120304
zero_migration,900,2070,82.5923407931476
constant_mortality,900,2070,73.5080130450064
no_change,900,2070,97.0978643084802
high_variant,900,2075,87.94181826007
low_variant,900,2075,81.2155899496275
constant_fertility,900,2075,109.71714248958
instant_replacement,900,2075,85.0125097881979
zero_migration,900,2075,82.999052320825
constant_mortality,900,2075,73.1249115975671
no_change,900,2075,98.7150351509097
high_variant,900,2080,87.0072762338509
low_variant,900,2080,85.6937991777106
constant_fertility,900,2080,112.22027764235
instant_replacement,900,2080,87.2271073114692
zero_migration,900,2080,83.9885030678487
constant_mortality,900,2080,73.4153404993139
no_change,900,2080,100.582626534235
high_variant,900,2085,87.5036538814643
low_variant,900,2085,88.1475523478555
constant_fertility,900,2085,114.86391688512
instant_replacement,900,2085,88.084150727965
zero_migration,900,2085,84.9622568790839
constant_mortality,900,2085,73.6860080292241
no_change,900,2085,102.616066921158
high_variant,900,2090,88.2839005552467
low_variant,900,2090,88.9930728623583
constant_fertility,900,2090,117.326502186589
instant_replacement,900,2090,88.8645444646514
zero_migration,900,2090,85.6054703913766
constant_mortality,900,2090,73.537846471911
no_change,900,2090,104.47068095961
high_variant,900,2095,88.9425588502286
low_variant,900,2095,88.9863905499147
constant_fertility,900,2095,119.629631680455
instant_replacement,900,2095,89.7095201797122
zero_migration,900,2095,86.043952367459
constant_mortality,900,2095,73.0891027462834
no_change,900,2095,106.179399149985
high_variant,900,2100,89.1049500751698
low_variant,900,2100,89.6639510024594
constant_fertility,900,2100,121.855677152948
instant_replacement,900,2100,90.7496495153161
zero_migration,900,2100,86.5281262112943
constant_mortality,900,2100,72.6644440305843
no_change,900,2100,107.87983124079
