country,year,variant,freq,age1yearinterval,lifeexpectancy
616,1980,estimates,5yearly,75,8.5438047
616,1980,estimates,5yearly,80,6.2875869
616,1980,estimates,5yearly,85,4.5839974
616,1980,estimates,5yearly,90,3.3837319
616,1980,estimates,5yearly,95,2.4974405
616,1980,estimates,5yearly,100plus,1.926548
616,1985,estimates,5yearly,0,70.731744
616,1985,estimates,5yearly,1,71.196243
616,1985,estimates,5yearly,5,67.367221
616,1985,estimates,5yearly,10,62.460839
616,1985,estimates,5yearly,15,57.54168
616,1985,estimates,5yearly,20,52.719173
616,1985,estimates,5yearly,25,47.955597
616,1985,estimates,5yearly,30,43.214394
616,1985,estimates,5yearly,35,38.543175
616,1985,estimates,5yearly,40,33.981127
616,1985,estimates,5yearly,45,29.587259
616,1985,estimates,5yearly,50,25.404771
616,1985,estimates,5yearly,55,21.466876
616,1985,estimates,5yearly,60,17.80036
616,1985,estimates,5yearly,65,14.414795
616,1985,estimates,5yearly,70,11.31907
616,1985,estimates,5yearly,75,8.5572434
616,1985,estimates,5yearly,80,6.2787536
616,1985,estimates,5yearly,85,4.5420408
616,1985,estimates,5yearly,90,3.2968972
616,1985,estimates,5yearly,95,2.4286224
616,1985,estimates,5yearly,100plus,1.8614266
616,1990,estimates,5yearly,0,71.151676
616,1990,estimates,5yearly,1,71.333021
616,1990,estimates,5yearly,5,67.477588
616,1990,estimates,5yearly,10,62.557959
616,1990,estimates,5yearly,15,57.634656
616,1990,estimates,5yearly,20,52.821248
616,1990,estimates,5yearly,25,48.062912
616,1990,estimates,5yearly,30,43.318086
616,1990,estimates,5yearly,35,38.647774
616,1990,estimates,5yearly,40,34.105854
616,1990,estimates,5yearly,45,29.747566
616,1990,estimates,5yearly,50,25.595353
616,1990,estimates,5yearly,55,21.673411
616,1990,estimates,5yearly,60,18.001645
616,1990,estimates,5yearly,65,14.615014
616,1990,estimates,5yearly,70,11.528002
616,1990,estimates,5yearly,75,8.777599
616,1990,estimates,5yearly,80,6.4379232
616,1990,estimates,5yearly,85,4.6273405
616,1990,estimates,5yearly,90,3.288798
616,1990,estimates,5yearly,95,2.4078698
616,1990,estimates,5yearly,100plus,1.8272438
616,1995,estimates,5yearly,0,72.724901
616,1995,estimates,5yearly,1,72.466604
616,1995,estimates,5yearly,5,68.57592
616,1995,estimates,5yearly,10,63.644921
616,1995,estimates,5yearly,15,58.710707
616,1995,estimates,5yearly,20,53.87902
616,1995,estimates,5yearly,25,49.097106
616,1995,estimates,5yearly,30,44.324474
616,1995,estimates,5yearly,35,39.606542
616,1995,estimates,5yearly,40,35.013608
616,1995,estimates,5yearly,45,30.603503
616,1995,estimates,5yearly,50,26.402755
616,1995,estimates,5yearly,55,22.431589
616,1995,estimates,5yearly,60,18.681713
616,1995,estimates,5yearly,65,15.202021
616,1995,estimates,5yearly,70,12.020329
616,1995,estimates,5yearly,75,9.1769471
616,1995,estimates,5yearly,80,6.7909814
616,1995,estimates,5yearly,85,4.857715
616,1995,estimates,5yearly,90,3.4431356
616,1995,estimates,5yearly,95,2.4910255
616,1995,estimates,5yearly,100plus,1.8719791
616,2000,estimates,5yearly,0,74.598053
616,2000,estimates,5yearly,1,74.13154
616,2000,estimates,5yearly,5,70.214247
616,2000,estimates,5yearly,10,65.271448
616,2000,estimates,5yearly,15,60.329939
616,2000,estimates,5yearly,20,55.468366
616,2000,estimates,5yearly,25,50.659031
616,2000,estimates,5yearly,30,45.853968
616,2000,estimates,5yearly,35,41.095951
616,2000,estimates,5yearly,40,36.43574
616,2000,estimates,5yearly,45,31.938841
616,2000,estimates,5yearly,50,27.663778
616,2000,estimates,5yearly,55,23.62929
616,2000,estimates,5yearly,60,19.820264
616,2000,estimates,5yearly,65,16.234536
616,2000,estimates,5yearly,70,12.916726
616,2000,estimates,5yearly,75,9.9259317
616,2000,estimates,5yearly,80,7.3548135
616,2000,estimates,5yearly,85,5.2761591
616,2000,estimates,5yearly,90,3.7127375
616,2000,estimates,5yearly,95,2.6607994
616,2000,estimates,5yearly,100plus,1.969013
616,2005,estimates,5yearly,0,75.563043
616,2005,estimates,5yearly,1,74.992438
616,2005,estimates,5yearly,5,71.064197
616,2005,estimates,5yearly,10,66.111916
616,2005,estimates,5yearly,15,61.165735
616,2005,estimates,5yearly,20,56.305583
616,2005,estimates,5yearly,25,51.490142
616,2005,estimates,5yearly,30,46.672759
616,2005,estimates,5yearly,35,41.899716
616,2005,estimates,5yearly,40,37.225716
616,2005,estimates,5yearly,45,32.706674
616,2005,estimates,5yearly,50,28.414
616,2005,estimates,5yearly,55,24.373479
616,2005,estimates,5yearly,60,20.580182
616,2005,estimates,5yearly,65,17.008091
616,2005,estimates,5yearly,70,13.628794
616,2005,estimates,5yearly,75,10.510427
616,2005,estimates,5yearly,80,7.7710076
616,2005,estimates,5yearly,85,5.5515319
616,2005,estimates,5yearly,90,3.8841986
616,2005,estimates,5yearly,95,2.7408715
616,2005,estimates,5yearly,100plus,2.0012435
616,2010,estimates,5yearly,0,76.992879
616,2010,estimates,5yearly,1,76.342637
616,2010,estimates,5yearly,5,72.403135
616,2010,estimates,5yearly,10,67.442543
616,2010,estimates,5yearly,15,62.494951
616,2010,estimates,5yearly,20,57.621633
616,2010,estimates,5yearly,25,52.795155
616,2010,estimates,5yearly,30,47.96627
616,2010,estimates,5yearly,35,43.168924
616,2010,estimates,5yearly,40,38.452482
616,2010,estimates,5yearly,45,33.868272
616,2010,estimates,5yearly,50,29.458173
616,2010,estimates,5yearly,55,25.310157
616,2010,estimates,5yearly,60,21.42395
616,2010,estimates,5yearly,65,17.80106
616,2010,estimates,5yearly,70,14.397371
616,2010,estimates,5yearly,75,11.188738
616,2010,estimates,5yearly,80,8.3081696
616,2010,estimates,5yearly,85,5.9243122
616,2010,estimates,5yearly,90,4.1239576
616,2010,estimates,5yearly,95,2.883678
616,2010,estimates,5yearly,100plus,2.0779137
616,2015,medium_variant,5yearly,0,77.822989
616,2015,medium_variant,5yearly,1,77.132787
616,2015,medium_variant,5yearly,5,73.187145
616,2015,medium_variant,5yearly,10,68.222784
616,2015,medium_variant,5yearly,15,63.270669
616,2015,medium_variant,5yearly,20,58.386065
616,2015,medium_variant,5yearly,25,53.54725
616,2015,medium_variant,5yearly,30,48.708774
616,2015,medium_variant,5yearly,35,43.902039
616,2015,medium_variant,5yearly,40,39.173248
616,2015,medium_variant,5yearly,45,34.569874
616,2015,medium_variant,5yearly,50,30.131038
616,2015,medium_variant,5yearly,55,25.940319
616,2015,medium_variant,5yearly,60,21.997756
616,2015,medium_variant,5yearly,65,18.305659
616,2015,medium_variant,5yearly,70,14.825777
616,2015,medium_variant,5yearly,75,11.544961
616,2015,medium_variant,5yearly,80,8.5878832
616,2015,medium_variant,5yearly,85,6.1283272
616,2015,medium_variant,5yearly,90,4.2616468
616,2015,medium_variant,5yearly,95,2.9647624
616,2015,medium_variant,5yearly,100plus,2.1108926
616,2020,medium_variant,5yearly,0,78.651986
616,2020,medium_variant,5yearly,1,77.936429
616,2020,medium_variant,5yearly,5,73.986937
616,2020,medium_variant,5yearly,10,69.019981
616,2020,medium_variant,5yearly,15,64.064089
616,2020,medium_variant,5yearly,20,59.168922
616,2020,medium_variant,5yearly,25,54.31769
616,2020,medium_variant,5yearly,30,49.468692
616,2020,medium_variant,5yearly,35,44.650405
616,2020,medium_variant,5yearly,40,39.90553
616,2020,medium_variant,5yearly,45,35.277833
616,2020,medium_variant,5yearly,50,30.803739
616,2020,medium_variant,5yearly,55,26.560044
616,2020,medium_variant,5yearly,60,22.550535
616,2020,medium_variant,5yearly,65,18.779949
616,2020,medium_variant,5yearly,70,15.219868
616,2020,medium_variant,5yearly,75,11.865069
616,2020,medium_variant,5yearly,80,8.8438121
616,2020,medium_variant,5yearly,85,6.3191275
616,2020,medium_variant,5yearly,90,4.3932022
616,2020,medium_variant,5yearly,95,3.0466723
616,2020,medium_variant,5yearly,100plus,2.1455697
616,2025,medium_variant,5yearly,0,79.479128
616,2025,medium_variant,5yearly,1,78.741449
616,2025,medium_variant,5yearly,5,74.788569
616,2025,medium_variant,5yearly,10,69.819308
616,2025,medium_variant,5yearly,15,64.860041
616,2025,medium_variant,5yearly,20,59.95513
616,2025,medium_variant,5yearly,25,55.090513
616,2025,medium_variant,5yearly,30,50.228557
616,2025,medium_variant,5yearly,35,45.394903
616,2025,medium_variant,5yearly,40,40.62895
616,2025,medium_variant,5yearly,45,35.972058
616,2025,medium_variant,5yearly,50,31.459941
616,2025,medium_variant,5yearly,55,27.162294
616,2025,medium_variant,5yearly,60,23.0861
616,2025,medium_variant,5yearly,65,19.238628
616,2025,medium_variant,5yearly,70,15.601102
616,2025,medium_variant,5yearly,75,12.175056
616,2025,medium_variant,5yearly,80,9.0868461
616,2025,medium_variant,5yearly,85,6.5036383
616,2025,medium_variant,5yearly,90,4.5215188
616,2025,medium_variant,5yearly,95,3.126406
616,2025,medium_variant,5yearly,100plus,2.1799561
616,2030,medium_variant,5yearly,0,80.312519
616,2030,medium_variant,5yearly,1,79.554837
616,2030,medium_variant,5yearly,5,75.598855
616,2030,medium_variant,5yearly,10,70.627471
616,2030,medium_variant,5yearly,15,65.665095
616,2030,medium_variant,5yearly,20,60.750939
616,2030,medium_variant,5yearly,25,55.873483
616,2030,medium_variant,5yearly,30,50.999005
616,2030,medium_variant,5yearly,35,46.150481
616,2030,medium_variant,5yearly,40,41.363902
616,2030,medium_variant,5yearly,45,36.67805
616,2030,medium_variant,5yearly,50,32.128418
616,2030,medium_variant,5yearly,55,27.77866
616,2030,medium_variant,5yearly,60,23.636913
616,2030,medium_variant,5yearly,65,19.712
616,2030,medium_variant,5yearly,70,15.995627
616,2030,medium_variant,5yearly,75,12.496604
616,2030,medium_variant,5yearly,80,9.3395828
616,2030,medium_variant,5yearly,85,6.6912014
616,2030,medium_variant,5yearly,90,4.6545231
616,2030,medium_variant,5yearly,95,3.2100083
616,2030,medium_variant,5yearly,100plus,2.2173018
616,2035,medium_variant,5yearly,0,81.148589
616,2035,medium_variant,5yearly,1,80.373076
