country,year,variant,freq,age1yearinterval,lifeexpectancy
748,1950,estimates,5yearly,0,41.435648
748,1950,estimates,5yearly,1,49.074912
748,1950,estimates,5yearly,5,50.632678
748,1950,estimates,5yearly,10,47.095286
748,1950,estimates,5yearly,15,43.105098
748,1950,estimates,5yearly,20,39.364018
748,1950,estimates,5yearly,25,35.912813
748,1950,estimates,5yearly,30,32.480302
748,1950,estimates,5yearly,35,29.092605
748,1950,estimates,5yearly,40,25.745723
748,1950,estimates,5yearly,45,22.445093
748,1950,estimates,5yearly,50,19.157701
748,1950,estimates,5yearly,55,16.061688
748,1950,estimates,5yearly,60,13.111466
748,1950,estimates,5yearly,65,10.501974
748,1950,estimates,5yearly,70,8.1526624
748,1950,estimates,5yearly,75,6.1780077
748,1950,estimates,5yearly,80,4.6164361
748,1950,estimates,5yearly,85,3.4490926
748,1950,estimates,5yearly,90,2.6253698
748,1950,estimates,5yearly,95,2.0414853
748,1950,estimates,5yearly,100plus,1.6671961
748,1955,estimates,5yearly,0,43.473443
748,1955,estimates,5yearly,1,50.707261
748,1955,estimates,5yearly,5,51.874886
748,1955,estimates,5yearly,10,48.243738
748,1955,estimates,5yearly,15,44.190658
748,1955,estimates,5yearly,20,40.37786
748,1955,estimates,5yearly,25,36.840276
748,1955,estimates,5yearly,30,33.318127
748,1955,estimates,5yearly,35,29.836716
748,1955,estimates,5yearly,40,26.396517
748,1955,estimates,5yearly,45,23.005135
748,1955,estimates,5yearly,50,19.638187
748,1955,estimates,5yearly,55,16.462441
748,1955,estimates,5yearly,60,13.444387
748,1955,estimates,5yearly,65,10.769996
748,1955,estimates,5yearly,70,8.3629067
748,1955,estimates,5yearly,75,6.3378534
748,1955,estimates,5yearly,80,4.7338532
748,1955,estimates,5yearly,85,3.527182
748,1955,estimates,5yearly,90,2.6724318
748,1955,estimates,5yearly,95,2.0670572
748,1955,estimates,5yearly,100plus,1.6793539
748,1960,estimates,5yearly,0,45.05272
748,1960,estimates,5yearly,1,51.966376
748,1960,estimates,5yearly,5,52.834011
748,1960,estimates,5yearly,10,49.130805
748,1960,estimates,5yearly,15,45.029226
748,1960,estimates,5yearly,20,41.161143
748,1960,estimates,5yearly,25,37.55524
748,1960,estimates,5yearly,30,33.962762
748,1960,estimates,5yearly,35,30.408475
748,1960,estimates,5yearly,40,26.894629
748,1960,estimates,5yearly,45,23.432994
748,1960,estimates,5yearly,50,20.00679
748,1960,estimates,5yearly,55,16.771908
748,1960,estimates,5yearly,60,13.700124
748,1960,estimates,5yearly,65,10.969677
748,1960,estimates,5yearly,70,8.5199515
748,1960,estimates,5yearly,75,6.455084
748,1960,estimates,5yearly,80,4.816615
748,1960,estimates,5yearly,85,3.5850857
748,1960,estimates,5yearly,90,2.7024738
748,1960,estimates,5yearly,95,2.0776031
748,1960,estimates,5yearly,100plus,1.6791539
748,1965,estimates,5yearly,0,46.68807
748,1965,estimates,5yearly,1,53.266452
748,1965,estimates,5yearly,5,53.819122
748,1965,estimates,5yearly,10,50.041655
748,1965,estimates,5yearly,15,45.889958
748,1965,estimates,5yearly,20,41.964763
748,1965,estimates,5yearly,25,38.287805
748,1965,estimates,5yearly,30,34.621206
748,1965,estimates,5yearly,35,30.991408
748,1965,estimates,5yearly,40,27.403555
748,1965,estimates,5yearly,45,23.868945
