country,year,variant,freq,age1yearinterval,lifeexpectancy
188,1950,estimates,5yearly,"Region, subregion, country or area *",Costa Rica
188,1950,estimates,5yearly,0,55.997641
188,1950,estimates,5yearly,1,61.407097
188,1950,estimates,5yearly,5,60.969528
188,1950,estimates,5yearly,10,56.74589
188,1950,estimates,5yearly,15,52.108516
188,1950,estimates,5yearly,20,47.573063
188,1950,estimates,5yearly,25,43.225246
188,1950,estimates,5yearly,30,38.989017
188,1950,estimates,5yearly,35,34.797113
188,1950,estimates,5yearly,40,30.641406
188,1950,estimates,5yearly,45,26.559996
188,1950,estimates,5yearly,50,22.612786
188,1950,estimates,5yearly,55,18.873298
188,1950,estimates,5yearly,60,15.415059
188,1950,estimates,5yearly,65,12.302936
188,1950,estimates,5yearly,70,9.5920546
188,1950,estimates,5yearly,75,7.3050086
188,1950,estimates,5yearly,80,5.4371139
188,1950,estimates,5yearly,85,3.9783216
188,1950,estimates,5yearly,90,2.8950702
188,1950,estimates,5yearly,95,2.1924987
188,1950,estimates,5yearly,100plus,1.7245348
188,1955,estimates,5yearly,"Region, subregion, country or area *",Costa Rica
188,1955,estimates,5yearly,0,58.75707
188,1955,estimates,5yearly,1,63.72387
188,1955,estimates,5yearly,5,62.619185
188,1955,estimates,5yearly,10,58.274439
188,1955,estimates,5yearly,15,53.594645
188,1955,estimates,5yearly,20,48.999447
188,1955,estimates,5yearly,25,44.56258
188,1955,estimates,5yearly,30,40.217229
188,1955,estimates,5yearly,35,35.914322
188,1955,estimates,5yearly,40,31.660195
188,1955,estimates,5yearly,45,27.490932
188,1955,estimates,5yearly,50,23.45005
188,1955,estimates,5yearly,55,19.608081
188,1955,estimates,5yearly,60,16.044193
188,1955,estimates,5yearly,65,12.830526
188,1955,estimates,5yearly,70,10.04007
188,1955,estimates,5yearly,75,7.67139
188,1955,estimates,5yearly,80,5.6939621
188,1955,estimates,5yearly,85,4.1393741
188,1955,estimates,5yearly,90,2.9815657
188,1955,estimates,5yearly,95,2.1982715
188,1955,estimates,5yearly,100plus,1.711412
188,1960,estimates,5yearly,"Region, subregion, country or area *",Costa Rica
188,1960,estimates,5yearly,0,62.3697
188,1960,estimates,5yearly,1,66.920715
188,1960,estimates,5yearly,5,65.158913
188,1960,estimates,5yearly,10,60.677968
188,1960,estimates,5yearly,15,55.934652
188,1960,estimates,5yearly,20,51.251826
188,1960,estimates,5yearly,25,46.685337
188,1960,estimates,5yearly,30,42.181732
188,1960,estimates,5yearly,35,37.717129
188,1960,estimates,5yearly,40,33.317586
188,1960,estimates,5yearly,45,29.015674
188,1960,estimates,5yearly,50,24.831878
188,1960,estimates,5yearly,55,20.831848
188,1960,estimates,5yearly,60,17.10143
188,1960,estimates,5yearly,65,13.723837
188,1960,estimates,5yearly,70,10.799981
188,1960,estimates,5yearly,75,8.2927781
188,1960,estimates,5yearly,80,6.1351602
188,1960,estimates,5yearly,85,4.4223137
188,1960,estimates,5yearly,90,3.142455
188,1960,estimates,5yearly,95,2.2470266
188,1960,estimates,5yearly,100plus,1.7142243
188,1965,estimates,5yearly,"Region, subregion, country or area *",Costa Rica
188,1965,estimates,5yearly,0,65.175086
188,1965,estimates,5yearly,1,69.037439
188,1965,estimates,5yearly,5,66.73232
188,1965,estimates,5yearly,10,62.137774
188,1965,estimates,5yearly,15,57.354815
188,1965,estimates,5yearly,20,52.631146
188,1965,estimates,5yearly,25,48.001812
188,1965,estimates,5yearly,30,43.421924
188,1965,estimates,5yearly,35,38.877076
188,1965,estimates,5yearly,40,34.396592
188,1965,estimates,5yearly,45,30.012263
188,1965,estimates,5yearly,50,25.744021
188,1965,estimates,5yearly,55,21.65408
188,1965,estimates,5yearly,60,17.824841
188,1965,estimates,5yearly,65,14.339304
188,1965,estimates,5yearly,70,11.299939
188,1965,estimates,5yearly,75,8.6767155
188,1965,estimates,5yearly,80,6.4057541
188,1965,estimates,5yearly,85,4.5985199
188,1965,estimates,5yearly,90,3.2474451
188,1965,estimates,5yearly,95,2.2993623
188,1965,estimates,5yearly,100plus,1.761236
188,1970,estimates,5yearly,"Region, subregion, country or area *",Costa Rica
188,1970,estimates,5yearly,0,67.704612
188,1970,estimates,5yearly,1,70.728012
188,1970,estimates,5yearly,5,67.894093
188,1970,estimates,5yearly,10,63.191102
188,1970,estimates,5yearly,15,58.378982
188,1970,estimates,5yearly,20,53.634873
188,1970,estimates,5yearly,25,48.971232
188,1970,estimates,5yearly,30,44.34968
188,1970,estimates,5yearly,35,39.758462
188,1970,estimates,5yearly,40,35.223722
188,1970,estimates,5yearly,45,30.778232
188,1970,estimates,5yearly,50,26.450205
188,1970,estimates,5yearly,55,22.299383
