country,variant,freq,year,lifeexpectancyatbirth
276,estimates,5yearly,1950,67.524
276,estimates,5yearly,1955,68.909
276,estimates,5yearly,1960,69.975
276,estimates,5yearly,1965,70.666
276,estimates,5yearly,1970,71.147
276,estimates,5yearly,1975,72.302
276,estimates,5yearly,1980,73.648
276,estimates,5yearly,1985,74.994
276,estimates,5yearly,1990,75.981
276,estimates,5yearly,1995,77.311
276,estimates,5yearly,2000,78.621
276,estimates,5yearly,2005,79.733
276,estimates,5yearly,2010,80.446
276,medium_variant,5yearly,2015,81.266
276,medium_variant,5yearly,2020,82.099
276,medium_variant,5yearly,2025,82.939
276,medium_variant,5yearly,2030,83.736
276,medium_variant,5yearly,2035,84.434
276,medium_variant,5yearly,2040,85.084
276,medium_variant,5yearly,2045,85.694
276,medium_variant,5yearly,2050,86.299
276,medium_variant,5yearly,2055,86.898
276,medium_variant,5yearly,2060,87.483
276,medium_variant,5yearly,2065,88.054
276,medium_variant,5yearly,2070,88.636
276,medium_variant,5yearly,2075,89.217
276,medium_variant,5yearly,2080,89.783
276,medium_variant,5yearly,2085,90.368
276,medium_variant,5yearly,2090,90.932
276,medium_variant,5yearly,2095,91.515
276,estimates,5yearly,Regi,Germany
276,medium_variant,5yearly,Regi,Germany
