country,variant,freq,year,lifeexpectancyatbirth
634,estimates,5yearly,1950,55.26
634,estimates,5yearly,1955,59.195
634,estimates,5yearly,1960,62.95
634,estimates,5yearly,1965,66.637
634,estimates,5yearly,1970,69.734
634,estimates,5yearly,1975,71.782
634,estimates,5yearly,1980,73.372
634,estimates,5yearly,1985,74.538
634,estimates,5yearly,1990,75.344
634,estimates,5yearly,1995,75.973
634,estimates,5yearly,2000,76.553
634,estimates,5yearly,2005,76.973
634,estimates,5yearly,2010,77.676
634,medium_variant,5yearly,2015,78.406
634,medium_variant,5yearly,2020,79.162
634,medium_variant,5yearly,2025,79.925
634,medium_variant,5yearly,2030,80.69
634,medium_variant,5yearly,2035,81.441
634,medium_variant,5yearly,2040,82.206
634,medium_variant,5yearly,2045,82.978
634,medium_variant,5yearly,2050,83.717
634,medium_variant,5yearly,2055,84.419
634,medium_variant,5yearly,2060,85.043
634,medium_variant,5yearly,2065,85.626
634,medium_variant,5yearly,2070,86.167
634,medium_variant,5yearly,2075,86.685
634,medium_variant,5yearly,2080,87.193
634,medium_variant,5yearly,2085,87.695
634,medium_variant,5yearly,2090,88.217
634,medium_variant,5yearly,2095,88.755
634,estimates,5yearly,Regi,Qatar
634,medium_variant,5yearly,Regi,Qatar
