country,variant,freq,year,lifeexpectancyatbirth
662,estimates,5yearly,1950,52.551
662,estimates,5yearly,1955,55.183
662,estimates,5yearly,1960,59.416
662,estimates,5yearly,1965,61.598
662,estimates,5yearly,1970,64.532
662,estimates,5yearly,1975,67.442
662,estimates,5yearly,1980,69.986
662,estimates,5yearly,1985,70.747
662,estimates,5yearly,1990,71.321
662,estimates,5yearly,1995,71.154
662,estimates,5yearly,2000,72.066
662,estimates,5yearly,2005,73.985
662,estimates,5yearly,2010,74.81
662,medium_variant,5yearly,2015,75.803
662,medium_variant,5yearly,2020,76.758
662,medium_variant,5yearly,2025,77.657
662,medium_variant,5yearly,2030,78.547
662,medium_variant,5yearly,2035,79.413
662,medium_variant,5yearly,2040,80.264
662,medium_variant,5yearly,2045,81.1
662,medium_variant,5yearly,2050,81.93
662,medium_variant,5yearly,2055,82.755
662,medium_variant,5yearly,2060,83.515
662,medium_variant,5yearly,2065,84.237
662,medium_variant,5yearly,2070,84.906
662,medium_variant,5yearly,2075,85.507
662,medium_variant,5yearly,2080,86.087
662,medium_variant,5yearly,2085,86.657
662,medium_variant,5yearly,2090,87.21
662,medium_variant,5yearly,2095,87.769
662,estimates,5yearly,Regi,Saint Lucia
662,medium_variant,5yearly,Regi,Saint Lucia
